gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
CCNE1,1024.02525823974,3.943965344768442,0.12394871387844879,31.819332539715745,3.4976046633484826e-222,1.4532547376212945e-217,True
CAVIN2,2575.912267808793,-4.892904690503086,0.1547187193130013,-31.6245164917929,1.6995989004571778e-219,3.530916715699787e-215,True
VEGFD,640.5661415046644,-5.318699137187592,0.1757367815927768,-30.265144774941085,3.297724673651309e-201,4.5673486730070625e-197,True
CHEK1,1388.554490776671,2.590968121451682,0.08630926756936368,30.019581841190043,5.449117141059544e-198,5.660270430275601e-194,True
TAT,2504.6129293392414,-7.385208067465846,0.24621425379354084,-29.995046808535292,1.1387313319209358e-197,9.462857368262977e-194,True
TTK,1456.3738851647472,3.4981413976783404,0.11676649872331064,29.958433591192282,3.4167109043374144e-197,2.3660723012536596e-193,True
PRR11,1788.3097651892242,3.043925276389889,0.10205821512320659,29.82538223616007,1.8314503852364055e-195,1.0870966215224663e-191,True
CDC25A,737.4364449462823,2.9642692104993507,0.10057074086791164,29.474469263307753,6.117294965173577e-191,3.1771700725370266e-187,True
ZBTB16,2721.5007851266496,-5.636359013554516,0.19149746113828814,-29.43307436062701,2.0733654793904926e-190,9.572037296519442e-187,True
FOXCUT,674.3678629897,4.779838045888496,0.16372927616659003,29.193545331655546,2.341891561574632e-187,9.730559438342597e-184,True
CENPO,674.8047556388423,1.8658382575493382,0.06407271600217856,29.12063627029479,1.9673445806250104e-186,7.431197029542653e-183,True
TNXB,5925.401986539394,-4.958242727151066,0.1709260697590967,-29.00811288845064,5.1985708206234336e-185,1.8000051466408638e-181,True
ATP1A2,2246.22866960801,-6.935654412160087,0.23954673069276491,-28.953241783355995,2.554583844595103e-184,8.164842980225118e-181,True
HDGF,29677.013406048693,1.7711326978821376,0.06165499895487249,28.726506007704145,1.7807032365031776e-181,5.284872819764788e-178,True
AP001528.2,587.765023872695,-4.594161701417776,0.16014417773938805,-28.687659871682147,5.43857749879031e-181,1.506485967164916e-177,True
MTFR2,316.12608997573017,3.1883849986271766,0.11139814940543183,28.62152572232685,3.6265506222095566e-180,9.333956835931761e-177,True
PGR,2006.8535295762945,-5.116618945827024,0.17877947890386173,-28.619721777903123,3.8189474418974715e-180,9.333956835931761e-177,True
TRIP13,1657.1342269866773,3.075902045799281,0.10768851688254023,28.562952994833044,1.9395691850691263e-179,4.4771722022012336e-176,True
BTNL9,2271.829273184066,-4.844503305300063,0.16970747568951203,-28.546198602136506,3.13135486289606e-179,6.847778660701647e-176,True
CENPL,773.2963036145717,1.9077116753108507,0.0669382294510547,28.49958373496824,1.185425484028966e-178,2.462721443070177e-175,True
CDCA8,2034.789219038473,3.3198274455517898,0.1171708877653888,28.33321065381939,1.3478295658682822e-176,2.6667770696108156e-173,True
RAPGEF3,1121.6208680382051,-2.81662789208456,0.09953850241026985,-28.296868285954396,3.776552169432409e-176,7.132533756359846e-173,True
SLC16A12,69.01862122006118,-4.261108008313701,0.15076534132239267,-28.263180190743302,9.803112041591917e-176,1.7709535014267138e-172,True
CIP2A,800.248952265568,2.377263624253394,0.08420064544688352,28.233318303397667,2.2812312627612627e-175,3.791406358709219e-172,True
SLC26A3,301.2753004500723,-7.366634578065153,0.26091542544842383,-28.233802449220637,2.250222407883186e-175,3.791406358709219e-172,True
MCM10,1249.7204246459178,3.614013920746117,0.12817656957882803,28.195589354757338,6.623016204771964e-175,1.0584089358010583e-171,True
ACACB,7986.644021894793,-4.381716306630113,0.15563286432375797,-28.154184051480097,2.129785828599532e-174,3.2775037473448354e-171,True
CDCA2,1013.1562896598888,3.6982904680017405,0.13152982959718157,28.11750368207721,5.985590434739038e-174,8.882188662978823e-171,True
PDE2A,1458.277002855566,-3.5476662998437276,0.12621934390468054,-28.107152121808575,8.010304205013953e-174,1.1476832404080336e-170,True
STIL,1394.457594790983,2.710082829144575,0.09649058121225786,28.086501242882914,1.4320413601403546e-173,1.9833772837943912e-170,True
PRIM2,1159.6808014517178,1.6000129193948258,0.05725758261665511,27.94412279168442,7.770712820040521e-172,1.0415261860409149e-168,True
SCN2B,158.4128079348047,-4.690802426274433,0.16800791446533644,-27.92012769875936,1.520239077020296e-171,1.9739354265685404e-168,True
HASPIN,210.5053333252287,2.718874115871762,0.09773868627116658,27.817788632113462,2.6433008151994145e-170,3.3281560264101715e-167,True
PAMR1,1574.0215361982114,-3.8314734892394635,0.138803272035317,-27.603625138351102,1.0066254036404473e-167,1.2301554565076643e-164,True
RFC4,1794.962442976113,2.0226466711260658,0.07333063341944969,27.5825610227116,1.801444867479122e-167,2.1385724069645003e-164,True
NOSTRIN,950.7986338346902,-2.7347070314412694,0.09915883521525296,-27.579055618239124,1.984560937922113e-167,2.290514082518439e-164,True
CAPN11,211.91046094656997,-3.543051026876658,0.1287357656440084,-27.521885694719977,9.607323445749717e-167,1.0788764572186506e-163,True
CTPS1,3126.250220451144,2.0292278781431548,0.0737368172012559,27.519873452153732,1.0155112538473949e-166,1.1103813841410331e-163,True
KPNA2,9859.450874345917,2.395638699790392,0.08707676210357738,27.511802711965693,1.2684020844649053e-166,1.3513360669106877e-163,True
PIMREG,681.3379227143232,3.546675979914916,0.12942208735180963,27.403946671590482,2.461050185809203e-165,2.5564158805093094e-162,True
KCNIP2,2091.947528648545,-5.367069286916087,0.1958842911337598,-27.399181710039105,2.8047909178433e-165,2.842416161863149e-162,True
EXO1,1141.8886431976716,3.600399899288404,0.13167910307679945,27.342226785889757,1.336047518716455e-164,1.3217327238730644e-161,True
ANP32E,7982.760931819769,2.1427577522612884,0.07843401608787819,27.319240543038408,2.506244272783613e-164,2.4217313845153284e-161,True
AC012073.1,73.5689271159591,2.330080989222074,0.08533156727334022,27.306201722021473,3.580087093390945e-164,3.380741334781677e-161,True
FAM72B,110.31431996203612,3.1806643626753517,0.11653914162314356,27.29267024259343,5.182477541302159e-164,4.785154263135661e-161,True
FAM72A,103.46701467560158,3.1933241966245953,0.11701102180581838,27.290798314059394,5.454493773508944e-164,4.926830788897752e-161,True
KIF15,881.943426574458,2.8799286234567103,0.10589717343413495,27.195519295403525,7.337837313315621e-163,6.48696043336732e-160,True
PFKFB1,358.2579584967382,-4.881649402935543,0.17954805876299604,-27.188539027199035,8.873841794820796e-163,7.681419303641751e-160,True
TPX2,6143.637086829679,3.502692242693661,0.1288687169050606,27.180314406902518,1.1100511054704271e-162,9.34198531130118e-160,True
SCUBE2,4036.890106901912,-4.20565066954756,0.1547341411418537,-27.17984950517157,1.1241859580386499e-162,9.34198531130118e-160,True
BUB1,2167.8433121549565,3.4511373211521748,0.12699285955057846,27.17583754996605,1.253879936576464e-162,1.0215433600931781e-159,True
RCOR2,682.613978442838,3.5196742873419935,0.12966351307700572,27.14467781889958,2.926166438509273e-162,2.338119529231929e-159,True
RAD51AP1,1046.6353341906006,3.0023825576013747,0.11064816038406838,27.134500448808826,3.8584934748329333e-162,3.0249132807416674e-159,True
FOXM1,3523.684324926308,3.7834664591854947,0.139635403308382,27.095323747014106,1.117848084829135e-161,8.601219986046399e-159,True
PLK1,1953.5130510405054,3.403348615747942,0.12590778699150598,27.03048554079931,6.478603724601214e-161,4.894290631948735e-158,True
AUNIP,353.9311177058535,2.748005223440837,0.10167080634988804,27.028459024746024,6.843884244775877e-161,5.077917685186387e-158,True
AOC3,11096.486133648976,-4.487994762809369,0.16643476069732677,-26.965489324499348,3.75499831821392e-160,2.737196142487515e-157,True
ABCA10,436.972544430667,-3.898443950961481,0.1447288536171182,-26.93619035548266,8.279675793567243e-160,5.931388434874464e-157,True
MYOC,509.5583704554353,-8.298645880677649,0.3093275813090547,-26.828017875283884,1.522799481648994e-158,1.0724121773307745e-155,True
GSTM5,935.0565160800008,-4.957119574990018,0.18478666136752292,-26.826176404209086,1.6000264835031514e-158,1.0898541047468187e-155,True
DSCC1,876.047666587236,2.2553068773449274,0.08406930324985441,26.82675828348599,1.575210296972283e-158,1.0898541047468187e-155,True
KIF18A,628.1434954112722,2.839908601030726,0.10587406760777064,26.823457955272612,1.721236861846625e-158,1.1535063162859237e-155,True
ORC1,604.1814323250014,2.970488053074538,0.11095334118038296,26.77240740542686,6.773324880072413e-158,4.467169028047758e-155,True
CENPA,715.9736233157482,3.5942545386953717,0.13426259552843264,26.770334094533574,7.160463339368692e-158,4.648707058605768e-155,True
NUF2,1347.4623840414106,3.6349325723645056,0.13584575322605572,26.75779320326454,1.0021042939298982e-157,6.4057589865826575e-155,True
ABCA9,1078.3624378035865,-4.39737648257506,0.1645945394413126,-26.716417795518527,3.0340668551935625e-157,1.9100829974741288e-154,True
CCDC170,526.49261660634,-3.2526733026177754,0.1221413081927131,-26.63041153518469,3.018061956861905e-156,1.8716488702628678e-153,True
CCNB1,3145.5401248976,2.5963598744887686,0.09751743622881898,26.62457069109735,3.526693169619443e-156,2.1549132529071743e-153,True
NCAPG,1211.5144045229938,3.221930876490257,0.12104548466635119,26.617522209697963,4.2557143488029767e-156,2.5626801622139665e-153,True
GPAM,12416.500461689784,-4.533213756510308,0.17040925616125444,-26.601922094071167,6.449238016023283e-156,3.828083422368106e-153,True
NCAPH,1232.1222811231241,2.949568089928189,0.11090857948430057,26.59458901775682,7.840353701243082e-156,4.588263327980986e-153,True
DIAPH3,849.954802631646,2.9169533994690764,0.10970361938836533,26.589399836870243,9.002201964904519e-156,5.195020717246983e-153,True
NEK10,408.9958012546252,-4.21936685124738,0.15877979463492417,-26.573701401672654,1.3671958035758103e-155,7.781778854599305e-153,True
POLQ,570.702393684864,2.8714671676073733,0.10892872096200637,26.360973875833192,3.84178640048629e-153,2.1571111478406127e-150,True
DBF4,1082.3244617633281,1.7850163173452624,0.06778686841075245,26.332774461994774,8.084681729308784e-153,4.4789136780370664e-150,True
CA9,820.5070343765648,5.952679768386254,0.2267200322168709,26.25564097790957,6.162453178516689e-152,3.3690780206232686e-149,True
ORC6,635.2417423845354,2.8967901550948536,0.1103366464608955,26.254107298081667,6.416031365336189e-152,3.4621571848015408e-149,True
KLHDC1,186.80861937058108,-2.1003186209784523,0.08002800948936284,-26.244793971261053,8.195811656324543e-152,4.365845824619036e-149,True
CKS1B,2556.882961673317,1.885999042133434,0.07191819999919774,26.224224774180563,1.4069760274577132e-151,7.399981511502276e-149,True
CENPN,549.9792996549428,2.046421829490995,0.07826076320809675,26.148758913192854,1.0180787979048577e-150,5.2876467566183545e-148,True
EZH2,1976.8411600283869,2.6523174887648975,0.10143546896648288,26.147830889817225,1.0431228312807872e-150,5.3508337826810744e-148,True
TICRR,790.4080617698982,2.7381529914937803,0.10482815600957901,26.12039642520825,2.1387917307909516e-150,1.0837414196873663e-147,True
KIF14,946.3549818428979,3.624396077069492,0.13883888510197626,26.105050284777185,3.194902447378421e-150,1.5993758637177514e-147,True
AL591845.1,156.02937654357524,-3.8541312581582092,0.14780618161913248,-26.07557556753309,6.901146619611551e-150,3.413602881486428e-147,True
MELK,1754.6656559596895,3.6233582997246545,0.1391503081079257,26.03916835681283,1.7845598859634903e-149,8.723348619033297e-147,True
RACGAP1,2628.847480495846,2.025264598935501,0.07792318821048669,25.99052535510792,6.337449462298309e-149,3.061872385563893e-146,True
CENPI,432.37285882509866,2.5605715064361076,0.0986052906993005,25.967891664602863,1.1419819745390184e-148,5.453948395643243e-146,True
NOVA1,906.6400310322524,-4.099222607275637,0.15793990992527993,-25.95431774790137,1.6252806612758784e-148,7.673910395001449e-146,True
TNS2,6108.710554373768,-2.3756129132494306,0.09153275914019068,-25.953690630159688,1.6519903330859063e-148,7.712381835923529e-146,True
AVPR2,150.19893991168087,-3.6519604754546413,0.1408178628409243,-25.933929132130768,2.760546944463237e-148,1.2744525060271944e-145,True
FANCA,911.0064777968599,2.662983630577837,0.10269422338369776,25.931192065478673,2.963921460206257e-148,1.3533069963908789e-145,True
GINS4,607.4849279320898,2.7386515734803862,0.10562501894901274,25.92805758266786,3.215264740679111e-148,1.4521114127740986e-145,True
ADAMTS9-AS2,139.52692332284883,-3.6458087350131203,0.1406474559109908,-25.92161167366143,3.801009649695531e-148,1.6981930209123584e-145,True
ILF2,19434.80435049784,1.6249675283599667,0.06282887522859691,25.86338721563415,1.720302977050727e-147,7.604105180474224e-145,True
CENPF,8422.675378516751,3.3071106071695655,0.12791034513376848,25.854911138821443,2.1425814027317004e-147,9.370974450894964e-145,True
