gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
NTRK2,12370.665532842931,-4.881572322096914,0.14855713924181674,-32.8598971884538,8.225812689769387e-237,2.7432262739111928e-232,True
KLHL29,871.2576722996322,-3.2797054931629384,0.10270751122526962,-31.932479465591573,9.459741972773091e-224,1.577364675250049e-219,True
SCN4B,1642.8167735138666,-3.313283482923589,0.11160953590589355,-29.686383479967777,1.1509981852023756e-193,1.2794879492771343e-189,True
SYNM,13308.317867424668,-4.3537779534514325,0.1498619309761682,-29.051927498143552,1.4549026857568628e-185,1.2129887416826405e-181,True
ECRG4,1002.6971077940628,-5.597227020017146,0.19427334333392485,-28.81109123857722,1.557753735212549e-182,1.038990586312066e-178,True
VEGFD,912.9797486679201,-5.852622637013559,0.2126030088726308,-27.52840925463962,8.026329584857242e-167,4.461167755423403e-163,True
TSLP,127.12138542202852,-4.478341484224445,0.16340086273696527,-27.40708591871672,2.257913666260359e-165,1.075702326515953e-161,True
ANKRD29,710.4173888907941,-3.3651494947126808,0.12282133721346729,-27.3987368242372,2.8392348572686175e-165,1.183570540688139e-161,True
FGF2,1761.4782435447703,-4.286348663281538,0.15691377279605637,-27.316586599779118,2.694957437586796e-164,9.986015065120229e-161,True
PAMR1,2182.9708185586364,-3.853186839567795,0.14248640715866384,-27.04248718459951,4.681319592941329e-161,1.5611732710500038e-157,True
LINC02607,585.1483976977656,-5.96254906003013,0.2246908891994486,-26.536674812557386,3.6597696995381876e-155,1.1095423609990819e-151,True
CACHD1,2091.6697444361203,-2.7167275138760734,0.10293237246863189,-26.3933245559261,1.6345961733428972e-153,4.54267898206769e-150,True
ADAMTS9-AS2,190.38754120183484,-4.029778596343625,0.1539484330135131,-26.176158584153328,4.966003539521234e-151,1.273932707996105e-147,True
CAVIN2,3669.6506304233135,-4.788558512192437,0.18316130782771028,-26.14394147423739,1.1549528026063044e-150,2.7511800724369745e-147,True
GPRASP1,941.5924184341632,-2.534770322220347,0.09725743326399297,-26.0624842457032,9.713011193415403e-150,2.1594614019280687e-146,True
TMEM220,437.0655191409104,-2.631101345049842,0.10110681586500177,-26.022986902909686,2.721034950216227e-149,5.67148715967256e-146,True
CARMN,2411.801766066712,-3.7334326792164196,0.14389869442631256,-25.94486832629486,2.0776807182705225e-148,4.075798486682568e-145,True
PDE1C,894.798648034884,-3.99432028119279,0.1543666003505306,-25.875547379566687,1.2554006911271113e-147,2.3259087582443351e-144,True
PROS1,2904.111807551715,-2.224791614236051,0.08600206956672563,-25.869047401352624,1.4856830826916976e-147,2.607686585509759e-144,True
TSHZ2,2830.541644328836,-2.840226591133942,0.11012917303523977,-25.78995658330341,1.1493757047421697e-146,1.9165265188723308e-143,True
ABCA10,602.0451392721565,-4.2788366876931025,0.16861805765026167,-25.37591019206277,4.653108748926626e-142,7.389358269902574e-139,True
CYYR1,2334.991843074766,-2.2078775538206323,0.08867482482880443,-24.898583764706153,7.707640515335296e-137,1.1683731979359854e-133,True
OSR1,1051.5346236581586,-4.454091574963458,0.1795526477631986,-24.806604806171933,7.608239874495005e-136,1.1031617024979736e-132,True
BOC,2719.5025182618447,-2.306272008538608,0.09303610941014441,-24.788998843143133,1.1781479049750888e-135,1.6370856034589268e-132,True
POU6F1,717.5539143296885,-1.7478287982468814,0.07140086223832483,-24.479099319737966,2.466518377345881e-132,3.2902368546443117e-129,True
RHOJ,1507.6855728711973,-1.7512284877100248,0.07184000294023388,-24.37678752834867,3.015192107205231e-131,3.86744775319951e-128,True
CLDN11,1167.1353808964643,-3.18878538768942,0.13108783614781142,-24.32556277833303,1.0518577234717813e-130,1.2992001192614975e-127,True
ADAM33,975.6599280296703,-3.563218366536656,0.14696179139692242,-24.245882774475177,7.307595278633158e-130,8.703606962397755e-127,True
LRRC3B,71.17620325593096,-5.504790095682821,0.22717101277584556,-24.231921266796984,1.025637973032928e-129,1.1794483021612108e-126,True
USP44,73.68926021656863,-2.9011022390950276,0.11980840281617976,-24.21451393143222,1.564697785725058e-129,1.7393702152048323e-126,True
C8orf88,51.190375289748935,-2.4861479883416546,0.10310992898552614,-24.111625454524784,1.8878765403396183e-128,2.030928862702772e-125,True
P3H2,855.9845641511694,-2.3739065165712803,0.09904014804631675,-23.969133360555034,5.837709210400929e-127,6.0838051393018935e-124,True
SPARCL1,31424.75626372652,-2.079764933045021,0.08680296332919467,-23.959607521204617,7.33762581623611e-127,7.415226768050244e-124,True
AC124852.1,222.84720698736285,-3.5884246554860084,0.1498516458844373,-23.94651479672991,1.0045963101519564e-126,9.853612455075762e-124,True
TRPM6,107.67349327931781,-3.275334254065593,0.13738104992069444,-23.84123760850813,1.248410979753188e-125,1.1895216503939733e-122,True
MYH11,17711.987063949695,-4.036027648321442,0.16945638351661374,-23.817501380381717,2.2000574868360373e-125,2.0380476980137502e-122,True
MAMDC2,1223.586775484226,-3.475064891070786,0.14643445195972848,-23.73119743724296,1.7183008016206305e-124,1.5487463090066597e-121,True
MICU3,264.9507818570981,-2.8577250697127297,0.12053193880881327,-23.709276544913365,2.892801890029324e-124,2.53873816396284e-121,True
SCN2B,227.3063887142255,-4.138622281028401,0.17458870046559527,-23.704983598546026,3.203293266124176e-124,2.73914428543526e-121,True
S100B,2121.5593698925336,-4.82797631928129,0.20398364258836116,-23.668448401150197,7.62258274674243e-124,6.355137800527832e-121,True
SLC25A27,420.26588034332383,-3.1336018080134207,0.13256937702959568,-23.637448392880767,1.5889568531880002e-123,1.2924420023650394e-120,True
SNHG26,203.7222086594021,-2.913964707476899,0.12376201426452361,-23.544903699197363,1.415722053855662e-122,1.1241170184293445e-119,True
RYR3,340.3344197354402,-2.7262814162343547,0.11634917700929609,-23.431892569523974,2.022428634652085e-121,1.568510989232846e-118,True
TGFBR3,8751.590785602802,-3.635878335643353,0.15570919503767766,-23.350440767249246,1.3640200020752706e-120,1.0338341602092771e-117,True
CAPN11,241.86264762517985,-3.1137786080469447,0.13359830991622182,-23.307020949588093,3.763012761394192e-120,2.7887269462163313e-117,True
NPY5R,134.41739187309255,-6.570495392200433,0.2822310332682947,-23.280556061155696,6.978398172822024e-120,5.059186970987863e-117,True
LINC02613,456.6479174691719,-4.172548973863113,0.17950237446506973,-23.245090691962236,1.5948471444803543e-119,1.1316288813037306e-116,True
