gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
MRAS,2891.0235033997187,-2.494983637633651,0.07994851800104376,-31.207378198068387,8.461384607595051e-214,3.683325333532202e-209,True
DMD,1941.448615105132,-3.2239674207026527,0.10428678437249661,-30.914438872591266,7.64113225208781e-210,1.6631306403281723e-205,True
GPAM,7399.848086888109,-3.871460554689758,0.12744748830704924,-30.376907431573326,1.1089142618507098e-202,1.6090715577541084e-198,True
LYVE1,1104.496827489079,-4.423561447868836,0.14786970543837452,-29.915265163711158,1.2459007545050094e-196,1.3558826436089391e-192,True
CRYAB,7274.028042461064,-3.8205850766491425,0.12777884869259687,-29.899980440741725,1.9689460964862127e-196,1.7142038505228266e-192,True
FAM13A,1645.24675156042,-2.3254325911136635,0.07909060935991245,-29.40213269228297,5.157501441245398e-190,3.741853253980891e-186,True
CAV2,3346.0130628336788,-2.627713524019937,0.08941092918388126,-29.389175887164964,7.551647624348067e-190,4.696153896221367e-186,True
FHL1,14562.242200310116,-4.3583666081005825,0.14867819560960394,-29.314094042038878,6.858629874146574e-189,3.7320377131434314e-185,True
RHOXF1-AS1,124.05395463158524,-3.858848443608905,0.13271203900218242,-29.076852956388134,7.044345848915361e-186,3.4071935461014954e-182,True
LINC02613,204.7442677477735,-3.486451396740206,0.1199603286233785,-29.063369838591356,1.0429556501246067e-185,4.1273547641431146e-182,True
AUXG01000058.1,582.8892053219872,-3.765601339782263,0.1295644303653721,-29.063542587755418,1.0377262649306529e-185,4.1273547641431146e-182,True
NDRG2,7326.074814792507,-2.325934905436432,0.08070472822907965,-28.820305284149978,1.1941286079378098e-182,4.331801036011733e-179,True
CAV1,11908.07945432028,-2.8254971642954545,0.09822812158285647,-28.76464620075339,5.941181423537787e-182,1.9894274503694108e-178,True
TNS1,21185.041801596366,-2.6056635672461783,0.09109243945661179,-28.604608492094243,5.888054305427126e-180,1.8308063712110586e-176,True
ANXA1,13063.02082156164,-2.370029487421886,0.08298682363919746,-28.55910593380564,2.1651210456844976e-179,6.283325615979457e-176,True
SLC2A4,424.3751008289643,-4.177447530933607,0.1465844111458783,-28.498579748540127,1.2198764732505747e-178,3.318902672316923e-175,True
RYR3,184.2612110054765,-2.4466453324449975,0.08593107589893278,-28.47218316366249,2.589826261018529e-178,6.631630998141034e-175,True
PLA2G4A,343.63159897364585,-2.332923882329598,0.08253346660102392,-28.266398812583684,8.949633942182447e-176,2.164369528539689e-172,True
EPHB1,315.31548183590303,-2.8900790481510144,0.10300760901740925,-28.056947207293824,3.2863707388352585e-173,7.529421296433559e-170,True
CLEC3B,655.3127775417698,-3.2941500478730203,0.1185143831073049,-27.79536087945074,4.935588500071876e-170,1.0742555149831443e-166,True
RNF150,1159.8752703395003,-2.902137278929845,0.10588975761816327,-27.40715763459299,2.2534741563828164e-165,4.671237309595256e-162,True
NMT2,1141.1878467809051,-1.8937992922111333,0.06938352228313412,-27.294654838696214,4.908870215515666e-164,9.713092243255112e-161,True
SIK2,4495.529482864205,-2.182630061619609,0.08008113157857047,-27.255235017229403,1.440620033485185e-163,2.726592638158417e-160,True
C2orf88,300.0593256623652,-2.7514034484511987,0.1010212925208888,-27.235876514669165,2.4429721172671244e-163,4.431042468198133e-160,True
NPR1,1690.781445224595,-3.076271460587377,0.11320172039822131,-27.175129934118146,1.2782583214037966e-162,2.2257545195611467e-159,True
SPRY2,1252.042513299788,-2.257105847960161,0.08376327640062407,-26.946245955863116,6.312434813263918e-160,1.0568715379084293e-156,True
CFL2,1515.3136820508814,-2.0498454397241037,0.07624960387350564,-26.88335854340564,3.437927351668531e-159,5.344871983767243e-156,True
ACVR1C,892.0061980230236,-4.589253222516366,0.17070222502995114,-26.884554209595937,3.3290273864772614e-159,5.344871983767243e-156,True
GSN,47039.85836510678,-2.1980930232445504,0.08183684275731883,-26.8594553404612,6.540859395079528e-159,9.818281045765755e-156,True
MME,3666.0877015829105,-3.256982610861376,0.12139397719116439,-26.829853393240946,1.4495268389156296e-158,2.1033117608278758e-155,True
KLHL31,407.32384193648693,-3.574306106167049,0.13331943298625631,-26.810090818009392,2.464536426075012e-158,3.4607656504345596e-155,True
NIPSNAP3B,347.8291542859392,-2.4612439058039066,0.09194676424380002,-26.76814052181144,7.594138323593139e-158,1.0330638605135403e-154,True
SORBS1,9586.378526347367,-3.062731526742415,0.11473223658933396,-26.694603171600168,5.43733563270903e-157,7.172504770528993e-154,True
LPL,12402.451649157405,-4.295527521271379,0.1613647703577866,-26.619983480576995,3.985466887684666e-156,5.102687031994152e-153,True
TMEM220,269.44537659551634,-2.0188401568177894,0.07587256232612598,-26.60830338298225,5.440918545411746e-156,6.767103577151964e-153,True
AL109809.4,54.947560043177376,-3.0974846208856475,0.11661818299737206,-26.560906209243953,1.9216338872632053e-155,2.3236290207348497e-152,True
TMOD1,217.57973723200445,-3.189079901608626,0.12037588335345528,-26.492681197982552,1.1769733483748407e-154,1.3847250494082484e-151,True
SPTBN1,24707.677138514224,-1.846854183257579,0.06984816029104,-26.44098535397632,4.632604158198257e-154,5.306891884487587e-151,True
GYG2,3236.7529518868623,-3.6991899137418613,0.14018909798074425,-26.387143986403036,1.9246343353664703e-153,2.1482373654573797e-150,True
PALMD,3089.9514067516543,-2.5722248515985355,0.09753365394456531,-26.372690323490776,2.819525941107712e-153,3.068419593558996e-150,True
GNAI1,1257.0222672070831,-2.4750425967726044,0.09411857730792986,-26.29706767320709,2.071681039679736e-152,2.1995694472755754e-149,True
PAMR1,1080.8043675618535,-2.9636096146290267,0.11282549097373776,-26.267198919780125,4.547183964207913e-152,4.712939646331778e-149,True
NAALAD2,139.0553265973751,-2.6087906902915896,0.09950766609364667,-26.216981994497353,1.7017007981108832e-151,1.7227148242456944e-148,True
LOXL4,502.32694890474346,-2.664317251507427,0.10172824376692903,-26.190536205576112,3.4062555901463504e-151,3.369948002151381e-148,True
LINC00968,69.7009826422904,-3.9294481167922033,0.15038183827181428,-26.12980504793238,1.6721007193985937e-150,1.617515920358671e-147,True
PYGM,151.18189655502343,-3.004846431473327,0.11571810340476271,-25.966951955329524,1.1702334227489426e-148,1.107422415775744e-145,True
ITIH5,4588.350881865399,-3.3544646145715133,0.1292282010499088,-25.957682512936916,1.4891647947895296e-148,1.3792517591911279e-145,True
APCDD1L-DT,128.280723395809,-3.5783175901631004,0.13804173560274027,-25.921997970677985,3.763082195673022e-148,3.412723563746715e-145,True
ANGPT1,461.6964590723576,-2.973249506590909,0.11481067041105415,-25.8969788778852,7.202534862827905e-148,6.398643777831868e-145,True
HSPB7,1592.939648074581,-4.388878347151609,0.16960738185846227,-25.87669415718083,1.2186411844590113e-147,1.0609733880137044e-144,True
KLB,564.1894309433848,-4.061217460607233,0.1569948929178096,-25.868468617850983,1.5081283408801104e-147,1.2872614668010213e-144,True
KCNJ2-AS1,27.759394072296583,-2.2443805493040228,0.08678432055258373,-25.861590377309277,1.8022581496442744e-147,1.5087326829262482e-144,True
SPAAR,96.06911149034822,-2.450897710827725,0.09480745964221099,-25.851317186190226,2.3515268348061015e-147,1.9314021631310264e-144,True
ANKRD53,80.8568114207072,-2.5023756802269532,0.09696970815051867,-25.80574622688053,7.643494674566482e-147,6.161647531084324e-144,True
ACSM5,262.2948521784548,-3.1346383754370546,0.12174132136324543,-25.74835183597263,3.3633845402833917e-146,2.662027134965024e-143,True
ALDH1L1,729.3390732540227,-4.430686994489165,0.1722026410282404,-25.72949501838682,5.46865324232558e-146,4.2509990052084785e-143,True
MAML2,1770.06073722106,-2.0924151412985172,0.08134573647148599,-25.722493053240335,6.549811365692203e-146,5.002102430876269e-143,True
TYRO3,934.0773115393243,-2.320435129757749,0.09049146869298968,-25.64258446981656,5.1151590028670516e-145,3.817975552404659e-142,True
AOC3,7323.068657135512,-3.2742039213984606,0.12768843489566797,-25.642133714566683,5.174715894233417e-145,3.817975552404659e-142,True
ADAMTS5,1832.5459059094233,-2.747895769171913,0.10727014852885086,-25.616593310047037,9.967823621389767e-145,7.231822167711966e-142,True
LVRN,229.35004246076943,-4.399175487377399,0.1721696361263622,-25.551401433808387,5.29724243244456e-144,3.780233775848264e-141,True
DENND2A,419.37863327307304,-2.1178650091970956,0.08293345846403027,-25.53691897602042,7.67289389207992e-144,5.38723780671179e-141,True
TTYH1,252.884312659402,-3.1901764029112063,0.12496861309416783,-25.527821137834877,9.682677423509538e-144,6.690422713060217e-141,True
C10orf90,55.70320305034604,-3.8771863368688586,0.15191353463006882,-25.52232324993531,1.1143843327085672e-143,7.5797288104901e-141,True
EBF1,1564.775916864256,-2.5585994817399205,0.10027513801114442,-25.51579117702697,1.3168593416719106e-143,8.819108308049222e-141,True
ARHGAP20,356.38057017065336,-2.5249237077473627,0.09906269111355893,-25.48813967564193,2.6684511949382104e-143,1.7600052873765943e-140,True
PPP1R12B,4615.791359105342,-1.7554033933344362,0.06888685281319767,-25.482415317979626,3.088263623190959e-143,1.9769882908989064e-140,True
S100B,906.7595302502343,-3.821489886101538,0.15001443579226778,-25.474147643986335,3.8136190899245703e-143,2.4059514870073403e-140,True
ACACB,5531.403041937274,-3.0270982127316812,0.11894640203084338,-25.449262533781727,7.1934459744525035e-143,4.473398524484171e-140,True
AP001528.1,137.5516966602678,-2.76040067571378,0.10850778403358718,-25.43965578413557,9.18879934048892e-143,5.633769353391875e-140,True
LPIN1,2034.5301394946164,-1.6862596136692751,0.06651101994963482,-25.35308607425037,8.309129975299678e-142,5.023676902149587e-139,True
MYOM1,469.2614109168787,-2.9662021788520074,0.11709614260394119,-25.331339810950972,1.4429991665635672e-141,8.60482146844913e-139,True
AL109809.1,13.510392853853794,-3.385536322258942,0.13383837665672915,-25.29570670856402,3.561302609109553e-141,2.0949603226641616e-138,True
KCNIP2,1214.9203860059315,-4.24850324756399,0.16840653283918988,-25.227662941204624,1.9919751280170203e-140,1.156168923969452e-137,True
