gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
SFRP1,22524.44090026641,-6.356138632544355,0.16083280348335982,-39.52016314384508,0.0,0.0,True
ECRG4,707.050275999622,-6.012318124948575,0.1558168177004126,-38.585810015119144,0.0,0.0,True
PDE1C,644.5007311036368,-4.411585560882881,0.11499143202454605,-38.364471884663416,0.0,0.0,True
CARMN,1742.520125375576,-4.195883496833373,0.10325183908233505,-40.63737299136622,0.0,0.0,True
FAM107A,1349.2506106175597,-4.665110506320308,0.1225395060820454,-38.07025713974086,0.0,0.0,True
SYNM,9512.451031756644,-4.777310896703693,0.1261662320874443,-37.865210188670744,0.0,0.0,True
SPRY2,1612.1961831943195,-3.30657162458193,0.08349687560977931,-39.60114196410313,0.0,0.0,True
DMD,2998.508822066286,-4.317489168232002,0.11213677741039287,-38.50199076464503,0.0,0.0,True
ADAMTS9-AS2,137.49361812586696,-4.3707792937470495,0.11588082764276299,-37.71788122899219,0.0,0.0,True
CRYAB,12080.593219739303,-5.324718136644108,0.14169622736330714,-37.57840441998223,4.843446597664234e-309,1.6152410058550454e-305,True
PAMR1,1576.7151462017987,-4.29789946441613,0.11522247382325898,-37.300878221107496,1.5881734411218617e-304,4.814908735270269e-301,True
NRG2,174.0460278061729,-4.565994057183569,0.12309694560512906,-37.0926673666655,3.688392209432629e-301,1.0250349316030729e-297,True
C2orf88,427.4593801253676,-3.812001364394815,0.10301880134894845,-37.002967560093104,1.0259512159995699e-299,2.6318805463361275e-296,True
MYH11,12693.209532893403,-4.569636507055751,0.12375528582169393,-36.92477841827026,1.850250089576743e-298,4.407427874092485e-295,True
LINC02613,325.31280435056175,-4.795116074193414,0.130900171255058,-36.63185485716566,8.901046049580936e-294,1.978939898049831e-290,True
OSR1,751.4159337876104,-4.855069814451081,0.1327719559181535,-36.566982695080284,9.579611069523151e-293,1.9966903097345473e-289,True
KCNMB1,914.7984036342567,-3.754554401424911,0.10443451240700406,-35.95128004038161,4.833567448540406e-283,9.482037696551413e-280,True
KLHL29,651.9957366167289,-3.4372142445025893,0.09780935268275132,-35.141979271157595,1.541299190654399e-270,2.8555992616185305e-267,True
