gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
MT-CO1,600256.8487378244,-0.5482803022456602,0.1205924603675649,-4.546555403003687,5.453102027375153e-06,1.0613721227438659e-05,False
MT-ND4,582888.6916455333,-0.6150366028469394,0.12637884077290845,-4.86661057409211,1.135284172346349e-06,2.3327536576450023e-06,False
MT-RNR2,505396.95034497033,-0.2869852814401689,0.13540086305568227,-2.119523280454638,0.034046268430663905,0.0453202812395406,False
COL1A1,247838.04966496394,0.3134184651939832,0.18563193938754047,1.6883865256596016,0.09133705531321554,0.11409947024424727,False
MT-CO3,339786.753917342,-0.5159875980307681,0.11808227250473795,-4.369729571473691,1.2440049730145093e-05,2.350233505838481e-05,False
EEF1A1,329923.60900124314,-0.3845365593196472,0.06157111957018344,-6.245404696293092,4.227042108141276e-10,1.1139283071070992e-09,False
COL1A2,175184.68794014814,-0.0934544978101162,0.15663709551717722,-0.5966306863744657,0.5507539788794447,0.5956380348180892,False
FN1,182909.29959990107,1.2117400459692982,0.17174176683757217,7.055593221626297,1.7186591554204974e-12,5.287901482989036e-12,False
ACTB,311788.32928381895,0.6683635057459598,0.06463977579829949,10.339817821019464,4.654214645612494e-25,2.7583686549943322e-24,False
COL3A1,182504.81160305304,-0.07484304259855327,0.17242297026944003,-0.43406654276746515,0.664240120302994,0.7031183549272987,False
MT-CO2,301871.3374043686,-0.10090587577725259,0.12603196767288752,-0.800637152941633,0.42334173560920463,0.4698646633884037,False
MT-CYB,298557.36612884304,-0.8792057719057009,0.12958285166421302,-6.784892913022008,1.1617264947234128e-11,3.388648375101119e-11,False
ACTG1,202340.14079013653,0.6976420355655252,0.058117578568672154,12.003976296796093,3.386279836781838e-33,2.8331421544615536e-32,False
MT-ND2,267549.1667013856,-0.686542136499525,0.13180199350761418,-5.208890383436148,1.899732989385273e-07,4.1521952721857035e-07,False
MT-ND1,232511.40162578924,-1.0751425812824984,0.1271093204519778,-8.458408694653434,2.7105072392370894e-17,1.086189689032897e-16,False
SPARC,130038.66514133543,-0.4059368763070789,0.13863524866149332,-2.928092820738959,0.0034104821353443267,0.005111508189816096,False
MT-ATP6,173753.09981627724,-0.6421779136784489,0.12931191602894104,-4.966115524378467,6.830727386913004e-07,1.428110636487755e-06,False
MT-ND5,178293.6466276696,-0.8674468073909505,0.13448067163209373,-6.450345591402703,1.1159537995915076e-10,3.055997968679355e-10,False
IGHG1,213488.94939588525,2.7511867536204377,0.24976900615964925,11.014924533358288,3.238078522535625e-28,2.1930682503663802e-27,True
EEF2,140028.39989949472,-0.5260679998961606,0.0687858101536241,-7.64791457309664,2.0426483359255852e-14,7.02270921183323e-14,False
B2M,138354.21275047344,0.42238405252504024,0.09742462979977894,4.335495586620117,1.45432092521186e-05,2.732710645418657e-05,False
IGKC,173609.98465308885,1.2667643855000328,0.2122310382822238,5.96879888895184,2.3900649084207063e-09,5.979465463685081e-09,False
RPL3,127914.92962503174,-0.44677712908494494,0.0734572817950921,-6.082135333175307,1.1859239988594933e-09,3.032927871009604e-09,False
CD74,119123.94713242538,0.5221878166027331,0.1258240729609838,4.150142371918414,3.3226853781381995e-05,6.048154286094144e-05,False
