Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),15/28,3.004087794082149e-05,0.0247844809748521,0,0,5.132191867052751,53.44126502992231,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;FBXO5;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),8/10,4.123935011399792e-05,0.0247844809748521,0,0,17.76967056901715,179.40468480109385,RACGAP1;INCENP;KIF4B;PRC1;KIF4A;BIRC5;CDCA8;KIF23,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),8/10,4.123935011399792e-05,0.0247844809748521,0,0,17.76967056901715,179.40468480109385,RACGAP1;INCENP;KIF4B;PRC1;KIF4A;BIRC5;CDCA8;KIF23,Basal,Activated
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),12/20,4.276927691785019e-05,0.0247844809748521,0,0,6.668438266557645,67.08242536107662,GINS1;RECQL4;GINS2;CDC45;RAD51;MCM7;GINS4;HMGA1;MCM3;MCM4;MCM6;MCM2,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),14/26,5.1511688486925466e-05,0.0247844809748521,0,0,5.188119261885283,51.2259425732143,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),14/26,5.1511688486925466e-05,0.0247844809748521,0,0,5.188119261885283,51.2259425732143,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),14/26,5.1511688486925466e-05,0.0247844809748521,0,0,5.188119261885283,51.2259425732143,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),8/11,0.000126638115108853,0.0533146464608271,0,0,11.845721027316454,106.30559750395732,GINS2;MCM7;GINS4;MCM3;MCM4;CDC7;MCM6;MCM2,Basal,Activated
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),15/34,0.0004884942004734798,0.1655096129441784,0,0,3.510207597553622,26.762464946639533,TOP2A;SPAG5;NCAPG2;PLK1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK,Basal,Activated
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),22/59,0.000491418090689366,0.1655096129441784,0,0,2.645856569879527,20.15670495983585,GPSM2;STIL;PLK1;CDCA8;TTK;KIF11;WDR62;AURKB;NDC80;CENPE;CCNB1;ESPL1;INCENP;KIF4B;KIF4A;NUF2;STMN1;CDK1;TACC3;BIRC5;DLGAP5;SPC25,Basal,Activated
