Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),26/94,0.0001390589855978974,0.330348817053524,0,0,2.542749920875345,22.58117637070048,OXTR;RAMP2;THRB;UCP1;ATP1A2;NR3C1;TFPI;GHR;SOCS2;CRHBP;GPER1;FFAR4;SLIT2;LHCGR;XBP1;AKR1C1;CAV1;AVPR2;AKR1C2;AVPR1A;ESR1;ESR2;NR4A3;LEP;KLF9;MGARP,Basal,Suppressed
GO_Biological_Process_2023,Sprouting Angiogenesis (GO:0002040),17/52,0.0002252866918454681,0.330348817053524,0,0,3.225135416096734,27.08512836119569,SEMA5A;CCBE1;RAMP2;EGR3;VEGFD;FGF2;BMP4;NR4A1;BMPER;ADGRA2;RSPO3;CDH13;SLIT2;TEK;RECK;TDGF1;GPLD1,Basal,Suppressed
GO_Biological_Process_2023,Positive Regulation Of Vasoconstriction (GO:0045907),7/12,0.00029003407994163653,0.330348817053524,0,0,9.276535673407096,75.5621338043245,FGB;FGA;OXTR;CAV1;AVPR2;FGG;AVPR1A,Basal,Suppressed
GO_Biological_Process_2023,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),37/163,0.00054209382078177,0.4446844291400991,0,0,1.954574136357232,14.698537199663336,VIPR1;ADCYAP1R1;RAMP2;GIPR;PTGER3;ADCY4;ADRB2;PTH1R;ADCY1;PTHLH;CRHR2;ADCY5;AKAP12;ADGRG4;GNA14;CALCR;GNAT3;GPER1;FFAR3;DRD1;P2RY12;LHCGR;PDE2A;AVPR2;GLP2R;SCTR;ADRA2A;ADGRD1;GNAL;ADRB3;ADGRB3;ADGRD2;GHRH;ADGRF5;ADGRL4;VIP;PF4,Basal,Suppressed
GO_Biological_Process_2023,Ethanol Oxidation (GO:0006069),5/7,0.0006506942188178214,0.4446844291400991,0,0,16.555470834921845,121.47528277295449,ADH4;ADH1C;ADH1B;ADH1A;ADH7,Basal,Suppressed
GO_Biological_Process_2023,Negative Regulation Of Peptide Hormone Secretion (GO:0090278),8/18,0.0011278980126589,0.5295597949159337,0,0,5.301374045801527,35.98254378265485,CHGA;PRKN;CRHBP;KCNJ11;IRS1;CRH;FFAR4;FOXO1,Basal,Suppressed
GO_Biological_Process_2023,Organic Cyclic Compound Catabolic Process (GO:1901361),6/11,0.0013079268067783,0.5295597949159337,0,0,7.948283752860412,52.77113558558094,ALDH4A1;HSD11B1;STS;CYP1A2;HOGA1;CYP3A4,Basal,Suppressed
GO_Biological_Process_2023,Regulation Of Insulin Secretion (GO:0050796),22/87,0.0016198227306475,0.5295597949159337,0,0,2.2477950292225044,14.44306885855559,PRKN;CHGA;TFAP2B;SLC30A8;KCNJ11;IRS1;GIPR;KCNA5;DOC2B;TRH;MYRIP;ABCA12;ADRA2A;FOXO1;ADCY5;PER2;G6PC2;IL6;RFX6;GPER1;NNAT;FFAR1,Basal,Suppressed
GO_Biological_Process_2023,Positive Regulation Of Secretion (GO:0051047),7/15,0.0016432111466907,0.5295597949159337,0,0,5.796833269744372,37.1640947910244,XBP1;NPR1;CYP4A11;TRH;LACRT;GPLD1;AQP1,Basal,Suppressed
GO_Biological_Process_2023,Response To Fatty Acid (GO:0070542),8/19,0.001725256949866,0.5295597949159337,0,0,4.819153365718251,30.661281536357105,PID1;IRS1;SCD;UCP1;PDK4;FFAR3;FFAR1;FOXO1,Basal,Suppressed
GO_Biological_Process_2023,Positive Regulation Of Peptide Hormone Secretion (GO:0090277),14/46,0.0017313253205111,0.5295597949159337,0,0,2.902161438408569,18.454461741082145,FGB;FGA;SLC30A8;GRP;FGG;DOC2B;TRH;MYRIP;GPER1;GHRH;NNAT;FFAR4;CRH;FFAR1,Basal,Suppressed
GO_Biological_Process_2023,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),26/110,0.0018597358908373,0.5295597949159337,0,0,2.056513304783866,12.929958867415994,RAMP2;GIPR;PTGER3;ADCY4;ADRB1;ADRB2;PTH1R;ADCY1;PTHLH;ADCY5;ADGRG4;CALCR;GNG2;GPER1;DRD1;LHCGR;ADRA2A;ADGRD1;ADRB3;ADGRB3;ADGRD2;GHRH;ADGRF5;ADGRL4;VIP;PF4,Basal,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception (GO:0051931),6/12,0.0023258241478225,0.5904609295618202,0,0,6.6231884057971016,40.16090057349515,TMEM100;OPRPN;SCN11A;SPX;VIP;MGLL,Basal,Suppressed
GO_Biological_Process_2023,Activation Of Adenylate Cyclase Activity (GO:0007190),8/20,0.0025470569396833,0.5904609295618202,0,0,4.417302798982188,26.383740048840245,LHCGR;CALCR;ADRB3;GIPR;AVPR2;ADRB1;ADRB2;DRD1,Basal,Suppressed
GO_Biological_Process_2023,Cellular Response To Fatty Acid (GO:0071398),7/16,0.0025920146161625,0.5904609295618202,0,0,5.152443935732757,30.684451706025225,DGAT2;PID1;IRS1;UCP1;PDK4;AKR1C2;FFAR3,Basal,Suppressed
GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential (GO:0086001),10/29,0.0028008243808452,0.5981510568342733,0,0,3.488601182099634,20.50544474719777,KCNE1;KCND3;KCNIP2;CACNA2D1;ATP1A2;DMD;SCN3B;SCN4B;CACNA1G;SCN2B,Basal,Suppressed
GO_Biological_Process_2023,Lipid Catabolic Process (GO:0016042),8/21,0.0036455764610369,0.6012229423169371,0,0,4.077275396359366,22.89080578053332,HSD11B1;LIPE;STS;CES1P1;CYP1A2;PLAAT3;CYP3A4;CES1,Basal,Suppressed
