Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),14/26,6.341815316622324e-07,0.0006460195869199274,0,0,8.007742782152231,114.27794147431518,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Her2,Activated
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),14/26,6.341815316622324e-07,0.0006460195869199274,0,0,8.007742782152231,114.27794147431518,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Her2,Activated
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),14/26,6.341815316622324e-07,0.0006460195869199274,0,0,8.007742782152231,114.27794147431518,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Her2,Activated
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),14/28,2.050643415250036e-06,0.001566691569251,0,0,6.862992125984252,89.88705763937278,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Her2,Activated
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),20/59,2.3739630182243957e-05,0.0145096619673875,0,0,3.522757169166009,37.511603251462766,STIL;PLK1;CDCA8;TTK;KIF11;WDR62;AURKB;NDC80;CENPE;CCNB1;ESPL1;KIF4B;KIF4A;NUF2;STMN1;CDK1;TACC3;BIRC5;DLGAP5;SPC25,Her2,Activated
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),13/34,0.00015828097315994313,0.0806177756627977,0,0,4.24514158280392,37.14982318756904,TOP2A;SPAG5;PLK1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK,Her2,Activated
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),9/20,0.0003966109883730676,0.1587659855979417,0,0,5.605108055009823,43.90231508056728,GINS1;RECQL4;GINS2;CDC45;RAD51;GINS4;HMGA1;MCM4;MCM2,Her2,Activated
GO_Biological_Process_2023,Tryptophan Catabolic Process (GO:0006569),5/7,0.0005679330346609469,0.1587659855979417,0,0,17.10867006669282,127.861766238375,IL4I1;TDO2;KYNU;KMO;IDO1,Her2,Activated
GO_Biological_Process_2023,Aromatic Amino Acid Family Catabolic Process (GO:0009074),6/10,0.0005714744245999211,0.1587659855979417,0,0,10.268053375196232,76.67454078064252,IL4I1;HGD;KYNU;FANCA;KMO;IDO1,Her2,Activated
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),6/10,0.0005714744245999211,0.1587659855979417,0,0,10.268053375196232,76.67454078064252,RACGAP1;KIF4B;KIF4A;BIRC5;CDCA8;KIF23,Her2,Activated
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),6/10,0.0005714744245999211,0.1587659855979417,0,0,10.268053375196232,76.67454078064252,RACGAP1;KIF4B;KIF4A;BIRC5;CDCA8;KIF23,Her2,Activated
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),16/53,0.0006718346373099062,0.1710938876349227,0,0,2.9662002427959875,21.66957089988608,BLM;CDKN2A;CCNF;CDC6;CDC25C;PKMYT1;CDC25A;TTBK1;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CCNO;CDK5R2;CDKN3,Her2,Activated
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),22/85,0.0007965491971953204,0.1810475132851946,0,0,2.397414679405201,17.10608515759954,STIL;PLK1;CDCA8;KIF23;TTK;KIF11;WDR62;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;KIFC1;KIF4B;KIF4A;NUF2;STMN1;BIRC5;MISP;DLGAP5;SPC25,Her2,Activated
GO_Biological_Process_2023,Centromere Complex Assembly (GO:0034508),7/14,0.0008294061472489285,0.1810475132851946,0,0,6.846878680800942,48.57723896238703,CENPE;CENPF;CENPW;CENPI;HJURP;OIP5;DLGAP5,Her2,Activated
GO_Biological_Process_2023,"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",8/18,0.0009305880200857804,0.1895917992921429,0,0,5.478711704634721,38.239730620645496,H2AC8;H4C9;H2BC11;CDK1;TTK;KNL1;HASPIN;CENPA,Her2,Activated
GO_Biological_Process_2023,Mitotic Nuclear Division (GO:0140014),14/45,0.0010312415588151,0.1969671377336964,0,0,3.096393192786385,21.29387061414183,SPAG5;UBE2C;PLK1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;UBE2S;CENPK,Her2,Activated
GO_Biological_Process_2023,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),7/15,0.0013843126091966,0.2280283275777396,0,0,5.990675304279544,39.4339291510838,CDC20;ESPL1;UBE2C;CDCA8;BIRC5;AURKB;DLGAP5,Her2,Activated
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),26/111,0.0014146748269541,0.2280283275777396,0,0,2.1006422189128817,13.782010220531518,CDCA5;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;MISP;CEP55;DLGAP5;SPAG5;PLK1;KIF23;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIFC1;CENPI;CENPK;KIF2C,Her2,Activated
GO_Biological_Process_2023,Chromosome Condensation (GO:0030261),11/32,0.001417715387427,0.2280283275777396,0,0,3.589217834204071,23.540633823,TOP2A;H1-5;H1-4;H1-6;CDCA5;PLK1;NCAPG;SMC4;NCAPH;H1-3;H1-2,Her2,Activated
GO_Biological_Process_2023,Mitotic Cytokinesis (GO:0000281),16/59,0.0023568580345434,0.3601279076782447,0,0,2.5514321842872065,15.437251339956042,PLK1;CDCA8;KIF23;CENPA;AURKB;CIT;ANLN;ESPL1;RACGAP1;KIF4B;KIF4A;STMN1;BIRC5;KIF20A;ECT2;CEP55,Her2,Activated
GO_Biological_Process_2023,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),5/9,0.0027276012284227,0.3621248961374915,0,0,8.553354256571204,50.50184946227259,CCNB1;RACGAP1;SPAG5;NEK2;ECT2,Her2,Activated
GO_Biological_Process_2023,CENP-A Containing Chromatin Assembly (GO:0034080),4/6,0.0032115995549828,0.3621248961374915,0,0,13.68156862745098,78.54569616765012,CENPW;CENPI;HJURP;OIP5,Her2,Activated
GO_Biological_Process_2023,Chromatin Remodeling At Centromere (GO:0031055),4/6,0.0032115995549828,0.3621248961374915,0,0,13.68156862745098,78.54569616765012,CENPW;CENPI;HJURP;OIP5,Her2,Activated
GO_Biological_Process_2023,Leukotriene Transport (GO:0071716),4/6,0.0032115995549828,0.3621248961374915,0,0,13.68156862745098,78.54569616765012,ABCC3;ABCC4;ABCC2;ABCC11,Her2,Activated
GO_Biological_Process_2023,Negative Regulation Of Lymphocyte Differentiation (GO:0045620),4/6,0.0032115995549828,0.3621248961374915,0,0,13.68156862745098,78.54569616765012,IFNL1;IFNB1;INHBA;INHA,Her2,Activated
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),12/40,0.0032521034784947,0.3621248961374915,0,0,2.9366078453411264,16.822220808030956,CCNA2;BRSK2;CCNB1;MELK;PLK1;CDK1;FOXM1;PKMYT1;CDC25C;AURKB;CDC25A;AURKA,Her2,Activated
GO_Biological_Process_2023,Negative Regulation Of T Cell Differentiation (GO:0045581),6/13,0.0033166007183915,0.3621248961374915,0,0,5.866449876653959,33.49047646934479,LAG3;IFNL1;IFNB1;MDK;TNFSF4;FOXJ1,Her2,Activated
GO_Biological_Process_2023,DNA Replication Checkpoint Signaling (GO:0000076),7/17,0.0033178982630398,0.3621248961374915,0,0,4.791990577149588,27.354712819504005,CDT1;CDC45;ORC1;CDC6;CLSPN;DNA2;TICRR,Her2,Activated
GO_Biological_Process_2023,Kinetochore Organization (GO:0051383),5/10,0.004883736614755,0.5146447963686683,0,0,6.842291094546881,36.41361027147792,CENPE;CENPF;CENPW;NUF2;DLGAP5,Her2,Activated
GO_Biological_Process_2023,Regulation Of Chromosome Segregation (GO:0051983),9/28,0.0062967065918935,0.6320503772430462,0,0,3.2435735704684108,16.43755037237688,RMI2;CDCA2;NCAPG;KIF2C;CDC6;MKI67;SMC4;BUB1;NCAPH,Her2,Activated
GO_Biological_Process_2023,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),11/38,0.0064115057900963,0.6320503772430462,0,0,2.790652626673075,14.091850076668894,CCNA2;BRSK2;CCNB1;MELK;PLK1;CDK1;FOXM1;PKMYT1;CDC25C;CDC25A;AURKA,Her2,Activated
GO_Biological_Process_2023,Tryptophan Metabolic Process (GO:0006568),4/7,0.0067365034695436,0.6433360813414153,0,0,9.120522875816992,45.60456855811281,IL4I1;KYNU;KMO;IDO1,Her2,Activated
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),25/118,0.00701940211026,0.6500391772410485,0,0,1.844517574628928,9.14710511214776,FEN1;KIF14;CDCA8;NCAPG;SMC4;NCAPH;AURKB;RXFP3;AURKA;RACGAP1;ECT2;E2F7;E2F8;PLK4;STIL;DMRT1;SPAG5;KIF23;CDC6;NDC80;CIT;SSTR5;EPGN;BIRC5;MAD2L1,Her2,Activated
GO_Biological_Process_2023,Androgen Biosynthetic Process (GO:0006702),4/8,0.0121183282054824,0.9999961935122303,0,0,6.84,30.18516791372412,MED1;SRD5A2;SRD5A3;HSD17B6,Her2,Activated
GO_Biological_Process_2023,Kynurenine Metabolic Process (GO:0070189),4/8,0.0121183282054824,0.9999961935122303,0,0,6.84,30.18516791372412,TDO2;KYNU;KMO;IDO1,Her2,Activated
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),4/8,0.0121183282054824,0.9999961935122303,0,0,6.84,30.18516791372412,CDC20;UBE2C;UBE2S;PLK1,Her2,Activated
GO_Biological_Process_2023,Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),5/12,0.0123177531863924,0.9999961935122303,0,0,4.886790337947654,21.485818070606285,CDT1;CENPE;NUF2;KIF2C;NDC80,Her2,Activated
GO_Biological_Process_2023,protein-DNA Complex Assembly (GO:0065004),14/59,0.0148071898120752,0.9999961935122303,0,0,2.131356080489939,8.978641032663244,H2AX;H2BC9;H2BC8;H4C9;H2BC3;H2BC17;H2BC13;H2BC14;RAD51;H3C14;H2BC21;H2BC11;H3C1;ASF1B,Her2,Activated
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266),6/17,0.0152324663104745,0.9999961935122303,0,0,3.732339089481947,15.617324192865985,CCNB1;CDCA8;BIRC5;AURKB;NDC80;MAD2L1,Her2,Activated
GO_Biological_Process_2023,Microtubule Depolymerization (GO:0007019),6/17,0.0152324663104745,0.9999961935122303,0,0,3.732339089481947,15.617324192865985,KIF18A;KIF18B;STMN1;KIF14;KIF24;KIF2C,Her2,Activated
GO_Biological_Process_2023,Regulation Of DNA-templated DNA Replication (GO:0090329),6/17,0.0152324663104745,0.9999961935122303,0,0,3.732339089481947,15.617324192865985,CDT1;BLM;MCIDAS;MCM4;TICRR;MCM2,Her2,Activated
GO_Biological_Process_2023,Nucleosome Assembly (GO:0006334),13/54,0.0164108774131516,0.9999961935122303,0,0,2.1718451541067947,8.925872902902412,H2AX;H2BC9;H2BC8;H4C9;H2BC3;H2BC17;H2BC13;H2BC14;H3C14;H2BC21;H2BC11;H3C1;ASF1B,Her2,Activated
GO_Biological_Process_2023,Centromeric Sister Chromatid Cohesion (GO:0070601),3/5,0.0170252316023895,0.9999961935122303,0,0,10.25715405723246,41.77799183552228,SGO1;BUB1B;BUB1,Her2,Activated
GO_Biological_Process_2023,Proline Metabolic Process (GO:0006560),3/5,0.0170252316023895,0.9999961935122303,0,0,10.25715405723246,41.77799183552228,AOC1;PYCR1;PRODH,Her2,Activated
GO_Biological_Process_2023,Positive Regulation Of Chromosome Separation (GO:1905820),5/13,0.0179434857674677,0.9999961935122303,0,0,4.275696351510396,17.190557498513204,CDCA8;NCAPG;BIRC5;SMC4;NCAPH,Her2,Activated
GO_Biological_Process_2023,Kinetochore Assembly (GO:0051382),4/9,0.0196309283641827,0.9999961935122303,0,0,5.471686274509804,21.507278066559174,CENPE;CENPF;CENPW;DLGAP5,Her2,Activated
GO_Biological_Process_2023,Regulation Of Animal Organ Morphogenesis (GO:2000027),4/9,0.0196309283641827,0.9999961935122303,0,0,5.471686274509804,21.507278066559174,SHH;SAPCD2;WT1;SIX2,Her2,Activated
GO_Biological_Process_2023,Mitotic Spindle Assembly (GO:0090307),11/44,0.0199481208572009,0.9999961935122303,0,0,2.2824747673351684,8.935022133094476,TPX2;RACGAP1;KIF4B;KIFC1;KIF4A;CDCA8;BIRC5;KIF23;KIF11;MISP;AURKB,Her2,Activated
GO_Biological_Process_2023,Positive Regulation Of Chromosome Segregation (GO:0051984),6/18,0.0204301586618191,0.9999961935122303,0,0,3.421114599686028,13.310678036938944,CCNB1;CDK1;NCAPG;CDC6;SMC4;NCAPH,Her2,Activated
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),8/28,0.0205544574282079,0.9999961935122303,0,0,2.737784760408484,10.6354107356165,H2BC12;IFNL2;H2BC8;BPIFB1;H2BC21;H2BC11;FFAR2;CAMP,Her2,Activated
