Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Ethanol Oxidation (GO:0006069),6/7,0.0001886814612882713,0.6990648140730453,0,0,27.733970753655797,237.83128933893303,ADH4;ADH1C;ADH1B;ADH1A;ADH7;ADH6,Her2,Suppressed
GO_Biological_Process_2023,Epidermis Development (GO:0008544),28/85,0.0005492478772694027,0.7515785237779598,0,0,2.2769685957962253,17.093113789932794,COL17A1;SPRR2E;SPRR2F;SPRR2G;LAMA3;KLK5;LAMC2;EDA2R;KLK7;PTHLH;NTF4;FGF7;SVEP1;ASIC2;SPRR2B;CERS3;KRTDAP;LAMB3;EMP1;KRT5;KRT31;EDAR;FLG2;DCT;FABP5;KRT15;KRT14;FGFR2,Her2,Suppressed
GO_Biological_Process_2023,Regulation Of Steroid Biosynthetic Process (GO:0050810),9/16,0.0006085656062979431,0.7515785237779598,0,0,5.945840537171806,44.02541636692685,NR5A1;EGR1;BMP2;NR1H4;NR0B1;CYP7A1;BMP5;CES1;WNT4,Her2,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception Of Pain (GO:0051930),8/14,0.0010833984260308,0.9999963028473916,0,0,6.164697054961546,42.090409182280126,TMEM100;OPRPN;SMR3B;SCN11A;CCN3;SPX;VIP;MGLL,Her2,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception (GO:0051931),7/12,0.001933801889223,0.9999963028473916,0,0,6.471504922644163,40.435692738576215,TMEM100;OPRPN;SMR3B;SCN11A;SPX;VIP;MGLL,Her2,Suppressed
GO_Biological_Process_2023,Negative Regulation Of Phospholipase Activity (GO:0010519),5/7,0.0027260253775706,0.9999963028473916,0,0,11.551869552994097,68.21275739259566,ANXA8L1;RGS2;ANXA1;ANXA8;PLA2R1,Her2,Suppressed
GO_Biological_Process_2023,Regulation Of Phospholipase A2 Activity (GO:0032429),5/7,0.0027260253775706,0.9999963028473916,0,0,11.551869552994097,68.21275739259566,ANXA8L1;ANXA1;LRP1;ANXA8;PLA2R1,Her2,Suppressed
GO_Biological_Process_2023,Cellular Response To Fatty Acid (GO:0071398),8/16,0.0033118067474731,0.9999963028473916,0,0,4.622960045019696,26.39831026809587,DGAT2;PID1;IRS1;AKR1C3;NR1H4;UCP1;PDK4;FFAR3,Her2,Suppressed
GO_Biological_Process_2023,Regulation Of Potassium Ion Transport (GO:0043266),12/30,0.0035916369446282,0.9999963028473916,0,0,3.083568075117371,17.357858617555607,KCNE1;DPP6;KCNIP1;KCNIP2;FHL1;CASQ2;ANK2;KCNAB1;NOS1;DRD2;VIP;ADRA2A,Her2,Suppressed
GO_Biological_Process_2023,Response To Heparin (GO:0071503),4/5,0.0043085232190525,0.9999963028473916,0,0,18.47892074198988,100.6576392795606,EGR1;SFRP1;SLIT2;GPIHBP1,Her2,Suppressed
