Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),23/73,5.8309904672130815e-05,0.1498780788943776,0,0,2.9577554064131246,28.83734201852209,CCL14;CXCL6;CCL13;CCL24;EDN1;CCL23;ANXA1;EDN3;CCL21;CXCL1;PPBP;CXCL3;CXCL2;CX3CL1;CXCL5;KLF5;CXCR2;SAA1;S100A12;CCL18;PF4V1;CCL16;PF4,LumA,Suppressed
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),22/70,8.736699440068646e-05,0.1498780788943776,0,0,2.94628214685054,27.53416450719109,CCL14;CXCL6;CCL13;CCL24;EDN1;CCL23;EDN3;CCL21;CXCL1;PPBP;CXCL3;CXCL2;CX3CL1;CXCL5;KLF5;CXCR2;SAA1;S100A12;CCL18;PF4V1;CCL16;PF4,LumA,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception (GO:0051931),7/12,0.000348449980845659,0.3452714697710886,0,0,8.971830985915492,71.43386064840521,TMEM100;OPRPN;SMR3B;SMR3A;SCN11A;SPX;MGLL,LumA,Suppressed
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),22/77,0.0004025315881913013,0.3452714697710886,0,0,2.570257174804324,20.093594574390284,CCL14;CXCL6;CCL13;CCL24;EDN1;CCL23;EDN3;CCL21;CXCL1;PPBP;CXCL3;CXCL2;CX3CL1;CXCL5;KLF5;CXCR2;SAA1;S100A12;CCL18;PF4V1;CCL16;PF4,LumA,Suppressed
GO_Biological_Process_2023,Epidermis Development (GO:0008544),23/85,0.0007015248173500657,0.4268553859500575,0,0,2.3836268071492146,17.31050398571595,COL17A1;SPRR2F;SPRR2G;LAMB3;SPINK5;KLK5;EMP1;LAMC2;KRT5;KLK7;KRT9;KRT83;EDAR;NTF4;SCEL;FGF7;DCT;FABP5;KRT15;KRT14;SVEP1;TGM5;SPRR2B,LumA,Suppressed
GO_Biological_Process_2023,Ethanol Oxidation (GO:0006069),5/7,0.0007464681771204737,0.4268553859500575,0,0,16.012037037037036,115.28918970475272,ADH4;ACSS2;ADH1C;ADH1B;ADH1A,LumA,Suppressed
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),17/57,0.0010463867901389,0.4694683348705037,0,0,2.7281901041666665,18.721965058691197,CCL14;CXCL6;CCL13;CCL24;FOXC1;CCL23;CCL21;CXCL1;PPBP;CXCL3;CXCL2;CX3CL1;CXCL5;CCL18;PF4V1;CCL16;PF4,LumA,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception Of Pain (GO:0051930),7/14,0.0011782237674149,0.4694683348705037,0,0,6.407709414381023,43.2119727832409,TMEM100;OPRPN;SMR3B;SMR3A;SCN11A;SPX;MGLL,LumA,Suppressed
GO_Biological_Process_2023,Cardiac Muscle Cell Contraction (GO:0086003),8/18,0.0013683134213655,0.4694683348705037,0,0,5.127178346310716,33.8095183310773,KCNE1;GSN;CACNA2D1;SCN5A;SCN3B;SCN4B;KCNJ2;SCN2B,LumA,Suppressed
GO_Biological_Process_2023,Positive Regulation Of Cation Transmembrane Transport (GO:1904064),8/18,0.0013683134213655,0.4694683348705037,0,0,5.127178346310716,33.8095183310773,EDN1;KCNE1;STAC;KCNE5;AKAP6;ANK2;NOS1;PIRT,LumA,Suppressed
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),17/59,0.0015951341733589,0.4975368498904293,0,0,2.5979751275510203,16.73303151188783,CCL14;CXCL6;CCL13;CCL24;FOXC1;CCL23;CCL21;CXCL1;PPBP;CXCL3;CXCL2;CX3CL1;CXCL5;CCL18;PF4V1;CCL16;PF4,LumA,Suppressed
GO_Biological_Process_2023,Long-Chain Fatty Acid Transport (GO:0015909),9/23,0.0020362133081398,0.5821873216856435,0,0,4.120628444256041,25.534147537796617,ABCD2;FABP4;FABP5;ACSL1;FABP9;SLC27A6;PPARG;SPX;CD36,LumA,Suppressed
GO_Biological_Process_2023,Cellular Response To Fatty Acid (GO:0071398),7/16,0.003068490099548,0.7519992522535255,0,0,4.983197430195206,28.835619072412022,DGAT2;PID1;AKR1C3;NR1H4;PDK4;AKR1C2;FFAR3,LumA,Suppressed
GO_Biological_Process_2023,Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),7/16,0.003068490099548,0.7519992522535255,0,0,4.983197430195206,28.835619072412022,CACNA2D1;ATP1A2;SCN5A;SCN3B;SCN4B;KCNJ2;SCN2B,LumA,Suppressed
