Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),16/26,3.8807576562523876e-09,3.838069322033611e-06,0,0,11.52999178307313,223.3040653704074,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25,LumB,Activated
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),16/26,3.8807576562523876e-09,3.838069322033611e-06,0,0,11.52999178307313,223.3040653704074,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25,LumB,Activated
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),16/26,3.8807576562523876e-09,3.838069322033611e-06,0,0,11.52999178307313,223.3040653704074,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25,LumB,Activated
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),16/28,1.7443445126925193e-08,1.2938675422896764e-05,0,0,9.60723089564503,171.626473107195,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25,LumB,Activated
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),14/34,2.091643861339294e-05,0.0124118146731873,0,0,5.037356321839081,54.27738929844577,TOP2A;SPAG5;PLK1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK;KNTC1,LumB,Activated
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),19/59,4.723906588680452e-05,0.0214140176436274,0,0,3.4213286713286712,34.07742349574801,STIL;PLK1;CDCA8;TTK;KIF11;WDR62;AURKB;NDC80;CENPE;CCNB1;ESPL1;KIF4B;KIF4A;NUF2;CDK1;TACC3;BIRC5;DLGAP5;SPC25,LumB,Activated
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),29/111,5.052178075678861e-05,0.0214140176436274,0,0,2.551717190034354,25.24440867506207,CDCA5;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;KNTC1;MISP;CEP55;DLGAP5;SPAG5;PLK1;KIF23;TEX14;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIFC2;KIFC1;CENPI;CENPK;KIF2C,LumB,Activated
GO_Biological_Process_2023,DNA Replication Checkpoint Signaling (GO:0000076),9/17,5.899127833930587e-05,0.02187839035409,0,0,8.084698893895943,78.72977567101408,CDT1;CDC45;ORC1;TIMELESS;HUS1B;CDC6;CLSPN;DNA2;TICRR,LumB,Activated
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),17/53,0.00012344686631797033,0.0406963169294908,0,0,3.399301274147144,30.592690747966863,BLM;CCNF;CDC6;CDC25C;PKMYT1;CDC25A;TTBK1;CCNA2;CCNB2;CCNB1;CCND1;CCNE2;CCNE1;CCNP;CCNO;CDK5R2;CDKN3,LumB,Activated
GO_Biological_Process_2023,Mitotic Nuclear Division (GO:0140014),15/45,0.00018876366808289057,0.0560061803201936,0,0,3.597535934291581,30.848923731765428,SPAG5;UBE2C;PLK1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;UBE2S;CENPK;KNTC1,LumB,Activated
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),22/85,0.00044999834138294265,0.0987020996904045,0,0,2.5150623676159096,19.38174127395051,STIL;PLK1;CDCA8;KIF23;TTK;KIF11;WDR62;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;KIFC2;KIFC1;KIF4B;KIF4A;NUF2;BIRC5;MISP;DLGAP5;SPC25,LumB,Activated
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),6/10,0.0004541072158593735,0.0987020996904045,0,0,10.768821603927988,82.88952843855357,RACGAP1;KIF4B;KIF4A;BIRC5;CDCA8;KIF23,LumB,Activated
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),6/10,0.0004541072158593735,0.0987020996904045,0,0,10.768821603927988,82.88952843855357,RACGAP1;KIF4B;KIF4A;BIRC5;CDCA8;KIF23,LumB,Activated
GO_Biological_Process_2023,Kidney Mesenchyme Development (GO:0072074),5/7,0.0004657328600153905,0.0987020996904045,0,0,17.94274028629857,137.65487959667286,SIX4;WT1;SIX2;SIX1;PAX2,LumB,Activated
GO_Biological_Process_2023,Mitotic Cytokinesis (GO:0000281),17/59,0.0005167275505368415,0.1022087094961872,0,0,2.912688626622042,22.04321239169188,PLK1;CKAP2;CDCA8;KIF23;CENPA;AURKB;CIT;ANLN;ESPL1;RACGAP1;KIF4B;KIF4A;BIRC5;TRIM36;KIF20A;ECT2;CEP55,LumB,Activated
GO_Biological_Process_2023,Calcium-Ion Regulated Exocytosis (GO:0017156),10/26,0.0006156423136858462,0.112052370807639,0,0,4.491290983606557,33.203415498787486,RIMS2;SYT5;RIMS1;SYT4;RIMS4;RAB3A;SYT1;SYT10;SYT13;SYT9,LumB,Activated
GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),7/14,0.0006420257174687776,0.112052370807639,0,0,7.180925092099877,52.78613441545416,SYT5;RIMS2;SYT4;RIMS1;RIMS4;UNC13A;SYT1,LumB,Activated
GO_Biological_Process_2023,Chromosome Condensation (GO:0030261),11/32,0.0010012492058581,0.1582735664867597,0,0,3.7645990745621742,26.000229306254,TOP2A;H1-5;H1-4;H1-6;CDCA5;PLK1;NCAPG;SMC4;NCAPH;H1-3;H1-2,LumB,Activated
GO_Biological_Process_2023,Positive Regulation Of Animal Organ Morphogenesis (GO:0110110),4/5,0.0010135482855572,0.1582735664867597,0,0,28.698282910874894,197.85451306455496,GDNF;SIX4;SIX1;GATA3,LumB,Activated
GO_Biological_Process_2023,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),7/15,0.0010768740454934,0.1597542646489592,0,0,6.282951289398281,42.93575922189206,CDC20;ESPL1;UBE2C;CDCA8;BIRC5;AURKB;DLGAP5,LumB,Activated
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),8/20,0.0016125263593209,0.2278269384812027,0,0,4.787878787878788,30.785836354085927,GINS1;RECQL4;GINS2;CDC45;RAD51;GINS4;MCM4;MCM2,LumB,Activated
GO_Biological_Process_2023,Regulation Of Animal Organ Morphogenesis (GO:2000027),5/9,0.0022581019524314,0.2714672719687673,0,0,8.97034764826176,54.65839734476237,TBX1;SHH;SAPCD2;WT1;SIX2,LumB,Activated
GO_Biological_Process_2023,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),5/9,0.0022581019524314,0.2714672719687673,0,0,8.97034764826176,54.65839734476237,CCNB1;RACGAP1;SPAG5;NEK2;ECT2,LumB,Activated
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),12/40,0.0022863134709343,0.2714672719687673,0,0,3.080159381225829,18.729878125266332,CCNA2;BRSK2;CCNB1;MELK;PLK1;CDK1;FOXM1;PKMYT1;CDC25C;AURKB;CDC25A;AURKA,LumB,Activated
GO_Biological_Process_2023,Regulation Of Regulated Secretory Pathway (GO:1903305),11/35,0.0022873885403502,0.2714672719687673,0,0,3.293460434604346,20.0253739984502,RIMS2;SYT5;RIMS1;SYT4;RIMS4;RAB3A;SYT1;SYT10;SYT13;SYT9;SYN1,LumB,Activated
GO_Biological_Process_2023,Regulation Of Mitotic Cytokinesis (GO:1902412),4/6,0.002744436858573,0.3131824676686964,0,0,14.348323793949303,84.62898749270379,BIRC5;CDCA8;AURKB;DCDC1,LumB,Activated
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),24/111,0.0037145290805176,0.3892380388134403,0,0,1.985729311766211,11.1111550568579,BRSK2;UBE2C;CCNF;PLK1;CDC7;CDC25C;PKMYT1;FOXM1;CDC25A;AURKA;CCNA2;CCNB2;CCNB1;MELK;CCND1;CCNE2;CCNE1;UBE2S;CDK1;E2F1;TACC3;CCNP;CCNO;CDKN3,LumB,Activated
GO_Biological_Process_2023,Ureteric Bud Morphogenesis (GO:0060675),7/18,0.0038183893012567,0.3892380388134403,0,0,4.568637666058869,25.437839159967808,SHH;GDNF;WT1;SIX1;GATA3;NPNT;PAX2,LumB,Activated
GO_Biological_Process_2023,"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",7/18,0.0038183893012567,0.3892380388134403,0,0,4.568637666058869,25.437839159967808,MTBP;H2BC11;CDK1;TTK;KNL1;HASPIN;CENPA,LumB,Activated
GO_Biological_Process_2023,Metanephric Mesenchyme Development (GO:0072075),5/10,0.0040621042900038,0.3892380388134403,0,0,7.175869120654396,39.51072389141626,SHH;SIX4;WT1;SIX1;PAX2,LumB,Activated
GO_Biological_Process_2023,Centromere Complex Assembly (GO:0034508),6/14,0.004198050974732,0.3892380388134403,0,0,5.383183306055646,29.462888506402624,CENPE;CENPF;CENPI;HJURP;OIP5;DLGAP5,LumB,Activated
GO_Biological_Process_2023,Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189),6/14,0.004198050974732,0.3892380388134403,0,0,5.383183306055646,29.462888506402624,GDNF;SIX4;LHX1;SIX2;SIX1;PAX2,LumB,Activated
