Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Epidermis Development (GO:0008544),34/85,1.7448816461969364e-06,0.0067614163790131,0,0,3.045009784735812,40.37324829381674,COL17A1;SPRR2E;SPRR2F;SPRR3;SPRR2G;KLK5;LAMC2;GLI1;DLL1;KRT85;KLK7;PTHLH;KRT83;NTF4;SCEL;FGF7;SVEP1;TGM5;SPRR2B;SPRR2D;CERS3;KRTDAP;LAMB3;SPINK5;EMP1;KRT5;KRT9;EDAR;FLG2;DCT;COL7A1;KRT15;KRT14;SPRR1B,LumB,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception Of Pain (GO:0051930),9/14,0.00016777331680749514,0.2638933987840553,0,0,8.187451415880066,71.17267016748819,TMEM100;OPRPN;SMR3B;SMR3A;SCN11A;CCN3;SPX;VIP;MGLL,LumB,Suppressed
GO_Biological_Process_2023,Ethanol Oxidation (GO:0006069),6/7,0.00020430456680055892,0.2638933987840553,0,0,27.275450762829404,231.72946675927903,ADH4;ADH1C;ADH1B;ADH1A;ADH7;ADH6,LumB,Suppressed
GO_Biological_Process_2023,Regulation Of Sensory Perception (GO:0051931),8/12,0.0002770150652039699,0.2683583444163459,0,0,9.095198445739662,74.50276022553885,TMEM100;OPRPN;SMR3B;SMR3A;SCN11A;SPX;VIP;MGLL,LumB,Suppressed
GO_Biological_Process_2023,Regulation Of Skeletal Muscle Contraction (GO:0014819),5/6,0.000975919907037692,0.736348423945273,0,0,22.723239046034383,157.5204479375781,SLC8A3;CAV3;DMD;SCN4A;KCNJ2,LumB,Suppressed
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),9/17,0.0012068077690526,0.736348423945273,0,0,5.116220155469184,34.379856547527694,MFAP4;TNXB;ELN;HAS1;HAS3;HAS2;MYH11;FBLN5;GPM6B,LumB,Suppressed
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),33/110,0.0015203438838795,0.736348423945273,0,0,1.9538449253373795,12.678145547665563,VIT;COL17A1;ECM2;HPSE2;COL14A1;NDNF;COL19A1;MMP20;TGM1;ADAMTS5;C6ORF15;ADAMTS3;MMP27;ADAMTS1;ADAMTSL4;MMP28;ADAMTS8;ADAMTS9;MMP7;MIA;COL23A1;SPINK5;HRNR;CCDC80;MMP23B;COL7A1;SMOC1;COL4A3;COL9A1;MMP19;MATN4;RECK;MATN2,LumB,Suppressed
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Transport (GO:0032376),13/31,0.0016887066214205,0.736348423945273,0,0,3.286131183991106,20.977979132575538,CETP;LRP1;CAV1;PTCH1;ADIPOQ;ABCA8;ABCA13;CYP8B1;EEPD1;LIPG;PPARG;PLTP;CES1,LumB,Suppressed
GO_Biological_Process_2023,Cellular Response To Prostaglandin Stimulus (GO:0071379),6/9,0.0017561084526257,0.736348423945273,0,0,9.090707350901525,57.67740207015584,PTGER4;PTGFR;SFRP1;GNG2;AKR1C3;AKR1C2,LumB,Suppressed
GO_Biological_Process_2023,Cardiac Muscle Cell Contraction (GO:0086003),9/18,0.002028847736874,0.736348423945273,0,0,4.547473625763465,28.19564280695955,KCNE1;GSN;CACNA2D1;SCN5A;SCN3B;SCN4B;KCNJ2;CACNA1G;SCN2B,LumB,Suppressed
