Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),15/28,4.439362695385624e-06,0.0057845882261924,0,0,6.168878785656669,76.03142936082234,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;FBXO5;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),14/26,8.600052538246566e-06,0.0057845882261924,0,0,6.2358110969928,72.7328933277323,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),14/26,8.600052538246566e-06,0.0057845882261924,0,0,6.2358110969928,72.7328933277323,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),14/26,8.600052538246566e-06,0.0057845882261924,0,0,6.2358110969928,72.7328933277323,PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25,Basal,Activated
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),12/20,8.623417152940375e-06,0.0057845882261924,0,0,8.014285714285714,93.4548191735389,GINS1;RECQL4;GINS2;CDC45;RAD51;MCM7;GINS4;HMGA1;MCM3;MCM4;MCM6;MCM2,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),8/10,1.2891443717068565e-05,0.0061768431752925,0,0,21.351934051997464,240.4002883815783,RACGAP1;INCENP;KIF4B;PRC1;KIF4A;BIRC5;CDCA8;KIF23,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),8/10,1.2891443717068565e-05,0.0061768431752925,0,0,21.351934051997464,240.4002883815783,RACGAP1;INCENP;KIF4B;PRC1;KIF4A;BIRC5;CDCA8;KIF23,Basal,Activated
GO_Biological_Process_2023,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),8/11,4.066721058593076e-05,0.0170497280381514,0,0,14.233777214119636,143.90474628389543,GINS2;MCM7;GINS4;MCM3;MCM4;CDC7;MCM6;MCM2,Basal,Activated
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),22/59,5.037727368633681e-05,0.0187739306604415,0,0,3.181459803752797,31.48363205787325,GPSM2;STIL;PLK1;CDCA8;TTK;KIF11;WDR62;AURKB;NDC80;CENPE;CCNB1;ESPL1;INCENP;KIF4B;KIF4A;NUF2;STMN1;CDK1;TACC3;BIRC5;DLGAP5;SPC25,Basal,Activated
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),15/34,8.539737081696364e-05,0.0286422781720096,0,0,4.2193066077969,39.52728809753423,TOP2A;SPAG5;NCAPG2;PLK1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK,Basal,Activated
GO_Biological_Process_2023,Positive Regulation Of Chromosome Separation (GO:1905820),8/13,0.00023503269753471996,0.0716636061392227,0,0,8.539251743817374,71.35215944608402,INCENP;NCAPG2;CDCA8;NCAPG;BIRC5;NCAPD2;SMC4;NCAPH,Basal,Activated
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),32/111,0.0003696087643400352,0.1033056496330398,0,0,2.16883568568771,17.140450494518635,TRIM71;BRSK2;CCNF;PKMYT1;FOXM1;AURKA;CCNB3;CCNB2;CCNB1;CHEK2;EIF4EBP1;E2F1;E2F3;UBE2C;PLK1;CDC7;CDC25C;MASTL;CDC25A;CDC25B;CCNA2;CCNA1;MELK;DBF4;CCNE2;CCNE1;UBE2S;CDK1;CCNI2;TACC3;CCNP;CDKN3,Basal,Activated
GO_Biological_Process_2023,Regulation Of Chromosome Segregation (GO:0051983),12/28,0.0006023547437538523,0.1552745627218293,0,0,4.005238095238095,29.69749475973287,RMI2;CDCA2;NCAPG2;NCAPG;KIF2C;NCAPD2;HORMAD1;CDC6;MKI67;SMC4;BUB1;NCAPH,Basal,Activated
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),22/69,0.0006684756786286041,0.1552745627218293,0,0,2.503062745629489,18.29866659444498,GINS1;WDHD1;PRIM2;GINS2;BLM;RFC4;MCM7;GINS4;HMGA1;MCM10;RECQL4;CDC45;ORC6;RAD51;ORC1;POLE2;MCM3;MCM4;CDK2AP1;DNA2;MCM6;MCM2,Basal,Activated
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),15/40,0.0007223068205679844,0.1552745627218293,0,0,3.2055290753098187,23.18578589683998,BRSK2;PLK1;FOXM1;PKMYT1;CDC25C;MASTL;AURKB;CDC25A;AURKA;CDC25B;CCNA2;CCNB1;MELK;CHEK2;CDK1,Basal,Activated
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),31/111,0.0008176465454009134,0.1552745627218293,0,0,2.074009900990099,14.744303158993786,CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;CHEK2;CEP55;DLGAP5;SPAG5;PLK1;KIF23;KNSTRN;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIF18B;PSRC1;ESPL1;KIFC1;CENPI;PRC1;CENPK;KIF2C;NCAPD2,Basal,Activated
GO_Biological_Process_2023,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),6/9,0.0008460287016216198,0.1552745627218293,0,0,10.668567807351078,75.47966139755786,CCNB1;RACGAP1;SPAG5;NEK2;ECT2;KNSTRN,Basal,Activated
GO_Biological_Process_2023,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),8/15,0.0008719889434365012,0.1552745627218293,0,0,6.098740827973549,42.96400573170198,CDC20;ESPL1;UBE2C;INCENP;CDCA8;BIRC5;AURKB;DLGAP5,Basal,Activated
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),18/53,0.0008796114167306971,0.1552745627218293,0,0,2.7485823336968376,19.339108636661408,BLM;CDKN2A;CCNF;CDC6;CDC25C;PKMYT1;CDC25A;CCNA2;CCNB3;CCNA1;CCNB2;CCNB1;CCNE2;CCNE1;CCNI2;CCNP;CDK5R2;CDKN3,Basal,Activated
GO_Biological_Process_2023,Mitotic Nuclear Division (GO:0140014),16/45,0.0009557777204873258,0.1602839237257245,0,0,2.9478483898546592,20.49634617314132,SPAG5;UBE2C;NCAPG2;PLK1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;UBE2S;CENPK,Basal,Activated
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),25/85,0.0011283852193241,0.1802192393149074,0,0,2.228509191371799,15.124819851327484,GPSM2;CDCA8;TTK;KIF11;WDR62;AURKB;AURKA;CCNB1;CHEK2;NUF2;STMN1;DLGAP5;STIL;PLK1;KIF23;NDC80;CENPE;TPX2;INCENP;KIFC1;KIF4B;PRC1;KIF4A;BIRC5;SPC25,Basal,Activated
GO_Biological_Process_2023,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),14/38,0.0013181837947206,0.200963111249692,0,0,3.1156819144430328,20.661645870974024,BRSK2;PLK1;FOXM1;PKMYT1;CDC25C;MASTL;CDC25A;AURKA;CDC25B;CCNA2;CCNB1;MELK;CHEK2;CDK1,Basal,Activated
GO_Biological_Process_2023,Mitotic DNA Replication (GO:1902969),6/10,0.0018317573172241,0.2671180018247752,0,0,8.000950570342205,50.425826872238325,GINS1;MCM3;MCM4;MCM6;TK1;MCM2,Basal,Activated
GO_Biological_Process_2023,Regulation Of DNA-templated DNA Replication (GO:0090329),8/17,0.0024480328076753,0.3421125848726356,0,0,4.742901430282534,28.51655499371212,CDT1;BLM;MCM7;MCM3;MCM4;MCM6;TICRR;MCM2,Basal,Activated
GO_Biological_Process_2023,Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),9/21,0.00291739406343,0.3875350152945738,0,0,4.002378686964796,23.362142570043247,CCNB1;CDK1;CDC7;FBXO5;CDC25C;CDC25A;PHOX2B;CDC25B;TNFSF13B,Basal,Activated
GO_Biological_Process_2023,Centromere Complex Assembly (GO:0034508),7/14,0.0030041474053842,0.3875350152945738,0,0,5.334706814580032,30.982704726578973,CENPE;CENPF;CENPW;CENPI;HJURP;OIP5;DLGAP5,Basal,Activated
GO_Biological_Process_2023,Intermediate Filament Organization (GO:0045109),20/68,0.0033814552286668,0.4108207464759744,0,0,2.226554211754721,12.667866903188813,KRT81;KRT3;KRT2;KRT79;KRT23;KRT34;KRT78;KRT77;KRT75;KRT86;KRT85;KRT72;KRT9;KRT83;KRT33B;KRT38;KRT16;INA;KRT6B;KRT6A,Basal,Activated
