Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
KEGG_2021_Human,Systemic lupus erythematosus,45/135,3.585079912398346e-07,7.817054150567802e-05,0,0,2.686557587423805,39.87204711537301,H2AX;CD80;H2AC16;TNF;H2AC17;H2AC18;H2AC11;H2AC12;H2AC13;H2AC14;C8G;H3C13;H3C14;H3C11;H3C12;H3C1;H3C10;H2BU1;H4C2;H3C3;H4C1;H3C2;H4C4;H4C3;HLA-DOB;H3C7;H4C5;H2AZ1;H2BC9;H3C8;H2BC7;H4C9;H2AC7;H2BC6;H2AC4;H2BC3;H2BC17;H2BC12;H2BC13;H2BC14;IFNG;H2AC20;H2BC10;H2AC21;H2BC11,Basal,Activated
KEGG_2021_Human,Cell cycle,42/124,5.335873140319319e-07,7.817054150567802e-05,0,0,2.750750469043152,39.7308580785887,PCNA;MCM7;BUB1B;TTK;PKMYT1;CDC20;CCNB3;CCNB2;CCNB1;ORC6;CDC45;PTTG1;ORC1;CHEK2;CHEK1;E2F1;E2F2;SFN;E2F3;SKP2;E2F5;BUB1;CDKN2A;PLK1;CDC7;CDC6;CDC25C;CDC25A;CDC25B;SMC1B;CCNA2;CCNA1;DBF4;CCNE2;ESPL1;CCNE1;CDK1;MCM3;MCM4;MCM6;MCM2;MAD2L1,Basal,Activated
KEGG_2021_Human,Alcoholism,48/186,0.000295759304507308,0.0288858254068804,0,0,1.865348635893999,15.157756972387553,SHC4;H2AX;CALML5;H2AC16;H2AC17;H2AC18;H2AC11;GNGT1;H2AC12;H2AC13;H2AC14;H3C13;GNG4;H3C14;H3C11;NPY;H3C12;H3C1;H3C10;H2BU1;H4C2;H3C3;H4C1;H3C2;H4C4;H4C3;H3C7;H4C5;H2AZ1;H2BC9;H3C8;H2BC7;H4C9;H2AC7;H2BC6;H2AC4;H2BC3;H2BC17;GNG13;GRIN2D;H2BC12;H2BC13;H2BC14;TH;H2AC20;H2BC10;H2AC21;H2BC11,Basal,Activated
KEGG_2021_Human,DNA replication,12/36,0.0072738886889939,0.5328123464688063,0,0,2.668888888888889,13.140178991953084,PRIM2;FEN1;PCNA;RNASEH2A;RFC4;MCM7;POLE2;MCM3;MCM4;DNA2;MCM6;MCM2,Basal,Activated
KEGG_2021_Human,Neutrophil extracellular trap formation,42/189,0.0123982781469229,0.7265390994096852,0,0,1.5284798534798534,6.710328699233478,H2AX;H2AC16;H2AC17;H2AC18;H2AC11;H2AC12;H2AC13;H2AC14;H3C13;CLEC7A;H3C14;H3C11;H3C12;H3C1;H3C10;H2BU1;H4C2;H3C3;H4C1;H3C2;H4C4;H4C3;H3C7;H4C5;H2AZ1;H2BC9;H3C8;H2BC7;H4C9;H2AC7;H2BC6;H2AC4;H2BC3;H2BC17;H2BC12;H2BC13;H2BC14;CR1L;H2AC20;H2BC10;H2AC21;H2BC11,Basal,Activated
KEGG_2021_Human,IL-17 signaling pathway,23/94,0.0191845358028008,0.9368448317034416,0,0,1.730348321211115,6.841192940368434,CXCL8;CCL11;MMP1;CCL20;CXCL1;MUC5B;TNF;MMP9;MAPK15;CXCL5;MUC5AC;S100A7A;CXCL10;MMP13;IFNG;CCL7;LCN2;DEFB4A;S100A9;IL17C;S100A8;MAPK4;S100A7,Basal,Activated
KEGG_2021_Human,Maturity onset diabetes of the young,7/26,0.1039440725927791,0.9999962550231296,0,0,1.964017015597631,4.4463426153185495,PDX1;PAX6;BHLHA15;MAFA;MNX1;NKX2-2;FOXA2,Basal,Activated
KEGG_2021_Human,Nicotine addiction,9/40,0.1705388618553287,0.9999962550231296,0,0,1.5475583929283938,2.7373090279137826,GABRQ;GABRA1;GABRP;GABRA5;GABRA3;CACNA1B;SLC17A6;GABRG2;GRIN2D,Basal,Activated
KEGG_2021_Human,Fanconi anemia pathway,11/54,0.2257310130048995,0.9999962550231296,0,0,1.3635021735440207,2.029451901572409,FANCI;RMI2;BLM;BRIP1;RAD51;EME1;FANCD2;UBE2T;FANCA;FANCB;BRCA2,Basal,Activated
KEGG_2021_Human,Bladder cancer,8/41,0.3173336813931356,0.9999962550231296,0,0,1.2916738725235872,1.4825851257680722,CXCL8;CDKN2A;MMP1;E2F1;E2F2;E2F3;MMP9;TYMP,Basal,Activated
