Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
KEGG_2021_Human,Systemic lupus erythematosus,53/135,7.390112891199429e-15,2.180083302903832e-12,0,0,4.487434294574853,146.01497934531466,H2AX;CD80;H2AC19;C8B;H2AC16;C8A;H2AC17;H2AC18;H2AC11;H2AC13;H2AC14;H2BC21;H2BU1;H4C2;H4C1;H4C4;H4C3;H4C5;H3C8;H2AC8;H2AC7;H2AC4;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H4C15;IFNG;H4C14;H2BC10;H2BC11;H3C15;H3C14;H3C11;H3C12;H3C1;H3C10;H3C3;H3C2;H3C7;H3C6;H4C8;H2AZ1;H2BC9;H2BC7;H4C9;H2BC8;H2BC6;H2BC3;H2BC4;H2AC20;H2AC21,Her2,Activated
KEGG_2021_Human,Alcoholism,59/186,1.0747196744382157e-11,1.585211519796368e-09,0,0,3.2247834251179524,81.44634323003525,H2AX;CALML5;H2AC19;H2AC16;H2AC17;H2AC18;H2AC11;GNGT1;H2AC13;H2AC14;CREB3L4;CREB3L1;H2BC21;H2BU1;H4C2;H4C1;H4C4;H4C3;H4C5;H3C8;H2AC8;H2AC7;H2AC4;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H4C15;H4C14;H2BC10;H2BC11;DDC;H3C15;GNG4;H3C14;H3C11;H3C12;H3C1;H3C10;H3C3;H3C2;H3C7;H3C6;H4C8;H2AZ1;H2BC9;H2BC7;H4C9;H2BC8;H2BC6;H2BC3;H2BC4;GNG13;GRIN1;TH;H2AC20;H2AC21;PPP1R1B,Her2,Activated
KEGG_2021_Human,Neutrophil extracellular trap formation,53/189,1.536006493841285e-08,1.510406385610597e-06,0,0,2.697244631559141,48.527462982781046,H2AX;H2AC19;H2AC16;H2AC17;H2AC18;H2AC11;H2AC13;H2AC14;H2BC21;H2BU1;H4C2;H4C1;H4C4;H4C3;CAMP;H4C5;PRKCG;FGB;H3C8;H2AC8;H2AC7;H2AC4;FGG;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H4C15;H4C14;H2BC10;H2BC11;H3C15;H3C14;H3C11;H3C12;H3C1;H3C10;H3C3;H3C2;H3C7;H3C6;H4C8;H2AZ1;H2BC9;H2BC7;H4C9;H2BC8;H2BC6;H2BC3;H2BC4;H2AC20;H2AC21,Her2,Activated
KEGG_2021_Human,Cell cycle,28/124,0.0017149219362544,0.1264754927987691,0,0,2.003332013723938,12.757994990512808,BUB1B;TTK;PKMYT1;CDC20;CCNB2;CCNB1;ORC6;CDC45;PTTG1;ORC1;CHEK1;E2F1;E2F2;BUB1;CDKN2A;PLK1;CDC6;CDC25C;CDC25A;SMC1B;CCNA2;CCNE2;ESPL1;CCNE1;CDK1;MCM4;MCM2;MAD2L1,Her2,Activated
KEGG_2021_Human,Maturity onset diabetes of the young,7/26,0.0401435341357876,0.9999961947768148,0,0,2.5207984625875643,8.105107905400986,ONECUT1;PDX1;PAX6;MAFA;MNX1;FOXA3;NKX2-2,Her2,Activated
KEGG_2021_Human,Viral carcinogenesis,34/203,0.0585344555700686,0.9999961947768148,0,0,1.3793040293040293,3.914657543280605,CDC20;CREB3L4;CREB3L1;H2BC21;CHEK1;CCR8;H4C2;H2BU1;H4C1;H4C4;H4C3;H4C5;H4C8;H2BC9;H2BC7;H4C9;H2BC8;CDKN2A;H2BC6;H2BC3;H2BC4;H2BC17;H2BC18;CCNA2;H2BC12;H2BC13;H2BC14;CCNE2;H4C15;CCNE1;H4C14;H2BC10;H2BC11;CDK1,Her2,Activated
KEGG_2021_Human,Fanconi anemia pathway,11/54,0.0766460643043726,0.9999961947768148,0,0,1.7506607284931732,4.496671906094386,FANCI;RMI2;BLM;BRIP1;RAD51;EME1;CENPX;FANCD2;UBE2T;FANCA;BRCA2,Her2,Activated
KEGG_2021_Human,Pentose and glucuronate interconversions,7/34,0.1348536858353759,0.9999961947768148,0,0,1.7730808940074745,3.552482638625512,UGT2B10;UGT1A10;UGT2B11;AKR1B10;UGT1A1;SORD;UGT1A6,Her2,Activated
KEGG_2021_Human,IL-17 signaling pathway,16/94,0.1402074831651528,0.9999961947768148,0,0,1.4037299711058575,2.757812723562598,CXCL8;CCL11;MMP1;CCL20;MUC5B;MUC5AC;S100A7A;CXCL10;MMP13;IFNG;TRAF4;CCL7;S100A9;IL17C;S100A8;S100A7,Her2,Activated
KEGG_2021_Human,Homologous recombination,8/41,0.1447026523044071,0.9999961947768148,0,0,1.658025661167845,3.2050868205983782,BLM;BRIP1;RAD51;EME1;XRCC2;RAD54L;BRCA2;RAD54B,Her2,Activated
KEGG_2021_Human,Tyrosine metabolism,7/36,0.1681950743237666,0.9999961947768148,0,0,1.6506099129469425,2.942428096857456,PNMT;ALDH3B2;IL4I1;DDC;HGD;TH;TYRP1,Her2,Activated
KEGG_2021_Human,Ascorbate and aldarate metabolism,6/30,0.1763804316709274,0.9999961947768148,0,0,1.709379905808477,2.965965712140118,UGT2B10;UGT1A10;MIOX;UGT2B11;UGT1A1;UGT1A6,Her2,Activated
KEGG_2021_Human,Glutathione metabolism,10/57,0.185257284700369,0.9999961947768148,0,0,1.4551552254783888,2.4534058134633376,GGCT;G6PD;NAT8B;RRM2;GSTA3;GSTA2;GSR;IDH2;CHAC1;GGT1,Her2,Activated
KEGG_2021_Human,alpha-Linolenic acid metabolism,5/25,0.2074916342256171,0.9999961947768148,0,0,1.7091016084739112,2.687843011414614,PLA2G2F;FADS2;PLA2G2D;PLA2G4F;PLA2G3,Her2,Activated
KEGG_2021_Human,Nicotine addiction,7/40,0.2439625239653673,0.9999961947768148,0,0,1.4502028530297082,2.0458601239131173,GABRQ;CHRNA4;GABRA3;CACNA1B;GABRD;GABRG2;GRIN1,Her2,Activated
KEGG_2021_Human,Steroid hormone biosynthesis,10/61,0.2469161823967662,0.9999961947768148,0,0,1.3407171044518436,1.875269517450887,UGT2B10;UGT1A10;UGT2B11;UGT1A1;SULT1E1;SRD5A2;CYP21A2;SRD5A3;HSD17B6;UGT1A6,Her2,Activated
KEGG_2021_Human,Tryptophan metabolism,7/42,0.2852826122130157,0.9999961947768148,0,0,1.3671770710639968,1.7148159773948315,IL4I1;DDC;AOC1;TDO2;KYNU;KMO;IDO1,Her2,Activated
KEGG_2021_Human,Oocyte meiosis,19/129,0.2879792806188788,0.9999961947768148,0,0,1.1812228796844182,1.4704650798517869,CALML5;SPDYC;PLK1;CDC25C;FBXO43;PKMYT1;SMC1B;AURKA;CDC20;SGO1;CCNB2;CCNB1;PTTG1;CCNE2;ESPL1;CCNE1;CDK1;BUB1;MAD2L1,Her2,Activated
KEGG_2021_Human,DNA replication,6/36,0.3084649350628936,0.9999961947768148,0,0,1.367032967032967,1.6078318663116906,FEN1;RNASEH2A;POLE2;MCM4;DNA2;MCM2,Her2,Activated
KEGG_2021_Human,Phenylalanine metabolism,3/17,0.3723381768253931,0.9999961947768148,0,0,1.4642997143977152,1.446658944573021,ALDH3B2;IL4I1;DDC,Her2,Activated
KEGG_2021_Human,Bladder cancer,6/41,0.4279888983698793,0.9999961947768148,0,0,1.1714061448755326,0.9941232220149984,CXCL8;CDKN2A;MMP1;ERBB2;E2F1;E2F2,Her2,Activated
KEGG_2021_Human,GABAergic synapse,12/89,0.4672052120732475,0.9999961947768148,0,0,1.0648533213442732,0.810339205997564,GNGT1;PRKCG;GABRQ;GABBR2;KCNJ6;GNG4;GABRA3;CACNA1B;SLC6A11;GABRD;GABRG2;GNG13,Her2,Activated
KEGG_2021_Human,Fat digestion and absorption,6/43,0.4753249029152299,0.9999961947768148,0,0,1.107959607959608,0.8240523846696343,PLA2G2F;PNLIPRP2;PLA2G2D;CLPS;PLA2G3;CEL,Her2,Activated
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,6/43,0.4753249029152299,0.9999961947768148,0,0,1.107959607959608,0.8240523846696343,UGT2B10;UGT1A10;UGT2B11;UGT1A1;CP;UGT1A6,Her2,Activated
KEGG_2021_Human,Mucin type O-glycan biosynthesis,5/36,0.493960151324856,0.9999961947768148,0,0,1.1019501638846354,0.7772059248474998,GALNT7;GALNT6;GALNT14;B3GNT6;GCNT3,Her2,Activated
KEGG_2021_Human,Retinol metabolism,9/68,0.5084765949124863,0.9999961947768148,0,0,1.0421431187772634,0.7048390045262203,UGT2B10;UGT1A10;SDR16C5;UGT2B11;UGT1A1;AWAT2;RDH16;HSD17B6;UGT1A6,Her2,Activated
KEGG_2021_Human,Linoleic acid metabolism,4/29,0.5166683413360714,0.9999961947768148,0,0,1.0930823529411764,0.7218214313798251,PLA2G2F;PLA2G2D;PLA2G4F;PLA2G3,Her2,Activated
KEGG_2021_Human,ABC transporters,6/45,0.5214524109757913,0.9999961947768148,0,0,1.0510204081632653,0.6843585517461416,ABCC3;ABCC4;ABCC2;ABCA12;ABCC11;ABCC12,Her2,Activated
