Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
KEGG_2021_Human,Systemic lupus erythematosus,28/135,4.190319704926725e-06,0.0009679638518380736,0,0,2.95310919609985,36.56756424567685,H2AC19;H2AC17;H2AC18;C4B;C4A;H2AC13;H3C15;H3C13;H3C14;H2BC21;H3C11;H3C12;H3C10;H2BU1;H4C4;H2BC9;H2BC7;H2BC5;H2AC7;H2BC6;H2BC3;H2BC4;H4-16;H2BC17;H2BC18;H2BC14;H4C14;H4C12,LumA,Activated
KEGG_2021_Human,Alcoholism,29/186,0.0006199754688737802,0.0716071666549216,0,0,2.0800829286750333,15.363140242993856,H2AC19;H2AC17;H2AC18;GNGT1;H2AC13;H3C15;H3C13;CREB3L4;H3C14;H2BC21;H3C11;H3C12;H3C10;H2BU1;H4C4;H2BC9;H2BC7;H2BC5;H2AC7;H2BC6;H2BC3;H2BC4;H4-16;H2BC17;H2BC18;GNG13;H2BC14;H4C14;H4C12,LumA,Activated
KEGG_2021_Human,Neutrophil extracellular trap formation,27/189,0.0034063958567402,0.2622924809689993,0,0,1.874021425628348,10.648378042359363,H2AC19;H2AC17;H2AC18;H2AC13;H3C15;H3C13;H3C14;H2BC21;H3C11;H3C12;H3C10;H2BU1;H4C4;H2BC9;H2BC7;H2BC5;H2AC7;H2BC6;H2BC3;H2BC4;H4-16;AZU1;H2BC17;H2BC18;H2BC14;H4C14;H4C12,LumA,Activated
KEGG_2021_Human,Caffeine metabolism,3/6,0.0091889009903971,0.5306590321954364,0,0,11.176613885505482,52.41562485849841,CYP2A7;CYP2A6;NAT1,LumA,Activated
KEGG_2021_Human,Maturity onset diabetes of the young,5/26,0.0576415684644539,0.9999960696691996,0,0,2.661730545876887,7.595278181782975,NKX6-1;MAFA;FOXA3;NKX2-2;NEUROG3,LumA,Activated
KEGG_2021_Human,Fat digestion and absorption,7/43,0.0596087883390922,0.9999960696691996,0,0,2.1746201329534665,6.1323249594930775,PNLIPRP2;CLPS;PLA2G2C;PLA2G10;PLA2G3;APOA1;PNLIP,LumA,Activated
KEGG_2021_Human,Nicotine addiction,6/40,0.1067715420692738,0.9999960696691996,0,0,1.972616014068837,4.41286797103627,GRIA2;GABRA1;CHRNA6;SLC17A8;GABRD;GABRG2,LumA,Activated
KEGG_2021_Human,Pancreatic secretion,12/102,0.1321416773383769,0.9999960696691996,0,0,1.4913247601551336,3.018263278436907,PNLIPRP2;PRSS1;CPB1;SCT;PLA2G2C;PLA2G10;ATP1A4;PLA2G3;ATP1A3;ADCY1;PRSS2;PNLIP,LumA,Activated
KEGG_2021_Human,Neuroactive ligand-receptor interaction,34/341,0.1398858422055566,0.9999960696691996,0,0,1.2407208584305376,2.4404093433218725,NPFFR2;OPRD1;GRIA2;PRSS1;SCT;CHRNA6;CHRNA9;TRH;GRPR;RXFP3;GRM4;UCN3;NPW;GRM8;KISS1R;PRLH;CGA;PRSS2;GABRD;GABRA1;GHSR;HTR1E;HTR1D;NPY1R;TACR3;SSTR2;GABRG2;SSTR5;KISS1;PYY;MTNR1B;GHRH;MC5R;RLN2,LumA,Activated
KEGG_2021_Human,GnRH secretion,8/64,0.1532658545187327,0.9999960696691996,0,0,1.5969107251941703,2.995135820894611,KISS1;KCNJ6;KISS1R;CACNA1D;CGA;CACNA1H;HCN2;KCNJ3,LumA,Activated
KEGG_2021_Human,Cardiac muscle contraction,10/87,0.1766304183569535,0.9999960696691996,0,0,1.4518447912943326,2.517057160685684,CACNG6;ATP1A4;CACNA2D2;ATP1A3;CACNA1D;TNNI3;COX6C;COX6A2;CACNG4;SLC8A2,LumA,Activated
KEGG_2021_Human,GABAergic synapse,10/89,0.1948263963445907,0.9999960696691996,0,0,1.4149343862501451,2.314332323934824,GNGT1;GABRA1;KCNJ6;GAD1;ABAT;CACNA1D;ADCY1;GABRD;GABRG2;GNG13,LumA,Activated
KEGG_2021_Human,Synaptic vesicle cycle,8/78,0.3109131820436222,0.9999960696691996,0,0,1.276551182476656,1.4913201489093286,RIMS1;UNC13A;SYT1;SLC1A1;SLC1A2;SLC17A8;CPLX2;SLC6A4,LumA,Activated
KEGG_2021_Human,Retinol metabolism,7/68,0.3255656388440218,0.9999960696691996,0,0,1.2816309373686423,1.4382349367862788,CYP2A7;CYP2A6;CYP2B6;RDH16;UGT2B17;UGT2B4;HSD17B6,LumA,Activated
KEGG_2021_Human,Glutamatergic synapse,11/114,0.3357830739236225,0.9999960696691996,0,0,1.192927000273318,1.3018292355541234,GNGT1;GRIA2;GRM4;SLC1A1;GRM8;SLC1A2;CACNA1D;ADCY1;SLC17A8;GNG13;KCNJ3,LumA,Activated
KEGG_2021_Human,alpha-Linolenic acid metabolism,3/25,0.3390450090228483,0.9999960696691996,0,0,1.522505813309711,1.6467764076947755,PLA2G2C;PLA2G10;PLA2G3,LumA,Activated
KEGG_2021_Human,Protein digestion and absorption,10/103,0.340059465130861,0.9999960696691996,0,0,1.2010127914241555,1.2954541671193862,PRSS1;CPB1;COL2A1;COL11A1;SLC1A1;ATP1A4;COL10A1;ATP1A3;PRSS2;SLC8A2,LumA,Activated
KEGG_2021_Human,Carbohydrate digestion and absorption,5/47,0.343630588340478,0.9999960696691996,0,0,1.3293408826945412,1.4199860714916137,MGAM;GNAT3;ATP1A4;ATP1A3;CACNA1D,LumA,Activated
KEGG_2021_Human,Folate biosynthesis,3/26,0.3622439748828124,0.9999960696691996,0,0,1.4562304718529897,1.478710782790303,TPH2;TPH1;PAH,LumA,Activated
KEGG_2021_Human,"Phenylalanine, tyrosine and tryptophan biosynthesis",1/6,0.4025279995842121,0.9999960696691996,0,0,2.232360097323601,2.0314267498273257,PAH,LumA,Activated
KEGG_2021_Human,Circadian entrainment,9/97,0.4041590569378277,0.9999960696691996,0,0,1.1419412647254945,1.0345380039744665,GNGT1;GRIA2;KCNJ6;MTNR1B;CACNA1D;ADCY1;CACNA1H;GNG13;KCNJ3,LumA,Activated
KEGG_2021_Human,Viral carcinogenesis,18/203,0.4052684865761649,0.9999960696691996,0,0,1.0865961228591836,0.9814195962910136,H2BC9;H2BC7;H2BC5;H2BC6;H2BC3;HPN;H2BC4;H4-16;H2BC17;H2BC18;H2BC14;CREB3L4;H4C14;H2BC21;H4C12;PMAIP1;H2BU1;H4C4,LumA,Activated
KEGG_2021_Human,Taste transduction,8/86,0.4126214708326384,0.9999960696691996,0,0,1.1451216264899833,1.0136898816393838,GABRA1;CALHM1;GRM4;HTR1E;GNAT3;HTR1D;TRPM5;GNG13,LumA,Activated
KEGG_2021_Human,Linoleic acid metabolism,3/29,0.4307714997236421,0.9999960696691996,0,0,1.2879930666166963,1.0847187712247297,PLA2G2C;PLA2G10;PLA2G3,LumA,Activated
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,7/76,0.4356607135849733,0.9999960696691996,0,0,1.132540567323176,0.9410183516590176,CYP2A7;CYP2A6;AKR7A3;CYP2B6;CYP2A13;UGT2B17;UGT2B4,LumA,Activated
KEGG_2021_Human,ECM-receptor interaction,8/88,0.4382137526035899,0.9999960696691996,0,0,1.1163714111178986,0.9210605224681264,COMP;COL2A1;IBSP;CHAD;TNR;DMP1;NPNT;DSPP,LumA,Activated
KEGG_2021_Human,Serotonergic synapse,10/113,0.4529937052711177,0.9999960696691996,0,0,1.0838158011935513,0.8582488585735992,GNGT1;TPH2;TPH1;KCNJ6;HTR1E;HTR1D;CACNA1D;GNG13;SLC6A4;KCNJ3,LumA,Activated
KEGG_2021_Human,Morphine addiction,8/91,0.4762947787162266,0.9999960696691996,0,0,1.0758439990873696,0.797973218012267,GNGT1;GABRA1;KCNJ6;ADCY1;GABRD;GABRG2;KCNJ3;GNG13,LumA,Activated
KEGG_2021_Human,Salivary secretion,8/93,0.5013390548635529,0.9999960696691996,0,0,1.0504150346760577,0.7252828532006177,CST2;CST1;ATP1A4;ATP1A3;ADCY1;MUC5B;CST5;CST4,LumA,Activated
KEGG_2021_Human,Retrograde endocannabinoid signaling,12/148,0.5642242383026466,0.9999960696691996,0,0,0.984420590036382,0.5633873696822582,GNGT1;RIMS1;GRIA2;GABRA1;KCNJ6;CACNA1D;ADCY1;SLC17A8;GABRD;GABRG2;GNG13;KCNJ3,LumA,Activated
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,2/23,0.5749649531503224,0.9999960696691996,0,0,1.0627481668260732,0.5881739250127694,ATP1A4;ATP1A3,LumA,Activated
KEGG_2021_Human,Ether lipid metabolism,4/49,0.581255521707186,0.9999960696691996,0,0,0.9918071636535988,0.5381196776170498,PLA2G2C;PLA2G10;PLA2G3;PAFAH1B3,LumA,Activated
KEGG_2021_Human,Cholinergic synapse,9/113,0.5899934257199205,0.9999960696691996,0,0,0.965411651307128,0.5093935543122797,GNGT1;KCNJ6;CREB3L4;CHRNA6;KCNQ5;CACNA1D;ADCY1;GNG13;KCNJ3,LumA,Activated
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",3/37,0.5965418986401692,0.9999960696691996,0,0,0.9845059826610304,0.5086014998971985,AGXT2;GAD1;ABAT,LumA,Activated
KEGG_2021_Human,Vitamin digestion and absorption,2/24,0.5985262623449251,0.9999960696691996,0,0,1.014386100813368,0.520669042624254,APOA1;PNLIP,LumA,Activated
KEGG_2021_Human,Taurine and hypotaurine metabolism,1/11,0.6110783801337897,0.9999960696691996,0,0,1.1158759124087592,0.5496024148185172,GAD1,LumA,Activated
KEGG_2021_Human,cAMP signaling pathway,17/216,0.6117973635832168,0.9999960696691996,0,0,0.952711962762214,0.4681189829014007,GHSR;GRIA2;HTR1E;HTR1D;NPY1R;ATP1A4;ATP1A3;CACNA1D;ADCY1;SSTR2;SSTR5;CREB3L4;CNGA2;TNNI3;CGA;AMH;HCN2,LumA,Activated
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,6/77,0.6153147159818791,0.9999960696691996,0,0,0.9427252962558758,0.4578075864439042,CACNG6;LEF1;CACNA2D2;CACNA1D;CACNG4;SLC8A2,LumA,Activated
KEGG_2021_Human,Cortisol synthesis and secretion,5/65,0.6277888722296638,0.9999960696691996,0,0,0.9296239837398372,0.4327877096916872,CREB3L4;CYP21A2;CACNA1D;ADCY1;CACNA1H,LumA,Activated
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,4/53,0.6440411618783012,0.9999960696691996,0,0,0.910644330858486,0.4006768022885947,ATP1A4;ATP1A3;ESR1;SLC8A2,LumA,Activated
