Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
KEGG_2021_Human,PPAR signaling pathway,24/74,3.4752004993609745e-06,0.0009904321423178778,0,0,3.513519832985386,44.16444672632695,ACSL1;ADIPOQ;AQP7;LPL;SORBS1;CYP7A1;CYP8B1;FABP4;ACADL;FABP5;SCD;FABP7;ME1;PLIN4;SLC27A6;ACSBG1;PPARG;CD36;ANGPTL4;PLIN1;PPARA;PCK1;PLTP;RXRG,LumA,Suppressed
KEGG_2021_Human,Retinol metabolism,19/68,0.000325053394079225,0.0463201086562895,0,0,2.832551020408163,22.749693286254733,ADH1C;ADH1B;ADH1A;UGT2B28;CYP3A4;CYP2C18;RPE65;ALDH1A3;ADH4;CYP26B1;CYP27C1;AWAT2;ALDH1A2;ALDH1A1;CYP1A2;CYP1A1;AOX1;RDH5;UGT2B7,LumA,Suppressed
KEGG_2021_Human,Tyrosine metabolism,11/36,0.0026512893440189,0.2518724876817992,0,0,3.207906976744186,19.03157927343898,AOC3;ADH4;DDC;AOC2;ADH1C;DCT;ADH1B;MAOA;ADH1A;AOX1;HPD,LumA,Suppressed
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,22/100,0.0036649030047359,0.2611243390874372,0,0,2.0595509343944887,11.551925235052089,CCL14;CXCL6;CCL13;CCL24;CCL23;CCL21;IL34;CXCL1;PPBP;CXCL3;CXCL2;CX3CL1;CXCL5;TNFRSF10D;IL22RA1;IL6;CXCR2;CCL18;CCL28;PF4V1;CCL16;PF4,LumA,Suppressed
KEGG_2021_Human,Steroid hormone biosynthesis,15/61,0.005164890959975,0.2943987847185792,0,0,2.378508645011937,12.524920381943568,AKR1C1;AKR1D1;HSD3B1;AKR1C3;UGT2B28;AKR1C2;CYP3A4;CYP7A1;HSD11B1;SULT1E1;CYP11A1;HSD17B2;CYP1A2;CYP1A1;UGT2B7,LumA,Suppressed
KEGG_2021_Human,Phenylalanine metabolism,6/17,0.0117792928089081,0.5261691821857093,0,0,3.971668613193686,17.63981717785715,AOC3;DDC;AOC2;MAOA;GLYAT;HPD,LumA,Suppressed
KEGG_2021_Human,ABC transporters,11/45,0.0161711284305382,0.5261691821857093,0,0,2.357545925346883,9.72376376165458,ABCD2;ABCA10;ABCB1;ABCC2;ABCA6;ABCB5;ABCA9;DEFB1;ABCC9;ABCA8;ABCA13,LumA,Suppressed
KEGG_2021_Human,Adipocytokine signaling pathway,15/69,0.0164803404818943,0.5261691821857093,0,0,2.025212608615271,8.314686749357364,ACSL1;ADIPOQ;SLC2A4;ACACB;PRKAG3;MAPK10;SOCS3;LEP;LEPR;ACSBG1;CD36;PPARA;PCK1;PPARGC1A;RXRG,LumA,Suppressed
KEGG_2021_Human,Ovarian steroidogenesis,12/51,0.0166158689111276,0.5261691821857093,0,0,2.242433926688185,9.188142227241263,LHCGR;PLA2G4E;CYP11A1;HSD17B2;HSD3B1;AKR1C3;CYP1A1;PLA2G4A;IGF1;ADCY8;PTGS2;BMP6,LumA,Suppressed
KEGG_2021_Human,Regulation of lipolysis in adipocytes,12/55,0.0292400484652685,0.8333413812601522,0,0,2.033371658244848,7.182307877957924,LIPE;FABP4;ADRB3;NPR1;PDE3B;AQP7;PLIN1;ADRB2;ADCY8;PTGS2;MGLL;GNAI1,LumA,Suppressed
