Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
KEGG_2021_Human,Systemic lupus erythematosus,42/135,2.0114113892290143e-09,5.450924864810629e-07,0,0,3.4003795066413662,68.09065860768555,CD80;H2AC19;H2AC16;H2AC17;H2AC18;H2AC11;H2AC13;H3C15;H2AC14;H3C13;H3C14;H2BC21;H3C11;H3C12;H3C10;H2BU1;H3C3;H4C1;H3C2;H4C4;H3C7;H4C8;H2BC9;H3C8;H2BC7;H2BC8;H2BC5;H2AC7;H2BC6;H2AC4;H2BC3;H2BC4;H2BC17;H2BC18;H2BC13;H2BC14;H4C15;H4C14;H2BC10;H4C12;H2AC21;H2BC11,LumB,Activated
KEGG_2021_Human,Alcoholism,47/186,3.0899144842390455e-07,4.186834126143907e-05,0,0,2.5447009002092646,38.14494494760576,H2AC19;H2AC16;H2AC17;H2AC18;H2AC11;GNGT1;H2AC13;H3C15;H2AC14;H3C13;CREB3L4;GNG4;H3C14;H2BC21;H3C11;H3C12;H3C10;H2BU1;H3C3;H4C1;H3C2;H4C4;H3C7;H4C8;H2BC9;H3C8;H2BC7;H2BC8;H2BC5;H2AC7;H2BC6;H2AC4;H2BC3;H2BC4;GRIN2C;H2BC17;H2BC18;GNG13;H2BC13;H2BC14;H4C15;TH;H4C14;H2BC10;H4C12;H2AC21;H2BC11,LumB,Activated
KEGG_2021_Human,Neutrophil extracellular trap formation,44/189,7.477159618629866e-06,0.0006754367522162312,0,0,2.2799697701643376,26.911982432920684,H2AC19;H2AC16;H2AC17;H2AC18;H2AC11;H2AC13;H3C15;H2AC14;H3C13;H3C14;H2BC21;H3C11;H3C12;H3C10;H2BU1;H3C3;H4C1;H3C2;H4C4;H3C7;CAMP;H4C8;FGB;H2BC9;H3C8;H2BC7;H2BC8;H2BC5;H2AC7;H2BC6;H2AC4;H2BC3;FGG;H2BC4;H2BC17;H2BC18;H2BC13;H2BC14;H4C15;H4C14;H2BC10;H4C12;H2AC21;H2BC11,LumB,Activated
KEGG_2021_Human,Cell cycle,30/124,9.536136848595816e-05,0.0064607327149236,0,0,2.390549592372781,22.13131847620549,PCNA;BUB1B;TTK;PKMYT1;CDC20;CCNB2;CCNB1;ORC6;CDC45;CCND1;PTTG1;ORC1;CHEK1;E2F1;E2F2;BUB1;PLK1;CDC7;CDC6;CDC25C;CDC25A;SMC1B;CCNA2;CCNE2;ESPL1;CCNE1;CDK1;MCM4;MCM2;MAD2L1,LumB,Activated
KEGG_2021_Human,Caffeine metabolism,3/6,0.0252286636605852,0.9999961751155844,0,0,7.443412162162162,27.39007814835868,CYP2A7;CYP2A6;NAT1,LumB,Activated
KEGG_2021_Human,Maturity onset diabetes of the young,7/26,0.0280545399279992,0.9999961751155844,0,0,2.7444563184611277,9.80760229731598,NEUROD1;ONECUT1;PDX1;MAFA;MNX1;NKX2-2;NEUROG3,LumB,Activated
KEGG_2021_Human,Nicotine addiction,9/40,0.0412973846532076,0.9999961751155844,0,0,2.1630384310726285,6.893508536735767,GABRQ;GRIA2;CHRNA6;GABRA3;CACNA1B;SLC17A8;GRIN2C;GABRD;GABRG2,LumB,Activated
KEGG_2021_Human,Homologous recombination,9/41,0.0475545851598856,0.9999961751155844,0,0,2.0953244072819643,6.382100558936498,BLM;BRIP1;RAD51;EME1;XRCC2;RAD54L;BRCA1;BRCA2;RAD54B,LumB,Activated
KEGG_2021_Human,Fanconi anemia pathway,11/54,0.0495155337388161,0.9999961751155844,0,0,1.9062475364603864,5.729167583083325,FANCI;RMI2;BLM;BRIP1;RAD51;EME1;FANCD2;UBE2T;FANCA;BRCA1;BRCA2,LumB,Activated
KEGG_2021_Human,Viral carcinogenesis,32/203,0.0565082498425537,0.9999961751155844,0,0,1.3967482479892193,4.013372608965294,HPN;CDC20;CCND1;CREB3L4;H2BC21;CHEK1;CCR8;PMAIP1;H2BU1;H4C1;H4C4;H4C8;H2BC9;H2BC7;H2BC8;H2BC5;H2BC6;H2BC3;H2BC4;H2BC17;H2BC18;CCNA2;H2BC13;H2BC14;CCNE2;H4C15;CCNE1;H4C14;H2BC10;H4C12;H2BC11;CDK1,LumB,Activated
KEGG_2021_Human,DNA replication,7/36,0.1269699929574218,0.9999961751155844,0,0,1.7970710076433865,3.708803225865039,FEN1;PCNA;RNASEH2A;POLE2;MCM4;DNA2;MCM2,LumB,Activated
KEGG_2021_Human,Oocyte meiosis,18/129,0.266040752107595,0.9999961751155844,0,0,1.2072914393356382,1.5985815711855125,SPDYC;PLK1;CDC25C;FBXO43;PKMYT1;SMC1B;AURKA;CDC20;SGO1;CCNB2;CCNB1;PTTG1;CCNE2;ESPL1;CCNE1;CDK1;BUB1;MAD2L1,LumB,Activated
KEGG_2021_Human,alpha-Linolenic acid metabolism,4/25,0.3437931192306631,0.9999961751155844,0,0,1.416943287665721,1.5128918859289795,FADS2;PLA2G4F;PLA2G10;PLA2G3,LumB,Activated
KEGG_2021_Human,Bladder cancer,6/41,0.3577057961616349,0.9999961751155844,0,0,1.2753125943823618,1.311078007727724,CCND1;MMP1;ERBB2;E2F1;E2F2;FGFR3,LumB,Activated
KEGG_2021_Human,p53 signaling pathway,10/73,0.363878828380252,0.9999961751155844,0,0,1.1809631377611047,1.1938762089320911,CCNB2;CCNB1;RRM2;CCND1;CCNE2;CCNE1;CHEK1;CDK1;PMAIP1;GTSE1,LumB,Activated
KEGG_2021_Human,Synaptic vesicle cycle,10/78,0.4470606547232966,0.9999961751155844,0,0,1.0938161795849215,0.8805887480974158,RIMS1;RAB3A;UNC13A;SYT1;SLC1A1;CACNA1B;SLC1A2;SLC17A8;CPLX2;SLC6A4,LumB,Activated
KEGG_2021_Human,GABAergic synapse,11/89,0.4899394776528241,0.9999961751155844,0,0,1.048788570186875,0.7482827580649698,GNGT1;GABRQ;KCNJ6;SLC12A5;GNG4;GAD1;GABRA3;CACNA1B;GABRD;GABRG2;GNG13,LumB,Activated
KEGG_2021_Human,Progesterone-mediated oocyte maturation,12/100,0.528229838544826,0.9999961751155844,0,0,1.0139697098154072,0.6471395908569025,CCNA2;CCNB2;CCNB1;SPDYC;PLK1;CDK1;CDC25C;PKMYT1;BUB1;CDC25A;AURKA;MAD2L1,LumB,Activated
KEGG_2021_Human,"Phenylalanine, tyrosine and tryptophan biosynthesis",1/6,0.5310323786245608,0.9999961751155844,0,0,1.4872573839662446,0.9413332113012416,PAH,LumB,Activated
KEGG_2021_Human,Base excision repair,4/33,0.5608629197867352,0.9999961751155844,0,0,1.0255962006322568,0.5930804920590244,FEN1;NEIL3;PCNA;POLE2,LumB,Activated
KEGG_2021_Human,Taste transduction,10/86,0.5758907627148491,0.9999961751155844,0,0,0.9782317929512472,0.53982477607356,CALHM1;GRM4;HTR1E;GNAT3;P2RX2;GABRA3;HTR1D;ASIC2;TRPM5;GNG13,LumB,Activated
KEGG_2021_Human,Fat digestion and absorption,5/43,0.5886542327589069,0.9999961751155844,0,0,0.9782777950794144,0.5184053582111464,PNLIPRP1;PNLIPRP2;PLA2G10;PLA2G3;APOA1,LumB,Activated
KEGG_2021_Human,Cardiac muscle contraction,10/87,0.5911232084877875,0.9999961751155844,0,0,0.965472477543634,0.5075786264016499,CACNG6;CACNA2D2;ATP1A3;TNNI3;CACNG1;COX6C;COX6A2;COX7B2;CACNG4;SLC8A2,LumB,Activated
KEGG_2021_Human,Folate biosynthesis,3/26,0.6100613421396525,0.9999961751155844,0,0,0.9697782021151586,0.4792602814308372,TH;PAH;GGH,LumB,Activated
KEGG_2021_Human,Nitrogen metabolism,2/17,0.6154440327340944,0.9999961751155844,0,0,0.9913606303644296,0.4812176198867154,CA12;CA9,LumB,Activated
