Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Subtype,Direction
KEGG_2021_Human,Retinol metabolism,25/68,0.0001980646809825799,0.0582310162088784,0,0,2.6501640747610216,22.59772886066728,RDH8;ADH1C;RETSAT;ADH1B;ADH1A;UGT2B28;ADH7;CYP3A4;CYP2C18;ADH6;ADH4;CYP26B1;AWAT2;AOX1;UGT1A7;UGT2B11;UGT1A1;RPE65;ALDH1A3;ALDH1A2;ALDH1A1;CYP1A2;CYP1A1;RDH5;UGT2B7,LumB,Suppressed
KEGG_2021_Human,PPAR signaling pathway,23/74,0.0045637799492635,0.6708756525417464,0,0,2.053544494720965,11.067791751460994,ACSL1;ADIPOQ;AQP7;LPL;ACSL4;SORBS1;CYP7A1;CYP8B1;FABP1;FABP4;ACADL;FABP7;PLIN4;SLC27A6;PPARG;CD36;HMGCS2;ANGPTL4;PLIN1;PPARA;PCK1;PLTP;RXRG,LumB,Suppressed
KEGG_2021_Human,Tyrosine metabolism,13/36,0.0077737454035987,0.675622091470766,0,0,2.570969379123668,12.487206493325914,AOC3;AOC2;ADH1C;ADH1B;MAOA;ADH1A;ADH7;ADH6;ADH4;ALDH3A1;DCT;AOX1;HPD,LumB,Suppressed
KEGG_2021_Human,Steroid hormone biosynthesis,19/61,0.0091921372989219,0.675622091470766,0,0,2.0587615335666563,9.654370338715212,UGT2B11;UGT1A1;AKR1C1;AKR1D1;HSD3B1;AKR1C3;UGT2B28;AKR1C2;CYP7B1;CYP3A4;CYP7A1;HSD11B1;SULT1E1;CYP11A1;HSD17B2;CYP1A2;CYP1A1;UGT2B7;UGT1A7,LumB,Suppressed
KEGG_2021_Human,Bile secretion,25/90,0.0149720281131215,0.7187787784929093,0,0,1.7508258612553091,7.356220234855082,ABCB1;ADCY4;UGT2B28;AQP4;ATP1A2;SLC5A1;ABCB11;CYP3A4;SLC4A4;CYP7A1;AQP1;SLCO1B3;UGT1A7;UGT2B11;UGT1A1;NR1H4;SCTR;ATP1B2;SLCO1B7;SLC51B;FXYD2;SLCO1A2;CFTR;UGT2B7;ABCG2,LumB,Suppressed
KEGG_2021_Human,cAMP signaling pathway,52/216,0.0153607294548998,0.7187787784929093,0,0,1.445493732824375,6.036296633529165,GLP1R;OXTR;CHRM1;HHIP;PDE3B;CALML3;OXT;HTR4;GLI1;LIPE;CNGA1;EDN1;LHCGR;EDN3;ARAP3;FOS;ATP1B2;SSTR1;PPARA;MYL9;CFTR;RAPGEF3;CNGB1;CREB5;ADCYAP1R1;NPR1;ADCY4;ADRB1;ATP1A2;PIK3R1;ADRB2;PLD1;GNAI1;HCAR2;HCAR3;PLN;NPY;DRD2;GRIA3;DRD5;GRIA4;JUN;PTCH1;GRIN2B;MAPK10;POMC;SST;FXYD2;FXYD1;PPP1R1B;PDE3A;VIP,LumB,Suppressed
KEGG_2021_Human,Renin secretion,20/69,0.0175065430577612,0.7187787784929093,0,0,1.8572508368426737,7.512915015372999,PTGER4;EDN1;ADCYAP1R1;EDN3;PDE1C;NPR1;PDE1B;PDE1A;PDE3B;CALML3;ADRB1;ADRB2;GNAI1;AQP1;ADRB3;CLCA2;PDE3A;CLCA1;CLCA4;KCNJ2,LumB,Suppressed
KEGG_2021_Human,Glycerolipid metabolism,18/61,0.0195586062174941,0.7187787784929093,0,0,1.904400675732529,7.492559514014153,DGAT2;DGKB;MOGAT2;MOGAT1;LPL;AGPAT2;LIPF;ALDH2;GPAM;LIPG;GPAT3;PLPP3;LPIN1;DGKI;MGLL;PLPP1;PNLIPRP3;PNPLA2,LumB,Suppressed
KEGG_2021_Human,Regulation of lipolysis in adipocytes,16/55,0.0304277101941443,0.99397186634205,0,0,1.865839306729432,6.516260117113196,NPR1;PDE3B;ADCY4;AQP7;ADRB1;ADRB2;PIK3R1;PTGS2;GNAI1;LIPE;FABP4;ADRB3;NPY;PLIN1;MGLL;PNPLA2,LumB,Suppressed
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,20/76,0.046861392013098,0.9999962769168922,0,0,1.624398297330628,4.971570305599383,UGT2B11;UGT1A1;ADH1C;ADH1B;ADH1A;GSTP1;AKR1C1;UGT2B28;ADH7;CYP3A4;ADH6;HSD11B1;ALDH3A1;ADH4;CYP1A2;GSTA1;CYP1A1;UGT2B7;UGT1A7;GSTM5,LumB,Suppressed
