community_id,module_size,mean_weighted_degree,mean_abs_log2FoldChange
1,12,11.989166666666668,3.1759058711675205
2,11,8.318363636363635,2.6638449729970364
3,7,7.299714285714286,2.6773592172804013
4,6,8.6165,3.0337743609740824
5,2,1.5405,2.790774998375974
6,2,0.76,6.143864231163747
7,1,0.0,4.892904690503086
8,1,0.0,5.318699137187592
9,1,0.0,7.385208067465846
10,1,0.0,3.043925276389889
11,1,0.0,5.636359013554516
12,1,0.0,4.779838045888496
13,1,0.0,4.958242727151066
14,1,0.0,6.935654412160087
15,1,0.0,1.7711326978821376
16,1,0.0,4.594161701417776
17,1,0.0,5.116618945827024
18,1,0.0,3.1883849986271766
19,1,0.0,4.844503305300063
20,1,0.0,2.81662789208456
21,1,0.0,4.261108008313701
22,1,0.0,7.366634578065153
23,1,0.0,4.381716306630113
24,1,0.0,3.5476662998437276
25,1,0.0,4.690802426274433
26,1,0.0,3.831473489239463
27,1,0.0,2.73470703144127
28,1,0.0,3.543051026876658
29,1,0.0,2.0292278781431548
30,1,0.0,5.367069286916087
31,1,0.0,2.1427577522612884
32,1,0.0,2.330080989222074
33,1,0.0,3.1806643626753517
34,1,0.0,3.1933241966245953
35,1,0.0,4.881649402935543
36,1,0.0,4.20565066954756
37,1,0.0,3.5196742873419935
38,1,0.0,2.748005223440837
39,1,0.0,4.487994762809369
40,1,0.0,3.898443950961481
41,1,0.0,8.298645880677649
42,1,0.0,4.957119574990018
43,1,0.0,4.39737648257506
44,1,0.0,3.252673302617775
45,1,0.0,4.533213756510308
46,1,0.0,4.21936685124738
47,1,0.0,5.952679768386254
48,1,0.0,2.1003186209784523
49,1,0.0,3.8541312581582097
50,1,0.0,4.099222607275637
51,1,0.0,2.3756129132494306
52,1,0.0,3.6519604754546418
53,1,0.0,3.64580873501312
54,1,0.0,5.933469723008964
55,1,0.0,4.581640465164322
56,1,0.0,4.881820324082358
57,1,0.0,2.6337014368496754
58,1,0.0,3.247163414462648
59,1,0.0,2.8372267247924934
60,1,0.0,2.8545227456215314
61,1,0.0,5.06232448801141
62,1,0.0,3.4526135433529914
63,1,0.0,6.89549208193571
64,1,0.0,3.980565821352529
65,1,0.0,4.134827187246636
66,1,0.0,4.1994381222086545
