community_id,module_size,mean_weighted_degree,mean_abs_log2FoldChange
1,25,14.165239999999999,2.4741347365910493
2,14,9.248714285714286,2.3465097528564907
3,4,8.82225,2.306514464087302
4,2,0.968,4.399463673105269
5,2,0.946,4.28064876033072
6,2,0.716,6.08198925447199
7,1,0.0,6.356138632544355
8,1,0.0,6.012318124948575
9,1,0.0,4.777310896703693
10,1,0.0,4.665110506320308
11,1,0.0,4.411585560882881
12,1,0.0,4.3707792937470495
13,1,0.0,4.317489168232002
14,1,0.0,4.195883496833373
15,1,0.0,3.30657162458193
16,1,0.0,5.324718136644108
17,1,0.0,4.29789946441613
18,1,0.0,4.565994057183569
19,1,0.0,3.812001364394815
20,1,0.0,4.795116074193414
21,1,0.0,4.855069814451081
22,1,0.0,3.754554401424911
23,1,0.0,3.4372142445025893
24,1,0.0,4.876917608391491
25,1,0.0,7.243685423581287
26,1,0.0,4.479239070881873
27,1,0.0,4.018849277854587
28,1,0.0,3.4465731317528916
29,1,0.0,5.7446275697400315
30,1,0.0,6.9836235128757504
31,1,0.0,3.700230528807988
32,1,0.0,3.888165435882773
33,1,0.0,5.078767777221864
34,1,0.0,5.814359887397233
35,1,0.0,3.2907425523516314
36,1,0.0,2.9459551451922574
37,1,0.0,5.622396831267515
38,1,0.0,5.597390936028108
39,1,0.0,4.464991491062386
40,1,0.0,2.7298837504425277
41,1,0.0,4.782764987922364
42,1,0.0,3.172555221874881
43,1,0.0,5.338751674515054
44,1,0.0,4.275629097910326
45,1,0.0,2.4605152138557673
46,1,0.0,4.613294749016888
47,1,0.0,4.921298479798473
48,1,0.0,4.899927113878438
49,1,0.0,3.039635531005598
50,1,0.0,3.679560972435857
51,1,0.0,2.0311327882991734
52,1,0.0,1.5710489165366834
53,1,0.0,1.6305630610350053
54,1,0.0,2.0051541949185765
55,1,0.0,2.553238398887999
56,1,0.0,1.7479867392447814
57,1,0.0,2.683990761440872
