gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
CCNB1,21.351,24,0.24242424242424243,0.027417027417027416,0.2408751977011536,3,2.6039449396556016,2.6039449396556016,1.4123033410200876e-153
BUB1,18.902,21,0.21212121212121213,0.015460729746444031,0.23085634563593754,1,3.452141850917009,3.452141850917009,1.294731994047595e-158
EXO1,17.375,21,0.21212121212121213,0.013193156050298907,0.21715922760900444,2,3.5993354680983765,3.5993354680983765,4.176560424745616e-160
NUF2,15.716,18,0.18181818181818182,0.004741290455576169,0.21414349031772356,1,3.6379901767749847,3.6379901767749847,9.757324990626185e-154
NCAPG,15.616,18,0.18181818181818182,0.008658008658008658,0.20964790357056504,1,3.226538277814337,3.226538277814337,2.2670663263137013e-152
CENPA,15.156,17,0.17171717171717174,0.01566687280972995,0.20764981929644774,1,3.5964999489055387,3.5964999489055387,9.434557438299785e-154
TPX2,15.086,17,0.17171717171717174,0.0032982890125747267,0.20966424252711882,1,3.506357355054561,3.506357355054561,1.1133999472803114e-158
PLK1,14.719,17,0.17171717171717174,0.011544011544011544,0.2073611138384402,1,3.4093311543554936,3.4093311543554936,2.5510248306569027e-157
TTK,14.323,16,0.16161616161616163,0.00041228612657184083,0.2051323325785507,1,3.501951063342828,3.501951063342828,6.311583134260851e-192
CDCA8,13.416,15,0.15151515151515152,0.00020614306328592042,0.19826424523241168,1,3.3259029759481553,3.3259029759481553,8.218522960687918e-173
KIF15,13.049,15,0.15151515151515152,0.00041228612657184083,0.19726030089985871,1,2.8809754280460425,2.8809754280460425,1.9260685923045288e-158
FOXM1,12.726,15,0.15151515151515152,0.0010307153164296021,0.19942971287219177,3,3.790861883288446,3.790861883288446,3.292089681678647e-158
CHEK1,12.055,14,0.14141414141414144,0.0055658627087198514,0.19886072989292056,2,2.5977314982437076,2.5977314982437076,5.552071954636015e-194
MCM10,11.964,14,0.14141414141414144,0.00515357658214801,0.1811671817410133,2,3.605137664623194,3.605137664623194,1.517114509323691e-169
CDCA2,10.474,13,0.13131313131313133,0.00020614306328592042,0.17799106419740923,1,3.701607096604772,3.701607096604772,6.0201518078820996e-170
NCAPH,9.347,11,0.11111111111111112,0.0,0.17976271116866696,1,2.948328996935285,2.948328996935285,2.675329264205262e-152
RAD51AP1,8.797,11,0.11111111111111112,0.0006184291898577612,0.16911262785084458,2,3.011071162850568,3.011071162850568,1.9950924885658888e-159
TRIP13,8.536,11,0.11111111111111112,0.0,0.17339168416650128,1,3.073059506833979,3.073059506833979,9.471793369822799e-175
KIF18A,8.518,10,0.10101010101010102,0.0,0.17622328147732896,1,2.8473311366018548,2.8473311366018548,1.1338433913766489e-155
CDC25A,7.186,8,0.08080808080808081,0.002473716759431045,0.177460374968879,2,2.9623118428001547,2.9623118428001547,1.8022389419796112e-185
ORC1,7.031000000000001,8,0.08080808080808081,0.001443001443001443,0.16250540919505552,2,2.973618688791852,2.973618688791852,4.3349513081740095e-154
RFC4,6.272,7,0.07070707070707072,0.003092145949288806,0.16345154008967175,2,2.029812043707371,2.029812043707371,3.149994909284314e-165
ORC6,5.134,6,0.06060606060606061,0.0,0.15193186661152952,2,2.9029171028286167,2.9029171028286167,1.0505033961571562e-148
PRIM2,5.024,6,0.06060606060606061,0.0006184291898577612,0.13951166677945226,2,1.6085375406369813,1.6085375406369813,1.606924472502604e-172
