gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
CDK1,21.798,24,0.24242424242424243,0.032158317872603585,0.22622667933433507,1,2.8873571128706024,2.8873571128706024,3.469545285202875e-65
CCNB1,18.118,21,0.21212121212121213,0.0016491445062873633,0.19226078237687153,1,2.3904295139873533,2.3904295139873533,1.3274423865314866e-71
KIF11,15.446,17,0.17171717171717174,0.005978148835291692,0.1861294417521732,1,2.366710872127122,2.366710872127122,5.4697336804733464e-64
EXO1,14.44,17,0.17171717171717174,0.016079158936301793,0.17981775318747262,3,3.0069141016061263,3.0069141016061263,2.0209053361488608e-60
TTK,14.356,17,0.17171717171717174,0.002473716759431045,0.17735178079707037,1,2.6921327271682194,2.6921327271682194,1.3217490153002085e-62
AURKA,11.615,14,0.14141414141414144,0.0,0.16286522857415506,1,2.846431484189161,2.846431484189161,3.6532680358228695e-63
CDC6,10.495,12,0.12121212121212122,0.0012368583797155224,0.163317927037025,4,3.9347490749990746,3.9347490749990746,6.803326051798582e-95
MCM10,10.121,12,0.12121212121212122,0.0006184291898577612,0.15948282713607628,4,2.8466073231382096,2.8466073231382096,4.4671489731348194e-60
RACGAP1,9.607,11,0.11111111111111112,0.00020614306328592042,0.1509112341422706,1,1.9832950202934632,1.9832950202934632,1.5216563127419403e-90
ZWINT,8.882,11,0.11111111111111112,0.0,0.15588393235289336,1,2.5105047727923724,2.5105047727923724,8.597898617632253e-63
PLK4,8.494,10,0.10101010101010102,0.0010307153164296021,0.15471560755228259,1,1.8697603973494077,1.8697603973494077,4.296088840236244e-66
FEN1,7.683,9,0.09090909090909091,0.0018552875695732837,0.14759542022105002,3,1.6230044606011835,1.6230044606011835,1.0538921338227712e-62
KIF18A,7.332,9,0.09090909090909091,0.0,0.14411221086500192,1,2.327528573946256,2.327528573946256,6.512458635114703e-62
NCAPH,7.291,9,0.09090909090909091,0.0,0.14670631293310235,1,2.6577920958893517,2.6577920958893517,3.4886097650550076e-63
ECT2,7.08,8,0.08080808080808081,0.0,0.14398561860225,1,2.1792917704539985,2.1792917704539985,1.6208178435490278e-100
CDC25A,7.0649999999999995,8,0.08080808080808081,0.0,0.1493004502738631,4,2.160498379767388,2.160498379767388,2.751500974836257e-60
CCNE2,6.196,7,0.07070707070707072,0.0,0.13926938737077918,4,2.5903255047879004,2.5903255047879004,4.4356137237255555e-69
SPAG5,5.973,7,0.07070707070707072,0.0,0.13947442288899758,1,2.9689859099818205,2.9689859099818205,1.767280093591023e-85
ERCC6L,5.748,7,0.07070707070707072,0.002473716759431045,0.14783233022276726,5,2.7486189691486316,2.7486189691486316,1.0065029131602275e-62
TRIP13,5.549,7,0.07070707070707072,0.0,0.1407811249187781,1,2.313922288137536,2.313922288137536,3.7114368696325876e-65
CENPI,5.091,6,0.06060606060606061,0.005772005772005772,0.1321965532098022,5,2.2124835419340583,2.2124835419340583,1.0510458823276752e-67
ERBB2,4.642,6,0.06060606060606061,0.0037105751391465673,0.051146858229336144,2,3.829449887738389,3.829449887738389,4.800475966584331e-77
CCNE1,4.567,5,0.05050505050505051,0.0,0.13574859751317692,4,2.61724158806751,2.61724158806751,1.8463616672937045e-65
DNA2,4.515,5,0.05050505050505051,0.00041228612657184083,0.12365122521312952,3,1.9531858481015432,1.9531858481015432,1.9755651948329262e-73
FANCD2,3.911,5,0.05050505050505051,0.0,0.1168386222588181,3,1.7365943778906885,1.7365943778906885,2.876137642287644e-63
STIL,3.3970000000000002,4,0.04040404040404041,0.00041228612657184083,0.12876030800295812,1,2.115546169675233,2.115546169675233,9.035220137148473e-69
EME1,3.3970000000000002,4,0.04040404040404041,0.0,0.11575380150775114,3,2.9268235954705193,2.9268235954705193,1.321675902072606e-76
KPNA2,3.26,4,0.04040404040404041,0.0,0.1319858789645995,1,2.347524593042083,2.347524593042083,4.9335724732590823e-76
STARD3,3.242,4,0.04040404040404041,0.001443001443001443,0.03927291193872447,2,2.8249299140979747,2.8249299140979747,1.896924832928428e-66
POLQ,3.129,4,0.04040404040404041,0.00041228612657184083,0.11263959684939619,3,2.454291983357028,2.454291983357028,3.2053070843131585e-61
FGF2,2.751,3,0.030303030303030304,0.001443001443001443,0.03805488170049546,2,-4.286349045685143,4.286349045685143,1.3623101313002011e-160
PGAP3,2.544,3,0.030303030303030304,0.0,0.03747840743494059,2,3.200080693009569,3.200080693009569,6.970867760966538e-73
MIEN1,2.45,3,0.030303030303030304,0.0,0.03747083707360661,2,3.698800506446649,3.698800506446649,1.755055131897043e-96
NTRK2,2.314,3,0.030303030303030304,0.0,0.03529848567470228,2,-4.881572374809902,4.881572374809902,3.995036571961006e-232
SGO2,2.209,3,0.030303030303030304,0.0,0.11674369239513627,1,1.6103253784540923,1.6103253784540923,1.320895591553248e-73
VEGFD,1.471,2,0.020202020202020204,0.0,0.03161850495132717,2,-5.85262297214539,5.85262297214539,6.033898002332621e-163
CENPO,0.999,1,0.010101010101010102,0.0,0.09204823618761869,5,1.5245554411782918,1.5245554411782918,4.124507276628154e-90
S100B,0.986,1,0.010101010101010102,0.0,0.0268386424142549,2,-4.827976237021304,4.827976237021304,8.336560058161263e-121
SCN2B,0.878,1,0.010101010101010102,0.0,0.00886868686868687,6,-4.138622881999307,4.138622881999307,3.5789515366229688e-121
SCN4B,0.878,1,0.010101010101010102,0.0,0.00886868686868687,6,-3.3132834936365954,3.3132834936365954,1.809146961158688e-189
PSMD3,0.758,1,0.010101010101010102,0.0,0.025158518438976794,2,3.05122788220166,3.05122788220166,1.5057157732472443e-77
NPY5R,0.0,0,0.0,0.0,0.0,46,-6.57049655539442,6.57049655539442,6.466324872816381e-117
LINC02607,0.0,0,0.0,0.0,0.0,13,-5.96255006478652,5.96255006478652,1.5073191045004816e-151
ECRG4,0.0,0,0.0,0.0,0.0,9,-5.5972262697392905,5.5972262697392905,1.4391202758519153e-178
LRRC3B,0.0,0,0.0,0.0,0.0,31,-5.504787336967354,5.504787336967354,1.482406680280933e-126
CA9,0.0,0,0.0,0.0,0.0,65,4.98232662809975,4.98232662809975,1.0689642747385051e-60
TCEAL5,0.0,0,0.0,0.0,0.0,50,-4.8037636043087675,4.8037636043087675,3.216653402635159e-115
CAVIN2,0.0,0,0.0,0.0,0.0,16,-4.788558560479817,4.788558560479817,3.6975055891932575e-147
ONECUT2,0.0,0,0.0,0.0,0.0,64,4.558640883666697,4.558640883666697,3.626167788308593e-62
TSLP,0.0,0,0.0,0.0,0.0,10,-4.478340395130232,4.478340395130232,1.4359089030764055e-161
OSR1,0.0,0,0.0,0.0,0.0,25,-4.454091440616142,4.454091440616142,1.4719015628707667e-132
SYNM,0.0,0,0.0,0.0,0.0,8,-4.353777973919314,4.353777973919314,1.6911368912664492e-181
ABCA10,0.0,0,0.0,0.0,0.0,23,-4.278836888134567,4.278836888134567,9.85216904900996e-139
LINC02613,0.0,0,0.0,0.0,0.0,47,-4.172549284029741,4.172549284029741,1.4751787422066012e-116
MYH11,0.0,0,0.0,0.0,0.0,38,-4.0360276238033155,4.0360276238033155,2.690782610734584e-122
ADAMTS9-AS2,0.0,0,0.0,0.0,0.0,15,-4.029781153174065,4.029781153174065,1.68728578968982e-147
PDE1C,0.0,0,0.0,0.0,0.0,20,-3.99432059424422,3.99432059424422,3.122429064657309e-144
PAMR1,0.0,0,0.0,0.0,0.0,12,-3.853186823151279,3.853186823151279,2.13171656544609e-157
CARMN,0.0,0,0.0,0.0,0.0,19,-3.73343263315132,3.73343263315132,5.506912361473647e-145
TGFBR3,0.0,0,0.0,0.0,0.0,44,-3.635878345385461,3.635878345385461,1.364106527722096e-117
AC124852.1,0.0,0,0.0,0.0,0.0,36,-3.588424503144856,3.588424503144856,1.2884896675883383e-123
ADAM33,0.0,0,0.0,0.0,0.0,30,-3.5632178936978214,3.5632178936978214,1.1555802922072696e-126
MAMDC2,0.0,0,0.0,0.0,0.0,39,-3.4750649976772823,3.4750649976772823,2.0484828679812388e-121
ANKRD29,0.0,0,0.0,0.0,0.0,11,-3.3651488757657413,3.3651488757657413,1.6249146395754598e-161
KLHL29,0.0,0,0.0,0.0,0.0,7,-3.279705495117337,3.279705495117337,2.284014183631496e-219
TRPM6,0.0,0,0.0,0.0,0.0,37,-3.275335088276805,3.275335088276805,1.5319207278021623e-122
CLDN11,0.0,0,0.0,0.0,0.0,29,-3.188785175409098,3.188785175409098,1.732267170916925e-127
SLC25A27,0.0,0,0.0,0.0,0.0,41,-3.133601555334,3.133601555334,1.7022993737995244e-120
CAPN11,0.0,0,0.0,0.0,0.0,45,-3.113777877916156,3.113777877916156,3.64173048564404e-117
PRR11,0.0,0,0.0,0.0,0.0,57,2.9644838675667686,2.9644838675667686,2.621368318701686e-72
MTFR2,0.0,0,0.0,0.0,0.0,53,2.9509745421125975,2.9509745421125975,2.0298569964430295e-79
C6orf99,0.0,0,0.0,0.0,0.0,60,2.9249695179567885,2.9249695179567885,6.34865896434763e-70
MPPED2,0.0,0,0.0,0.0,0.0,48,-2.9229241743930947,2.9229241743930947,2.879296810262781e-115
SNHG26,0.0,0,0.0,0.0,0.0,42,-2.9139648656862285,2.9139648656862285,1.4660344441423948e-119
USP44,0.0,0,0.0,0.0,0.0,32,-2.901101148165045,2.901101148165045,2.194572785609604e-126
MICU3,0.0,0,0.0,0.0,0.0,40,-2.8577258927587192,2.8577258927587192,3.3268337589451416e-121
TSHZ2,0.0,0,0.0,0.0,0.0,22,-2.840226585676548,2.840226585676548,2.604326596376215e-143
RYR3,0.0,0,0.0,0.0,0.0,43,-2.7262814601918497,2.7262814601918497,2.058317102228314e-118
CACHD1,0.0,0,0.0,0.0,0.0,14,-2.716727621616461,2.716727621616461,6.218949223106862e-150
FAM72A,0.0,0,0.0,0.0,0.0,63,2.661124861827862,2.661124861827862,2.968540221302986e-64
TMEM220,0.0,0,0.0,0.0,0.0,18,-2.631101619290928,2.631101619290928,7.664266648884091e-146
GPRASP1,0.0,0,0.0,0.0,0.0,17,-2.5347701803891263,2.5347701803891263,2.9387761423799327e-146
C8orf88,0.0,0,0.0,0.0,0.0,33,-2.4861484080785994,2.4861484080785994,2.4972978287695326e-125
HMGB3,0.0,0,0.0,0.0,0.0,62,2.4582121859853268,2.4582121859853268,4.709735476008297e-68
P3H2,0.0,0,0.0,0.0,0.0,34,-2.3739068327464805,2.3739068327464805,8.111101866063448e-124
BOC,0.0,0,0.0,0.0,0.0,26,-2.306272093745164,2.306272093745164,2.209643664840198e-132
PROS1,0.0,0,0.0,0.0,0.0,21,-2.224791663979411,2.224791663979411,3.5618935462181545e-144
CYYR1,0.0,0,0.0,0.0,0.0,24,-2.207877554825302,2.207877554825302,1.5790718153188604e-133
CBX7,0.0,0,0.0,0.0,0.0,49,-2.0868897154467176,2.0868897154467176,2.9420233999590905e-115
SPARCL1,0.0,0,0.0,0.0,0.0,35,-2.079764932976408,2.079764932976408,9.949671580273603e-124
LRRC59,0.0,0,0.0,0.0,0.0,61,2.0764332570174973,2.0764332570174973,4.1898348359707744e-68
POC1A,0.0,0,0.0,0.0,0.0,56,2.0206358754239444,2.0206358754239444,1.2377665144888697e-72
SLC50A1,0.0,0,0.0,0.0,0.0,59,1.994084770840348,1.994084770840348,4.2128245770061175e-70
CIP2A,0.0,0,0.0,0.0,0.0,58,1.913669264998096,1.913669264998096,7.651417169400605e-71
MTHFD2,0.0,0,0.0,0.0,0.0,52,1.823827411444915,1.823827411444915,3.4897008685676956e-83
RHOJ,0.0,0,0.0,0.0,0.0,28,-1.7512285670379846,1.7512285670379846,5.210497212963042e-128
POU6F1,0.0,0,0.0,0.0,0.0,27,-1.7478289418137902,1.7478289418137902,4.424618618545361e-129
DONSON,0.0,0,0.0,0.0,0.0,54,1.7302177309382132,1.7302177309382132,5.573554365417186e-76
SEPHS2,0.0,0,0.0,0.0,0.0,55,1.573564632752257,1.573564632752257,1.930952692592229e-74
NVL,0.0,0,0.0,0.0,0.0,51,1.5042664365073333,1.5042664365073333,5.8409547379133115e-84
