gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
ESR1,2.9779999999999998,3,0.030303030303030304,0.0008245722531436817,0.03216022523747339,2,2.2762715203044905,2.2762715203044905,1.1839072835449664e-91
CAV1,1.9969999999999999,2,0.020202020202020204,0.0006184291898577612,0.026813814165316516,3,-2.824056123539497,2.824056123539497,1.2373413452382458e-177
FOXA1,1.995,2,0.020202020202020204,0.0,0.023041840432044686,2,1.9882356027417312,1.9882356027417312,6.463988329150689e-122
GATA3,1.979,2,0.020202020202020204,0.0,0.022882058862315157,2,2.0641377211329925,2.0641377211329925,1.010802632817355e-137
GSN,1.674,2,0.020202020202020204,0.00020614306328592042,0.01689149560117302,1,-2.196188442884028,2.196188442884028,3.663322299573527e-155
CAV2,0.999,1,0.010101010101010102,0.0,0.01789699868378892,3,-2.6271321450398006,2.6271321450398006,3.8999399735884225e-185
CFL2,0.864,1,0.010101010101010102,0.0,0.011383399209486167,1,-2.048614649443894,2.048614649443894,4.296689890955974e-155
GYG2,0.84,1,0.010101010101010102,0.0,0.008484848484848486,6,-3.700905089697819,3.700905089697819,3.3514526527360545e-150
PYGM,0.84,1,0.010101010101010102,0.0,0.008484848484848486,6,-3.0011167816443285,3.0011167816443285,5.223353268105536e-145
ANXA1,0.813,1,0.010101010101010102,0.0,0.008212121212121214,5,-2.3693692557032797,2.3693692557032797,5.055390998888651e-175
PLA2G4A,0.813,1,0.010101010101010102,0.0,0.008212121212121214,5,-2.337009016327684,2.337009016327684,1.4311561938311716e-172
TMOD1,0.81,1,0.010101010101010102,0.0,0.011141199226305609,1,-3.1868470264837274,3.1868470264837274,8.808723279769883e-151
LPL,0.716,1,0.010101010101010102,0.0,0.007232323232323232,4,-4.301832844657248,4.301832844657248,1.2894688096573934e-153
SLC2A4,0.716,1,0.010101010101010102,0.0,0.007232323232323232,4,-4.174123228608484,4.174123228608484,7.536635254018111e-175
CST5,0.0,0,0.0,0.0,0.0,68,7.063354689216694,7.063354689216694,1.1383083180559605e-96
CDC20B,0.0,0,0.0,0.0,0.0,77,6.058933163063032,6.058933163063032,4.000012730877184e-88
LINC02224,0.0,0,0.0,0.0,0.0,53,5.790665348203753,5.790665348203753,1.0148010107972565e-107
CST4,0.0,0,0.0,0.0,0.0,70,5.784474800151665,5.784474800151665,3.288397118930447e-94
AC044784.1,0.0,0,0.0,0.0,0.0,50,5.686233253476811,5.686233253476811,5.079749502619736e-116
LINC01522,0.0,0,0.0,0.0,0.0,54,4.657263868213675,4.657263868213675,1.4107574032798217e-107
SYT13,0.0,0,0.0,0.0,0.0,74,4.627083763971721,4.627083763971721,1.12679114058941e-88
ACVR1C,0.0,0,0.0,0.0,0.0,27,-4.592217598860831,4.592217598860831,5.455019944940056e-156
AC105328.1,0.0,0,0.0,0.0,0.0,78,4.514788611088968,4.514788611088968,5.483793865560264e-88
LYVE1,0.0,0,0.0,0.0,0.0,10,-4.423139422758476,4.423139422758476,1.3861571400130642e-192
LINC01488,0.0,0,0.0,0.0,0.0,66,4.417085171048869,4.417085171048869,7.708519143463157e-97
HSPB7,0.0,0,0.0,0.0,0.0,45,-4.387941920966752,4.387941920966752,2.4096042159902042e-144
FHL1,0.0,0,0.0,0.0,0.0,13,-4.357343368222775,4.357343368222775,1.299196615937212e-184
CAPSL,0.0,0,0.0,0.0,0.0,89,4.155565234258276,4.155565234258276,4.719159725919742e-84
LINC00968,0.0,0,0.0,0.0,0.0,41,-3.928048415648054,3.928048415648054,8.689843087526025e-147
GPAM,0.0,0,0.0,0.0,0.0,9,-3.877490393606592,3.877490393606592,8.129911352414248e-199
RHOXF1-AS1,0.0,0,0.0,0.0,0.0,14,-3.858461353691327,3.858461353691327,1.4559808077052932e-181
CRYAB,0.0,0,0.0,0.0,0.0,11,-3.816940964743462,3.816940964743462,7.873650006571199e-192
AUXG01000058.1,0.0,0,0.0,0.0,0.0,15,-3.764136767246012,3.764136767246012,1.4846069513565618e-181
AL138878.2,0.0,0,0.0,0.0,0.0,92,3.690956982305105,3.690956982305105,1.4322082228300952e-83
NAT1,0.0,0,0.0,0.0,0.0,46,3.5822119830688455,3.5822119830688455,1.250648125462945e-128
APCDD1L-DT,0.0,0,0.0,0.0,0.0,43,-3.578330662189263,3.578330662189263,7.369874558613491e-145
KLHL31,0.0,0,0.0,0.0,0.0,30,-3.5758004695536716,3.5758004695536716,5.848959880057817e-155
LINC02613,0.0,0,0.0,0.0,0.0,16,-3.483640121651552,3.483640121651552,2.7843381501206284e-181
TMEM145,0.0,0,0.0,0.0,0.0,86,3.42852768953652,3.42852768953652,2.8680210104949063e-84
IGFALS,0.0,0,0.0,0.0,0.0,61,3.3975859626936646,3.3975859626936646,1.0399626619124055e-102
ITIH5,0.0,0,0.0,0.0,0.0,42,-3.3528762976386584,3.3528762976386584,3.384995244372638e-145
CLEC3B,0.0,0,0.0,0.0,0.0,21,-3.2909997861404663,3.2909997861404663,7.006815342023209e-166
MME,0.0,0,0.0,0.0,0.0,29,-3.257737237817117,3.257737237817117,4.938896322661333e-155
DMD,0.0,0,0.0,0.0,0.0,8,-3.2296695959723833,3.2296695959723833,7.13913976284141e-206
