gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
CDK1,31.073,35,0.3535353535353536,0.04081632653061224,0.3230954182855291,1,2.7340159660393257,2.7340159660393257,1.2194473394012912e-122
KIF11,26.542,29,0.29292929292929293,0.02370645227788085,0.2940978063828879,3,2.4253694835518336,2.4253694835518336,4.0182791501842726e-139
NUF2,24.304,28,0.2828282828282829,0.0101010101010101,0.2794447132735123,1,2.969635260155909,2.969635260155909,1.1005917212395025e-115
CCNB1,23.931,27,0.27272727272727276,0.0010307153164296021,0.27485684751668094,1,2.448219744576646,2.448219744576646,3.9361801419245673e-147
TOP2A,22.107,25,0.25252525252525254,0.00020614306328592042,0.26662923404164585,1,3.4060961714952662,3.4060961714952662,1.2175884934527153e-131
NCAPG,21.891,25,0.25252525252525254,0.006596578025149453,0.26550944897519263,1,2.834161147321089,2.834161147321089,1.6971167312856416e-130
CENPE,21.796,25,0.25252525252525254,0.0010307153164296021,0.26466924269578385,1,2.501391316392238,2.501391316392238,6.10094552498826e-124
EXO1,19.943,24,0.24242424242424243,0.027210884353741496,0.2549119367309196,2,2.8809565914956,2.8809565914956,1.6420022073817387e-115
TPX2,19.899,23,0.23232323232323235,0.0008245722531436817,0.255495752222973,1,2.852824296797989,2.852824296797989,1.1145617064563449e-119
ZWINT,18.591,22,0.22222222222222224,0.002886002886002886,0.24874236910381378,2,2.423493485538478,2.423493485538478,1.0104941685253683e-115
KIF23,18.564,21,0.21212121212121213,0.008658008658008658,0.23641444634515696,1,2.340054016441884,2.340054016441884,4.4968650245759784e-116
KIF15,18.01,21,0.21212121212121213,0.0,0.24362110502555923,1,2.4567771011417285,2.4567771011417285,1.343105146281446e-125
ESPL1,17.756,21,0.21212121212121213,0.001443001443001443,0.24474963996196925,1,2.724838837511696,2.724838837511696,4.011399820832291e-130
PLK4,15.876,19,0.19191919191919193,0.0020614306328592042,0.23801665995285917,1,1.991074327422074,1.991074327422074,5.708732560922619e-145
AURKA,15.688,18,0.18181818181818182,0.0,0.22613925563480217,1,2.737017129337056,2.737017129337056,5.713066295857343e-116
RACGAP1,15.519,18,0.18181818181818182,0.00020614306328592042,0.23201439064058205,1,2.218895518681967,2.218895518681967,9.966312088968806e-201
KIF18A,14.701,18,0.18181818181818182,0.0,0.22206768801473495,1,2.408937620279455,2.408937620279455,3.3794030756929225e-126
