gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
CCNE1,3.943965344768442,3.943965344768442,1.4532547376212945e-217,1024.02525823974
CAVIN2,-4.892904690503086,4.892904690503086,3.530916715699787e-215,2575.912267808793
VEGFD,-5.318699137187592,5.318699137187592,4.5673486730070625e-197,640.5661415046644
CHEK1,2.590968121451682,2.590968121451682,5.6602704302756e-194,1388.554490776671
TAT,-7.385208067465846,7.385208067465846,9.462857368262975e-194,2504.6129293392414
TTK,3.4981413976783404,3.4981413976783404,2.3660723012536596e-193,1456.3738851647472
PRR11,3.043925276389889,3.043925276389889,1.0870966215224663e-191,1788.3097651892242
CDC25A,2.9642692104993507,2.9642692104993507,3.1771700725370266e-187,737.4364449462823
ZBTB16,-5.636359013554516,5.636359013554516,9.572037296519444e-187,2721.5007851266496
FOXCUT,4.779838045888496,4.779838045888496,9.730559438342595e-184,674.3678629897
CENPO,1.8658382575493384,1.8658382575493384,7.431197029542653e-183,674.8047556388423
TNXB,-4.958242727151066,4.958242727151066,1.8000051466408638e-181,5925.401986539394
ATP1A2,-6.935654412160087,6.935654412160087,8.164842980225118e-181,2246.22866960801
HDGF,1.7711326978821376,1.7711326978821376,5.284872819764788e-178,29677.013406048693
AP001528.2,-4.594161701417776,4.594161701417776,1.506485967164916e-177,587.765023872695
PGR,-5.116618945827024,5.116618945827024,9.33395683593176e-177,2006.8535295762945
MTFR2,3.1883849986271766,3.1883849986271766,9.33395683593176e-177,316.12608997573017
TRIP13,3.075902045799281,3.075902045799281,4.4771722022012336e-176,1657.1342269866773
BTNL9,-4.844503305300063,4.844503305300063,6.847778660701647e-176,2271.829273184066
CENPL,1.9077116753108507,1.9077116753108507,2.4627214430701767e-175,773.2963036145717
CDCA8,3.3198274455517898,3.3198274455517898,2.6667770696108156e-173,2034.789219038473
RAPGEF3,-2.81662789208456,2.81662789208456,7.132533756359846e-173,1121.6208680382051
SLC16A12,-4.261108008313701,4.261108008313701,1.7709535014267138e-172,69.01862122006118
SLC26A3,-7.366634578065153,7.366634578065153,3.7914063587092193e-172,301.2753004500723
CIP2A,2.377263624253394,2.377263624253394,3.7914063587092193e-172,800.248952265568
MCM10,3.614013920746117,3.614013920746117,1.0584089358010585e-171,1249.7204246459178
ACACB,-4.381716306630113,4.381716306630113,3.2775037473448354e-171,7986.644021894793
CDCA2,3.698290468001741,3.698290468001741,8.882188662978823e-171,1013.1562896598888
PDE2A,-3.5476662998437276,3.5476662998437276,1.1476832404080336e-170,1458.277002855566
STIL,2.710082829144575,2.710082829144575,1.9833772837943912e-170,1394.457594790983
PRIM2,1.6000129193948258,1.6000129193948258,1.0415261860409148e-168,1159.6808014517178
SCN2B,-4.690802426274433,4.690802426274433,1.9739354265685404e-168,158.4128079348047
HASPIN,2.718874115871762,2.718874115871762,3.328156026410172e-167,210.5053333252287
PAMR1,-3.831473489239463,3.831473489239463,1.2301554565076643e-164,1574.0215361982114
RFC4,2.0226466711260658,2.0226466711260658,2.1385724069645003e-164,1794.962442976113
NOSTRIN,-2.73470703144127,2.73470703144127,2.290514082518439e-164,950.7986338346902
CAPN11,-3.543051026876658,3.543051026876658,1.0788764572186506e-163,211.91046094656997
CTPS1,2.0292278781431548,2.0292278781431548,1.1103813841410333e-163,3126.250220451144
KPNA2,2.395638699790392,2.395638699790392,1.3513360669106876e-163,9859.450874345916
PIMREG,3.546675979914916,3.546675979914916,2.5564158805093094e-162,681.3379227143232
KCNIP2,-5.367069286916087,5.367069286916087,2.842416161863149e-162,2091.947528648545
EXO1,3.600399899288404,3.600399899288404,1.3217327238730644e-161,1141.8886431976716
ANP32E,2.1427577522612884,2.1427577522612884,2.4217313845153284e-161,7982.760931819769
AC012073.1,2.330080989222074,2.330080989222074,3.380741334781677e-161,73.5689271159591
FAM72B,3.1806643626753517,3.1806643626753517,4.785154263135661e-161,110.31431996203612
FAM72A,3.1933241966245953,3.1933241966245953,4.926830788897752e-161,103.46701467560158
KIF15,2.8799286234567103,2.8799286234567103,6.48696043336732e-160,881.943426574458
PFKFB1,-4.881649402935543,4.881649402935543,7.681419303641751e-160,358.2579584967382
SCUBE2,-4.20565066954756,4.20565066954756,9.34198531130118e-160,4036.890106901912
TPX2,3.502692242693661,3.502692242693661,9.34198531130118e-160,6143.637086829679
BUB1,3.4511373211521748,3.4511373211521748,1.0215433600931781e-159,2167.8433121549565
RCOR2,3.5196742873419935,3.5196742873419935,2.338119529231929e-159,682.613978442838
RAD51AP1,3.0023825576013747,3.0023825576013747,3.0249132807416674e-159,1046.6353341906006
FOXM1,3.7834664591854943,3.7834664591854943,8.601219986046398e-159,3523.684324926308
PLK1,3.403348615747942,3.403348615747942,4.894290631948735e-158,1953.5130510405056
AUNIP,2.748005223440837,2.748005223440837,5.077917685186387e-158,353.9311177058535
