gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
NTRK2,-4.881572322096914,4.881572322096914,2.7432262739111928e-232,12370.665532842931
KLHL29,-3.2797054931629384,3.2797054931629384,1.577364675250049e-219,871.2576722996322
SCN4B,-3.313283482923589,3.313283482923589,1.2794879492771345e-189,1642.8167735138666
SYNM,-4.3537779534514325,4.3537779534514325,1.2129887416826405e-181,13308.317867424668
ECRG4,-5.597227020017146,5.597227020017146,1.0389905863120659e-178,1002.6971077940628
VEGFD,-5.852622637013559,5.852622637013559,4.4611677554234027e-163,912.97974866792
TSLP,-4.478341484224445,4.478341484224445,1.075702326515953e-161,127.12138542202852
ANKRD29,-3.3651494947126808,3.3651494947126808,1.183570540688139e-161,710.4173888907941
FGF2,-4.286348663281538,4.286348663281538,9.986015065120229e-161,1761.4782435447703
PAMR1,-3.853186839567795,3.853186839567795,1.5611732710500038e-157,2182.9708185586364
LINC02607,-5.96254906003013,5.96254906003013,1.109542360999082e-151,585.1483976977656
CACHD1,-2.716727513876074,2.716727513876074,4.54267898206769e-150,2091.6697444361203
ADAMTS9-AS2,-4.029778596343625,4.029778596343625,1.2739327079961052e-147,190.38754120183484
CAVIN2,-4.788558512192437,4.788558512192437,2.7511800724369745e-147,3669.6506304233135
GPRASP1,-2.534770322220347,2.534770322220347,2.159461401928069e-146,941.5924184341632
TMEM220,-2.631101345049842,2.631101345049842,5.67148715967256e-146,437.0655191409104
CARMN,-3.733432679216419,3.733432679216419,4.075798486682568e-145,2411.801766066712
PDE1C,-3.99432028119279,3.99432028119279,2.3259087582443351e-144,894.798648034884
PROS1,-2.224791614236051,2.224791614236051,2.6076865855097593e-144,2904.111807551715
TSHZ2,-2.840226591133942,2.840226591133942,1.916526518872331e-143,2830.541644328836
ABCA10,-4.2788366876931025,4.2788366876931025,7.389358269902574e-139,602.0451392721565
CYYR1,-2.2078775538206323,2.2078775538206323,1.1683731979359854e-133,2334.991843074766
OSR1,-4.454091574963458,4.454091574963458,1.1031617024979736e-132,1051.5346236581586
BOC,-2.306272008538608,2.306272008538608,1.6370856034589268e-132,2719.5025182618447
POU6F1,-1.7478287982468814,1.7478287982468814,3.2902368546443117e-129,717.5539143296885
RHOJ,-1.7512284877100248,1.7512284877100248,3.86744775319951e-128,1507.685572871197
CLDN11,-3.18878538768942,3.18878538768942,1.2992001192614975e-127,1167.1353808964643
ADAM33,-3.563218366536656,3.563218366536656,8.703606962397754e-127,975.6599280296704
LRRC3B,-5.504790095682821,5.504790095682821,1.1794483021612108e-126,71.17620325593096
USP44,-2.9011022390950276,2.9011022390950276,1.7393702152048323e-126,73.68926021656863
C8orf88,-2.486147988341654,2.486147988341654,2.030928862702772e-125,51.190375289748935
P3H2,-2.3739065165712803,2.3739065165712803,6.0838051393018935e-124,855.9845641511694
SPARCL1,-2.079764933045021,2.079764933045021,7.415226768050244e-124,31424.75626372652
AC124852.1,-3.5884246554860084,3.5884246554860084,9.853612455075762e-124,222.84720698736285
TRPM6,-3.275334254065593,3.275334254065593,1.1895216503939732e-122,107.6734932793178
MYH11,-4.036027648321442,4.036027648321442,2.0380476980137502e-122,17711.987063949695
MAMDC2,-3.475064891070786,3.475064891070786,1.5487463090066595e-121,1223.586775484226
MICU3,-2.8577250697127297,2.8577250697127297,2.53873816396284e-121,264.9507818570981
