gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
MRAS,-2.4952434166248425,2.4952434166248425,2.042235853175153e-208,2896.7627650353847
DMD,-3.2296695959723833,3.2296695959723833,7.13913976284141e-206,1944.4654753704183
GPAM,-3.877490393606592,3.877490393606592,8.129911352414248e-199,7416.84905069752
LYVE1,-4.423139422758476,4.423139422758476,1.3861571400130642e-192,1108.410701220789
CRYAB,-3.816940964743462,3.816940964743462,7.873650006571199e-192,7301.139617426997
FAM13A,-2.335465334904562,2.335465334904562,1.1839931598822144e-189,1643.3745599229203
CAV2,-2.6271321450398006,2.6271321450398006,3.8999399735884225e-185,3353.8318826469053
FHL1,-4.357343368222775,4.357343368222775,1.299196615937212e-184,14615.36955094512
RHOXF1-AS1,-3.858461353691327,3.858461353691327,1.4559808077052932e-181,124.45805324824406
AUXG01000058.1,-3.764136767246012,3.764136767246012,1.4846069513565618e-181,584.8511870327379
LINC02613,-3.483640121651552,3.483640121651552,2.7843381501206284e-181,205.45446310135708
NDRG2,-2.3243047282475504,2.3243047282475504,3.190850463174434e-178,7343.901580828921
CAV1,-2.824056123539497,2.824056123539497,1.2373413452382458e-177,11940.505475590788
TNS1,-2.605197436744765,2.605197436744765,1.1204062753532127e-175,21233.11693122596
ANXA1,-2.3693692557032797,2.3693692557032797,5.055390998888651e-175,13090.978719849623
SLC2A4,-4.174123228608484,4.174123228608484,7.536635254018111e-175,425.98967652027545
RYR3,-2.4477344932075167,2.4477344932075167,3.201060609873073e-174,184.5756301915565
PLA2G4A,-2.337009016327684,2.337009016327684,1.4311561938311716e-172,343.8639289410019
EPHB1,-2.8868122874947324,2.8868122874947324,5.890318800246735e-169,316.33246232443486
CLEC3B,-3.2909997861404663,3.2909997861404663,7.006815342023209e-166,657.550805072138
RNF150,-2.902723945967768,2.902723945967768,1.7724415503876052e-161,1162.5338106153115
C2orf88,-2.755389620898844,2.755389620898844,4.624190627137677e-160,300.451034643732
NMT2,-1.89368515820056,1.89368515820056,4.624190627137677e-160,1142.9127182019313
SIK2,-2.181771892489561,2.181771892489561,8.355483060484649e-160,4504.634889851391
NPR1,-3.0733769258215498,3.0733769258215498,3.7331908123082957e-159,1696.2123228805638
ACVR1C,-4.592217598860831,4.592217598860831,5.455019944940056e-156,894.9478282645385
SPRY2,-2.2540986814915893,2.2540986814915893,6.043808280049866e-156,1255.5365114753924
GSN,-2.196188442884028,2.196188442884028,3.663322299573527e-155,47152.58429386963
CFL2,-2.048614649443894,2.048614649443894,4.296689890955974e-155,1518.467601249918
MME,-3.257737237817117,3.257737237817117,4.938896322661333e-155,3675.564122493478
KLHL31,-3.5758004695536716,3.5758004695536716,5.848959880057817e-155,408.4495122450329
NIPSNAP3B,-2.4609336866844775,2.4609336866844775,4.2942587749350565e-154,348.5745638014383
LPL,-4.301832844657248,4.301832844657248,1.2894688096573934e-153,12436.068283216233
SORBS1,-3.0640700962048895,3.0640700962048895,1.9960538453436158e-153,9608.149111163437
TMEM220,-2.0176398604940013,2.0176398604940013,5.226638341928573e-152,269.9892601245365
AL109809.4,-3.0955179466851184,3.0955179466851184,1.4510582554196508e-151,55.117240709048865
TMOD1,-3.1868470264837274,3.1868470264837274,8.808723279769883e-151,218.27741365562088
SPTBN1,-1.8485388726124976,1.8485388726124976,9.824238495275969e-151,24727.588936243184
GYG2,-3.700905089697819,3.700905089697819,3.3514526527360545e-150,3245.803715531031
PALMD,-2.570924266751449,2.570924266751449,1.307146495332497e-149,3097.64880725804
GNAI1,-2.4737203395681675,2.4737203395681675,1.2075252232713795e-148,1260.068436648991
PAMR1,-2.9619735285851463,2.9619735285851463,1.9239640531581073e-148,1083.94193693251
NAALAD2,-2.6110109834552286,2.6110109834552286,3.456125054855573e-148,139.2749707166745
LOXL4,-2.6649225749868375,2.6649225749868375,1.214115824499678e-147,503.35080918740925
LINC00968,-3.928048415648054,3.928048415648054,8.689843087526025e-147,69.94100263916104
ITIH5,-3.3528762976386584,3.3528762976386584,3.384995244372638e-145,4602.644044127202
PYGM,-3.0011167816443285,3.0011167816443285,5.223353268105536e-145,151.68704243178257
APCDD1L-DT,-3.578330662189263,3.578330662189263,7.369874558613491e-145,128.6664306626105
ANGPT1,-2.9733961811500973,2.9733961811500973,2.244971805699344e-144,462.82529577172426
HSPB7,-4.387941920966752,4.387941920966752,2.4096042159902042e-144,1598.7339322396872
GATA3,2.0641377211329925,2.0641377211329925,1.010802632817355e-137,38620.68760290781
NAT1,3.5822119830688455,3.5822119830688455,1.250648125462945e-128,10339.760706384432
ZMYND10,2.644094690431879,2.644094690431879,2.4853871081411655e-123,843.8563558613268
FOXA1,1.9882356027417312,1.9882356027417312,6.463988329150689e-122,19322.42166117572
C9orf116,2.037624760484216,2.037624760484216,5.0442354622512305e-117,614.060174371072
ANXA9,1.931771480180304,1.931771480180304,8.642990518091378e-117,2687.7278769008985
AC044784.1,5.686233253476811,5.686233253476811,5.079749502619736e-116,584.9101878901774
DEGS2,2.553101624637083,2.553101624637083,4.0300264137092e-110,5310.263643740321
C5AR2,1.8905520362275277,1.8905520362275277,6.842389902569768e-108,1508.4707562804535
LINC02224,5.790665348203753,5.790665348203753,1.0148010107972565e-107,478.1750590178826
LINC01522,4.657263868213675,4.657263868213675,1.4107574032798217e-107,157.58886452065565
TPRN,1.773268121678138,1.773268121678138,1.7281852937875895e-106,2588.878349286432
