gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
SFRP1,-6.356138632544355,6.356138632544355,0.0,22524.44090026641
ECRG4,-6.012318124948575,6.012318124948575,0.0,707.050275999622
SYNM,-4.777310896703693,4.777310896703693,0.0,9512.451031756644
FAM107A,-4.665110506320308,4.665110506320308,0.0,1349.2506106175597
PDE1C,-4.411585560882881,4.411585560882881,0.0,644.5007311036368
ADAMTS9-AS2,-4.3707792937470495,4.3707792937470495,0.0,137.49361812586696
DMD,-4.317489168232002,4.317489168232002,0.0,2998.508822066286
CARMN,-4.195883496833373,4.195883496833373,0.0,1742.520125375576
SPRY2,-3.30657162458193,3.30657162458193,0.0,1612.1961831943197
CRYAB,-5.324718136644108,5.324718136644108,1.6152410058550454e-305,12080.593219739303
PAMR1,-4.29789946441613,4.29789946441613,4.814908735270269e-301,1576.7151462017987
NRG2,-4.565994057183569,4.565994057183569,1.0250349316030729e-297,174.0460278061729
C2orf88,-3.812001364394815,3.812001364394815,2.6318805463361275e-296,427.4593801253676
MYH11,-4.569636507055751,4.569636507055751,4.407427874092485e-295,12693.209532893405
LINC02613,-4.795116074193414,4.795116074193414,1.978939898049831e-290,325.31280435056175
OSR1,-4.855069814451081,4.855069814451081,1.9966903097345473e-289,751.4159337876104
KCNMB1,-3.754554401424911,3.754554401424911,9.482037696551412e-280,914.7984036342568
KLHL29,-3.4372142445025893,3.4372142445025893,2.8555992616185305e-267,651.9957366167289
TSLP,-4.876917608391491,4.876917608391491,1.940013958172155e-266,90.83358154479248
ANGPTL7,-7.243685423581287,7.243685423581287,1.593804319135631e-262,179.0091909117797
ATOH8,-4.479239070881873,4.479239070881873,6.795523187451787e-260,590.8927787527724
TRPM3,-4.018849277854587,4.018849277854587,8.407700182117821e-258,34.96078849598395
GIPC2,-3.4465731317528916,3.4465731317528916,1.0381944131393217e-257,246.4251193031863
C10orf90,-5.7446275697400315,5.7446275697400315,5.546766551132935e-253,92.13818536986416
KCNJ16,-6.9836235128757504,6.9836235128757504,7.813063114606105e-251,185.2487958156256
EPHB1,-3.700230528807988,3.700230528807988,9.098495671137695e-251,467.5739470419265
CX3CL1,-3.888165435882773,3.888165435882773,6.163975766805234e-249,8892.821400002013
CAVIN2,-4.807096100627736,4.807096100627736,1.776827879285644e-248,2643.141696811188
MIR145,-5.078767777221864,5.078767777221864,4.007186997903589e-248,38.86849733031275
SLC6A2,-5.814359887397233,5.814359887397233,1.5575782003003436e-246,35.46878907326875
SCN4B,-3.2907425523516314,3.2907425523516314,8.682977829113825e-244,1247.080744019103
BOC,-2.9459551451922574,2.9459551451922574,1.920604911022822e-242,2025.9497234325972
VEGFD,-5.622396831267515,5.622396831267515,3.6752829163795693e-242,650.8278469373664
S100B,-5.467180494446978,5.467180494446978,2.0711180093421866e-237,1500.2241742815015
CMTM5,-5.597390936028108,5.597390936028108,7.1741079463861664e-233,21.86311611619119
NSG1,-4.464991491062386,4.464991491062386,9.097343463393823e-231,310.27413818744066
CNN1,-4.229290839154787,4.229290839154787,7.789813964172412e-229,4373.3609598136045
AQP1,-2.7298837504425277,2.7298837504425277,2.0863558860337394e-227,12394.731734960817
ITIH5,-4.782764987922364,4.782764987922364,3.0001843976029195e-227,7144.519947127349
SOX10,-6.696798014497001,6.696798014497001,4.849490263273802e-227,2372.9125712732457
TSHZ2,-3.172555221874881,3.172555221874881,4.1694552292289755e-226,2128.3701412570817
HPSE2,-5.338751674515054,5.338751674515054,1.3043858286204997e-225,209.83881318896164
AL109809.4,-4.275629097910326,4.275629097910326,8.610877705430459e-224,82.58253728810706
CYYR1,-2.4605152138557673,2.4605152138557673,6.997022432543497e-223,1838.876694692399
FMO2,-4.613294749016888,4.613294749016888,2.649192366330326e-219,3655.930166597706
TNXB,-4.921298479798473,4.921298479798473,3.531697050407811e-218,6069.196436865477
FAT2,-4.899927113878438,4.899927113878438,5.906508689164823e-217,1411.9810885685768
CAV1,-3.754201420033705,3.754201420033705,5.948661833251745e-217,17391.958110480984
MEF2C-AS1,-3.039635531005598,3.039635531005598,1.4219057432401115e-216,37.69382206603494
PPP1R14A,-3.679560972435857,3.679560972435857,5.2198372443876366e-216,440.02978571939866
RACGAP1,2.218895589606124,2.218895589606124,7.079050281829692e-201,3243.8143395696648
SPAG5,2.8390233196984864,2.8390233196984864,5.611075918297759e-175,2021.6143169145655
TIMELESS,1.865364557543537,1.865364557543537,3.1637182141976533e-169,3539.242153620219
ECT2,2.158860732797418,2.158860732797418,1.160533895005343e-166,3642.870901297348
CCNB1,2.448219885499941,2.448219885499941,2.87271737803369e-147,3161.387243692125
DTL,3.043562086968373,3.043562086968373,9.611707509182929e-147,2018.6022767808963
PLK4,1.9910744298750327,1.9910744298750327,4.2096858581031705e-145,721.5286697791638
KIF11,2.4253696304030306,2.4253696304030306,2.9361151369418343e-139,2406.949247617001
CCNE2,2.6580584270797103,2.6580584270797103,1.7447889556455128e-133,458.0699131499782
POLQ,2.5662184835942803,2.5662184835942803,2.403843820052751e-132,520.1418312804788
TOP2A,3.406096205291484,3.406096205291484,8.865124456374395e-132,10923.212121156494
NCAPG,2.8341615305330303,2.8341615305330303,1.245549981570013e-130,1045.0392974361937
ESPL1,2.7248391597895703,2.7248391597895703,2.9410232813892364e-130,1290.933637489759
ZNF367,2.0311327882991734,2.0311327882991734,3.3817753464204474e-129,715.3557704718955
FANCI,2.1254087157977546,2.1254087157977546,1.3125861555639918e-128,2652.2526540271515
SGO2,1.6442207939736215,1.6442207939736215,1.4173024033336336e-128,837.3598070558584
CERS2,1.5710489165366834,1.5710489165366834,6.130872437611743e-128,10079.882466931253
KPNA2,2.229557334853284,2.229557334853284,6.640382501775838e-128,9803.696338646996
KNTC1,1.5106289374823676,1.5106289374823676,7.0025898724971895e-127,2114.767547449642
KIF18A,2.408937974975896,2.408937974975896,2.5024321277753608e-126,529.9195922500109
ARHGAP11A,2.304734688213522,2.304734688213522,5.443495359560975e-126,1015.5164273316344
KIF15,2.4567773871839926,2.4567773871839926,9.92282140952248e-126,747.17931569785
UBE2T,2.759108402997018,2.759108402997018,2.5455445661363217e-125,1411.0734321882594
CENPI,2.195274537765353,2.195274537765353,1.8526666662334548e-124,380.88875539885703
CENPE,2.501391658164742,2.501391658164742,4.499725549015189e-124,1308.9999437179365
CIT,2.082607078020295,2.082607078020295,4.616268719952204e-124,1411.089672623712
EME1,2.8008570614578048,2.8008570614578048,1.7469412597880176e-123,253.30896342010783
CDK1,2.734016170424008,2.734016170424008,8.992154204287915e-123,2720.970525716333
WDHD1,1.5401779426636943,1.5401779426636943,1.2840072299273451e-122,1053.4943464795515
POLR3K,1.6305630610350053,1.6305630610350053,3.4003929313320896e-122,1588.0281554696712
RAD51AP1,2.1653980906220904,2.1653980906220904,4.0954241384047907e-122,687.1536948462198
BRIP1,2.509757580750596,2.509757580750596,1.226222092341194e-121,790.8853656532433
TPX2,2.852824422258244,2.852824422258244,8.193005158526441e-120,4466.3418090167115
POC1A,2.0051541949185765,2.0051541949185765,3.6403713317531925e-119,733.3738331661938
GINS1,2.3791442275296655,2.3791442275296655,5.95678270896777e-119,1224.47457183137
NCAPH,2.516715410885808,2.516715410885808,1.340487795947375e-118,1036.186965262287
CKAP2L,2.8947952505053833,2.8947952505053833,2.0113093382473964e-118,672.9489019398512
CDC6,3.0419252302433955,3.0419252302433955,2.6213691162304938e-118,1956.890511773949
CFAP20DC,2.553238398887999,2.553238398887999,5.399401191769445e-118,306.6729802436602
FLVCR1,1.7479867392447814,1.7479867392447814,3.0647589832590697e-117,1693.65201101424
STIL,1.9297350541383755,1.9297350541383755,4.1653745930295054e-117,956.4103395257972
DNA2,1.805353159636544,1.805353159636544,1.1346753707782422e-116,561.999737515585
PARPBP,1.8137413901239248,1.8137413901239248,2.160962149822611e-116,326.6917527017593
CENPK,2.1965723303060165,2.1965723303060165,3.0762274212167596e-116,372.0053411536166
KIF23,2.340054187500798,2.340054187500798,3.3353604302596333e-116,1619.216700017268
AURKA,2.7370173290060964,2.7370173290060964,4.2339397822551426e-116,1659.6054583381783
FAM72A,2.683990761440872,2.683990761440872,6.456558450148789e-116,82.69941174968031
ZWINT,2.423493648308858,2.423493648308858,7.487443109955182e-116,2678.7632980463645
NUF2,2.9696358786579724,2.9696358786579724,8.137471692580157e-116,967.2832598397576
EXO1,2.880956897989173,2.880956897989173,1.2150591005896814e-115,793.668225013192
