gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
CENPL,CENPN,0.999,0.0,0,0.0,0.166,0.953,0.8,0.96
CCNB1,PLK1,0.999,0.0,0,0.0,0.781,0.588,0.9,0.982
CENPA,CENPN,0.999,0.0,0,0.0,0.407,0.955,0.5,0.982
CENPL,CENPO,0.999,0.0,0,0.0,0.099,0.805,0.8,0.984
NCAPH,NCAPG,0.999,0.0,0,0.0,0.845,0.999,0.9,0.996
CENPO,CENPN,0.999,0.0,0,0.0,0.21,0.976,0.8,0.977
CDC25A,CHEK1,0.999,0.0,0,0.0,0.473,0.903,0.9,0.944
ORC6,ORC1,0.999,0.0,0,0.0,0.324,0.934,0.9,0.98
BUB1,TTK,0.999,0.0,0,0.0,0.989,0.292,0.0,0.945
ORC6,DBF4,0.998,0.0,0,0.0,0.186,0.994,0.5,0.592
CCNB1,CKS1B,0.998,0.0,0,0.0,0.533,0.978,0.0,0.902
DSCC1,RFC4,0.998,0.0,0,0.0,0.448,0.776,0.9,0.905
PLK1,BUB1,0.996,0.0,0,0.0,0.587,0.39,0.8,0.936
CCNB1,CDC25A,0.995,0.0,0,0.0,0.399,0.659,0.9,0.804
PLK1,FOXM1,0.995,0.0,0,0.0,0.685,0.306,0.9,0.806
NUF2,BUB1,0.994,0.0,0,0.0,0.901,0.787,0.0,0.757
CENPA,CENPL,0.993,0.0,0,0.0,0.177,0.817,0.5,0.92
CCNB1,BUB1,0.992,0.0,0,0.0,0.846,0.279,0.4,0.9
CCNE1,CDC25A,0.991,0.0,0,0.0,0.401,0.646,0.9,0.657
CENPA,CENPO,0.991,0.0,0,0.0,0.213,0.855,0.5,0.872
NUF2,TTK,0.989,0.0,0,0.0,0.947,0.486,0.0,0.655
PLK1,CENPA,0.988,0.0,0,0.0,0.648,0.107,0.8,0.837
CCNB1,FOXM1,0.988,0.0,0,0.0,0.683,0.535,0.5,0.863
CCNB1,CDCA8,0.987,0.0,0,0.0,0.843,0.0,0.4,0.878
NCAPG,BUB1,0.976,0.0,0,0.0,0.908,0.0,0.0,0.756
PLK1,CDC25A,0.975,0.0,0,0.0,0.318,0.139,0.9,0.637
PLK1,CDCA8,0.974,0.0,0,0.0,0.645,0.0,0.5,0.866
EXO1,CHEK1,0.973,0.0,0,0.0,0.645,0.157,0.5,0.845
NCAPG,TTK,0.973,0.0,0,0.0,0.923,0.0,0.0,0.667
BUB1,CDCA8,0.971,0.0,0,0.0,0.847,0.0,0.0,0.818
CENPA,CDCA8,0.971,0.0,0,0.0,0.837,0.268,0.0,0.778
CHEK1,MCM10,0.969,0.0,0,0.0,0.776,0.0,0.5,0.746
BUB1,CENPA,0.969,0.0,0,0.0,0.815,0.111,0.0,0.83
CCNB1,NUF2,0.967,0.0,0,0.0,0.848,0.0,0.4,0.668
NCAPG,CCNB1,0.962,0.0,0,0.0,0.824,0.0,0.4,0.672
KIF15,TTK,0.961,0.0,0,0.0,0.896,0.0,0.0,0.64
TPX2,BUB1,0.958,0.0,0,0.0,0.847,0.0,0.0,0.74
EXO1,RFC4,0.955,0.0,0,0.0,0.466,0.129,0.5,0.83
EXO1,MCM10,0.954,0.0,0,0.0,0.874,0.0,0.0,0.653
CCNB1,CENPA,0.953,0.0,0,0.0,0.826,0.047,0.4,0.584
CCNB1,TPX2,0.949,0.0,0,0.0,0.836,0.045,0.0,0.703
NCAPG,TPX2,0.949,0.0,0,0.0,0.827,0.0,0.0,0.72
TPX2,KIF15,0.948,0.0,0,0.0,0.802,0.0,0.0,0.749
DBF4,MCM10,0.948,0.0,0,0.0,0.18,0.23,0.5,0.856
NUF2,TPX2,0.947,0.0,0,0.0,0.838,0.0,0.0,0.686
BUB1,CHEK1,0.946,0.0,0,0.0,0.794,0.053,0.0,0.748
KIF18A,NUF2,0.946,0.0,0,0.0,0.85,0.071,0.0,0.649
TTK,CDCA8,0.946,0.0,0,0.0,0.853,0.292,0.0,0.522
PLK1,TPX2,0.944,0.0,0,0.0,0.805,0.0,0.0,0.727
KIF18A,KIF15,0.943,0.0,0,0.0,0.786,0.0,0.54,0.467
RFC4,CHEK1,0.942,0.0,0,0.0,0.453,0.087,0.5,0.797
BUB1,HASPIN,0.938,0.0,0,0.0,0.38,0.073,0.0,0.9
CCNB1,TTK,0.936,0.0,0,0.0,0.783,0.071,0.0,0.706
CDC25A,FOXM1,0.936,0.0,0,0.0,0.396,0.314,0.75,0.459
NUF2,CENPA,0.936,0.0,0,0.0,0.618,0.058,0.0,0.836
NUF2,KIF15,0.936,0.0,0,0.0,0.813,0.0,0.0,0.673
TPX2,TTK,0.935,0.0,0,0.0,0.848,0.0,0.0,0.592
CCNB1,CHEK1,0.935,0.0,0,0.0,0.449,0.069,0.0,0.885
NCAPH,BUB1,0.933,0.0,0,0.0,0.838,0.0,0.0,0.606
EXO1,ORC1,0.932,0.091,0,0.0,0.908,0.0,0.0,0.25
TPX2,FOXM1,0.932,0.0,0,0.0,0.788,0.052,0.0,0.688
NCAPG,NUF2,0.93,0.0,0,0.0,0.865,0.0,0.0,0.505
FOXM1,CDCA8,0.93,0.0,0,0.0,0.819,0.045,0.0,0.628
ORC1,MCM10,0.93,0.0,0,0.0,0.644,0.234,0.5,0.549
RFC4,PRIM2,0.929,0.0,0,0.0,0.711,0.113,0.5,0.516
BUB1,EXO1,0.929,0.0,0,0.0,0.828,0.073,0.0,0.594
RAD51AP1,EXO1,0.928,0.0,0,0.0,0.645,0.0,0.5,0.627
KIF18A,PLK1,0.927,0.0,0,0.0,0.435,0.066,0.8,0.389
ORC1,PRIM2,0.927,0.0,0,0.0,0.722,0.067,0.5,0.506
KIF18A,TTK,0.927,0.0,0,0.0,0.88,0.0,0.0,0.419
NUF2,CDCA8,0.926,0.0,0,0.0,0.795,0.0,0.0,0.655
BUB1,KIF15,0.923,0.0,0,0.0,0.86,0.0,0.0,0.475
DBF4,CHEK1,0.921,0.0,0,0.0,0.258,0.35,0.5,0.713
NCAPG,KIF15,0.919,0.0,0,0.0,0.851,0.0,0.0,0.479
TPX2,CDCA8,0.919,0.0,0,0.0,0.814,0.0,0.0,0.584
CCNB1,KIF15,0.916,0.0,0,0.0,0.812,0.062,0.0,0.565
RAD51AP1,NCAPG,0.911,0.0,0,0.0,0.785,0.0,0.0,0.607
NCAPH,CDCA8,0.908,0.0,0,0.0,0.842,0.0,0.0,0.446
ORC6,MCM10,0.907,0.0,0,0.0,0.375,0.0,0.5,0.728
CENPA,TTK,0.905,0.0,0,0.0,0.733,0.0,0.0,0.661
KIF15,CDCA8,0.902,0.0,0,0.0,0.811,0.0,0.0,0.505
NUF2,EXO1,0.899,0.0,0,0.0,0.862,0.0,0.0,0.3
CCNE1,CKS1B,0.897,0.0,0,0.0,0.157,0.709,0.5,0.264
EXO1,TTK,0.896,0.0,0,0.0,0.833,0.0,0.0,0.402
NCAPH,KIF15,0.892,0.0,0,0.0,0.803,0.0,0.0,0.474
BUB1,CDCA2,0.89,0.0,0,0.0,0.798,0.0,0.0,0.479
NCAPH,CCNB1,0.889,0.0,0,0.0,0.584,0.0,0.4,0.592
CDCA2,CDCA8,0.889,0.0,0,0.0,0.71,0.0,0.0,0.633
NUF2,CDCA2,0.886,0.0,0,0.0,0.743,0.0,0.0,0.576
NCAPH,TTK,0.886,0.0,0,0.0,0.687,0.0,0.0,0.652
TPX2,CENPA,0.882,0.0,0,0.0,0.791,0.0,0.0,0.46
TRIP13,TPX2,0.879,0.0,0,0.0,0.784,0.065,0.0,0.447
CCNB1,DIAPH3,0.874,0.0,0,0.0,0.352,0.784,0.0,0.173
PLK1,HASPIN,0.873,0.0,0,0.0,0.363,0.292,0.0,0.742
CDCA2,TTK,0.872,0.0,0,0.0,0.834,0.0,0.0,0.26
DBF4,ORC1,0.872,0.0,0,0.0,0.138,0.618,0.5,0.317
NCAPG,CENPA,0.87,0.0,0,0.0,0.743,0.092,0.0,0.487
TPX2,KPNA2,0.867,0.0,0,0.0,0.611,0.297,0.0,0.552
KIF18A,BUB1,0.865,0.0,0,0.0,0.727,0.071,0.0,0.513
NUF2,PLK1,0.865,0.0,0,0.0,0.512,0.0,0.5,0.491
KIF15,CENPA,0.865,0.0,0,0.0,0.719,0.0,0.0,0.539
PIMREG,CENPA,0.863,0.0,0,0.0,0.783,0.0,0.0,0.395
TRIP13,EXO1,0.861,0.053,0,0.0,0.751,0.0,0.0,0.458
NCAPG,CDCA2,0.86,0.0,0,0.0,0.794,0.0,0.0,0.35
NCAPG,FOXM1,0.86,0.0,0,0.0,0.658,0.07,0.0,0.597
ORC1,CHEK1,0.858,0.0,0,0.0,0.44,0.36,0.5,0.302
NCAPH,TPX2,0.854,0.0,0,0.0,0.622,0.0,0.0,0.629
CDC25A,MCM10,0.85,0.0,0,0.0,0.788,0.0,0.0,0.321
MCM10,PRIM2,0.847,0.0,0,0.0,0.321,0.154,0.5,0.531
FOXM1,MCM10,0.844,0.0,0,0.0,0.642,0.0,0.0,0.583
BUB1,RFC4,0.842,0.0,0,0.0,0.48,0.065,0.0,0.7
CCNB1,KPNA2,0.84,0.0,0,0.0,0.718,0.128,0.0,0.402
RAD51AP1,TTK,0.838,0.0,0,0.0,0.638,0.0,0.0,0.572
CCNB1,KIF18A,0.835,0.0,0,0.0,0.57,0.069,0.4,0.395
NCAPG,MCM10,0.833,0.0,0,0.0,0.767,0.0,0.0,0.316
RAD51AP1,MCM10,0.833,0.0,0,0.0,0.643,0.0,0.0,0.552
NCAPG,CDCA8,0.83,0.0,0,0.0,0.669,0.0,0.0,0.51
BUB1,FOXM1,0.825,0.0,0,0.0,0.638,0.116,0.0,0.496
DSCC1,PRIM2,0.822,0.0,0,0.0,0.455,0.0,0.5,0.401
CDCA2,CENPA,0.82,0.0,0,0.0,0.695,0.096,0.0,0.4
KIF15,MCM10,0.816,0.0,0,0.0,0.783,0.0,0.0,0.186
TRIP13,NUF2,0.816,0.0,0,0.0,0.753,0.049,0.0,0.281
NCAPG,KIF18A,0.813,0.0,0,0.0,0.687,0.0,0.0,0.428
TPX2,CDCA2,0.81,0.0,0,0.0,0.738,0.0,0.0,0.305
NUF2,RFC4,0.809,0.0,0,0.0,0.614,0.0,0.0,0.525
KIF18A,CENPA,0.809,0.0,0,0.0,0.46,0.066,0.0,0.653
TPX2,EXO1,0.807,0.0,0,0.0,0.614,0.0,0.0,0.522
POLQ,EXO1,0.805,0.059,0,0.0,0.494,0.0,0.0,0.625
RAD51AP1,CHEK1,0.802,0.0,0,0.0,0.537,0.0,0.0,0.59
KIF15,FOXM1,0.8,0.0,0,0.0,0.738,0.0,0.0,0.267
TRIP13,FOXM1,0.8,0.0,0,0.0,0.505,0.061,0.0,0.603
RAD51AP1,RFC4,0.797,0.0,0,0.0,0.368,0.0,0.4,0.509
CENPA,CHEK1,0.797,0.0,0,0.0,0.512,0.071,0.0,0.587
TRIP13,CCNB1,0.797,0.0,0,0.0,0.686,0.112,0.0,0.331
TPX2,MCM10,0.795,0.0,0,0.0,0.569,0.0,0.0,0.544
CENPA,FOXM1,0.794,0.0,0,0.0,0.533,0.135,0.0,0.533
PIMREG,BUB1,0.79,0.0,0,0.0,0.504,0.0,0.0,0.595
HASPIN,CDCA8,0.785,0.0,0,0.0,0.34,0.0,0.0,0.687
POLQ,STIL,0.784,0.0,0,0.0,0.784,0.0,0.0,0.0
CCNB1,ORC1,0.778,0.0,0,0.0,0.37,0.178,0.5,0.245
EXO1,PRIM2,0.777,0.042,0,0.0,0.663,0.0,0.0,0.365
PLK1,EXO1,0.777,0.0,0,0.0,0.479,0.091,0.0,0.568
CCNE1,FOXM1,0.776,0.0,0,0.0,0.167,0.51,0.0,0.496
ORC6,CCNB1,0.776,0.0,0,0.0,0.265,0.0,0.5,0.44
NCAPG,CHEK1,0.775,0.0,0,0.0,0.698,0.0,0.0,0.286
CCNB1,EXO1,0.773,0.0,0,0.0,0.521,0.328,0.0,0.35
PLK1,CENPN,0.772,0.0,0,0.0,0.371,0.0,0.5,0.334
NCAPH,CDCA2,0.77,0.0,0,0.0,0.666,0.0,0.0,0.339
CCNB1,CENPN,0.768,0.0,0,0.0,0.553,0.0,0.4,0.205
TPX2,CENPN,0.766,0.0,0,0.0,0.486,0.0,0.0,0.563
RAD51AP1,DSCC1,0.766,0.0,0,0.0,0.473,0.0,0.0,0.574
FOXM1,TTK,0.766,0.0,0,0.0,0.629,0.066,0.0,0.378
RAD51AP1,KIF15,0.765,0.0,0,0.0,0.651,0.0,0.0,0.354
CCNB1,CDCA2,0.763,0.0,0,0.0,0.584,0.0,0.0,0.453
LIPE,LEP,0.76,0.0,0,0.0,0.149,0.0,0.0,0.729
RAD51AP1,CENPN,0.76,0.0,0,0.0,0.527,0.0,0.0,0.514
BUB1,CENPN,0.76,0.0,0,0.0,0.587,0.0,0.0,0.443
TRIP13,TTK,0.759,0.0,0,0.0,0.614,0.0,0.0,0.402
NCAPH,NUF2,0.758,0.0,0,0.0,0.649,0.0,0.0,0.339
HASPIN,CDCA2,0.756,0.0,0,0.0,0.438,0.0,0.0,0.583
FOXM1,EXO1,0.753,0.0,0,0.0,0.497,0.0,0.0,0.529
NCAPH,PLK1,0.751,0.0,0,0.0,0.568,0.091,0.0,0.417
PLK1,CENPO,0.75,0.0,0,0.0,0.26,0.091,0.5,0.345
CENPA,EXO1,0.75,0.0,0,0.0,0.464,0.065,0.0,0.541
CCNB1,CCNE1,0.746,0.0,0,0.0,0.467,0.0,0.0,0.544
DBF4,PLK1,0.743,0.0,0,0.0,0.213,0.435,0.0,0.468
KIF18A,CDCA8,0.742,0.0,0,0.0,0.604,0.0,0.0,0.376
NCAPG,EXO1,0.737,0.0,0,0.0,0.629,0.0,0.0,0.32
TRIP13,CDCA8,0.736,0.0,0,0.0,0.602,0.048,0.0,0.36
CDC25A,ORC1,0.735,0.0,0,0.0,0.661,0.0,0.0,0.251
TTK,MCM10,0.735,0.0,0,0.0,0.597,0.0,0.0,0.37
TRIP13,PLK1,0.734,0.0,0,0.0,0.439,0.091,0.0,0.52
KIF15,CDCA2,0.733,0.0,0,0.0,0.659,0.0,0.0,0.25
ORC6,CHEK1,0.732,0.0,0,0.0,0.294,0.0,0.5,0.303
KIF15,EXO1,0.73,0.0,0,0.0,0.677,0.0,0.0,0.199
NUF2,CENPN,0.73,0.0,0,0.0,0.558,0.0,0.0,0.414
DSCC1,EXO1,0.727,0.0,0,0.0,0.607,0.062,0.0,0.319
RAD51AP1,FOXM1,0.727,0.0,0,0.0,0.461,0.0,0.0,0.515
TRIP13,BUB1,0.725,0.0,0,0.0,0.576,0.0,0.0,0.378
RAD51AP1,BUB1,0.724,0.0,0,0.241,0.512,0.0,0.0,0.315
PLK1,CDCA2,0.723,0.0,0,0.0,0.558,0.0,0.0,0.399
ORC6,PRIM2,0.722,0.0,0,0.0,0.246,0.0,0.5,0.322
TRIP13,CKS1B,0.718,0.0,0,0.0,0.44,0.0,0.0,0.518
BUB1,CKS1B,0.717,0.0,0,0.0,0.405,0.0,0.0,0.544
TRIP13,NCAPG,0.711,0.0,0,0.0,0.562,0.0,0.0,0.368
KIF18A,TPX2,0.711,0.0,0,0.0,0.559,0.0,0.0,0.37
NCAPG,STIL,0.708,0.0,0,0.0,0.651,0.0,0.0,0.199
NCAPH,EXO1,0.707,0.0,0,0.0,0.565,0.07,0.0,0.335
RAD51AP1,NUF2,0.706,0.0,0,0.0,0.575,0.0,0.0,0.338
CDCA8,CENPN,0.706,0.0,0,0.0,0.583,0.0,0.0,0.324
CDC25A,EXO1,0.705,0.0,0,0.0,0.567,0.0,0.0,0.348
CENPN,CHEK1,0.705,0.0,0,0.0,0.572,0.0,0.0,0.34
CIP2A,PLK1,0.705,0.0,0,0.0,0.238,0.183,0.0,0.564
CCNE1,CHEK1,0.704,0.0,0,0.0,0.205,0.0,0.0,0.643
NUF2,DSCC1,0.704,0.0,0,0.0,0.581,0.0,0.0,0.321
CCNB1,MCM10,0.703,0.0,0,0.0,0.505,0.0,0.0,0.424
NUF2,CHEK1,0.702,0.0,0,0.0,0.652,0.0,0.0,0.179
CDCA2,KPNA2,0.702,0.0,0,0.0,0.26,0.587,0.0,0.104
TTK,CENPN,0.7,0.0,0,0.0,0.59,0.0,0.0,0.298
CENPN,MCM10,0.7,0.0,0,0.0,0.409,0.0,0.0,0.513
