gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
CENPI,CENPO,0.999,0.0,0.0,0.0,0.269,0.969,0.8,0.988
PLK4,STIL,0.999,0.0,0.0,0.0,0.473,0.961,0.54,0.942
ECT2,RACGAP1,0.999,0.0,0.0,0.0,0.529,0.88,0.9,0.998
CCNB1,CDK1,0.999,0.0,0.0,0.0,0.895,0.999,0.9,0.999
CDC6,MCM10,0.998,0.0,0.0,0.0,0.911,0.689,0.5,0.921
DNA2,EXO1,0.998,0.0,0.0,0.0,0.505,0.588,0.5,0.987
FEN1,DNA2,0.996,0.0,0.0,0.0,0.224,0.838,0.0,0.974
CCNB1,CDC25A,0.995,0.0,0.0,0.0,0.399,0.659,0.9,0.804
CDC25A,CDK1,0.993,0.0,0.0,0.0,0.41,0.326,0.9,0.858
CCNE1,CDC25A,0.991,0.0,0.0,0.0,0.401,0.646,0.9,0.657
KIF11,CDK1,0.987,0.0,0.0,0.0,0.858,0.364,0.0,0.869
FGF2,S100B,0.986,0.0,0.0,0.0,0.047,0.926,0.0,0.822
KIF11,TTK,0.984,0.0,0.0,0.0,0.958,0.139,0.0,0.611
CDC25A,CCNE2,0.984,0.0,0.0,0.0,0.385,0.097,0.9,0.759
AURKA,CCNB1,0.979,0.0,0.0,0.0,0.863,0.094,0.0,0.845
KIF11,RACGAP1,0.978,0.0,0.0,0.0,0.893,0.0,0.4,0.683
CCNE1,CDK1,0.972,0.0,0.0,0.0,0.193,0.812,0.0,0.834
AURKA,KIF11,0.972,0.0,0.0,0.0,0.812,0.272,0.0,0.816
KIF11,KIF18A,0.97,0.0,0.0,0.0,0.885,0.158,0.54,0.408
CDC6,EXO1,0.966,0.0,0.0,0.0,0.929,0.0,0.0,0.538
CCNB1,KIF11,0.966,0.0,0.0,0.0,0.849,0.136,0.0,0.762
CDC6,CDK1,0.963,0.0,0.0,0.0,0.55,0.732,0.0,0.717
ECT2,CDK1,0.963,0.0,0.0,0.0,0.774,0.071,0.0,0.838
CDK1,RACGAP1,0.96,0.0,0.0,0.0,0.692,0.292,0.0,0.832
EXO1,CDK1,0.959,0.0,0.0,0.0,0.814,0.339,0.0,0.693
CCNE1,CCNE2,0.956,0.0,0.0,0.076,0.147,0.0,0.9,0.518
EXO1,MCM10,0.954,0.0,0.0,0.0,0.874,0.0,0.0,0.653
KIF11,SPAG5,0.954,0.0,0.0,0.0,0.883,0.071,0.0,0.613
CCNB1,RACGAP1,0.952,0.0,0.0,0.0,0.811,0.0,0.0,0.757
AURKA,CDK1,0.951,0.0,0.0,0.125,0.777,0.525,0.0,0.537
CCNB1,ZWINT,0.95,0.0,0.0,0.0,0.775,0.0,0.4,0.66
ZWINT,CDK1,0.95,0.0,0.0,0.0,0.79,0.0,0.4,0.638
PLK4,CDK1,0.946,0.0,0.0,0.09,0.811,0.133,0.0,0.683
PGAP3,STARD3,0.942,0.0,0.0,0.0,0.72,0.0,0.0,0.803
ERCC6L,CENPI,0.937,0.0,0.0,0.0,0.815,0.183,0.0,0.618
CCNB1,TTK,0.936,0.0,0.0,0.0,0.783,0.071,0.0,0.706
CDK1,CCNE2,0.933,0.0,0.0,0.0,0.356,0.722,0.0,0.657
CDC6,CCNE2,0.931,0.0,0.0,0.0,0.572,0.0,0.4,0.755
CDC6,CCNB1,0.931,0.0,0.0,0.0,0.527,0.574,0.0,0.686
KIF11,ZWINT,0.928,0.0,0.0,0.0,0.794,0.0,0.0,0.665
SPAG5,CDK1,0.927,0.0,0.0,0.0,0.761,0.354,0.0,0.566
KIF18A,TTK,0.927,0.0,0.0,0.0,0.88,0.0,0.0,0.419
ZWINT,RACGAP1,0.925,0.0,0.0,0.0,0.773,0.0,0.0,0.684
EXO1,EME1,0.915,0.0,0.0,0.0,0.359,0.14,0.5,0.729
KIF11,PLK4,0.912,0.0,0.0,0.0,0.821,0.069,0.0,0.518
CCNB1,ECT2,0.911,0.0,0.0,0.0,0.62,0.071,0.0,0.768
NCAPH,KIF11,0.908,0.0,0.0,0.0,0.853,0.067,0.0,0.385
FGF2,NTRK2,0.908,0.0,0.0,0.0,0.056,0.0,0.65,0.745
NCAPH,CDK1,0.907,0.0,0.0,0.0,0.59,0.292,0.4,0.533
TTK,CDK1,0.905,0.0,0.0,0.0,0.862,0.099,0.0,0.301
CDC6,CCNE1,0.902,0.0,0.0,0.0,0.51,0.292,0.4,0.587
ERCC6L,CDK1,0.902,0.0,0.0,0.0,0.49,0.345,0.4,0.568
FEN1,EXO1,0.901,0.0,0.0,0.0,0.498,0.59,0.0,0.559
KIF11,MCM10,0.898,0.0,0.0,0.0,0.85,0.0,0.0,0.348
