gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
CAV2,CAV1,0.999,0,0,0.106,0.794,0.829,0.9,0.985
FOXA1,ESR1,0.998,0,0,0.0,0.108,0.626,0.5,0.99
CAV1,ESR1,0.998,0,0,0.0,0.053,0.624,0.5,0.992
FOXA1,GATA3,0.997,0,0,0.0,0.12,0.484,0.9,0.95
GATA3,ESR1,0.982,0,0,0.0,0.102,0.608,0.5,0.91
CFL2,GSN,0.864,0,0,0.0,0.055,0.0,0.0,0.862
PYGM,GYG2,0.84,0,0,0.0,0.101,0.0,0.5,0.673
PLA2G4A,ANXA1,0.813,0,0,0.0,0.138,0.51,0.0,0.593
TMOD1,GSN,0.81,0,0,0.0,0.0,0.571,0.0,0.575
SLC2A4,LPL,0.716,0,0,0.0,0.043,0.0,0.0,0.715
