gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
CCNB1,ESPL1,0.999,0.0,0.0,0.0,0.513,0.999,0.0,0.876
CENPI,CENPK,0.999,0.0,0.0,0.0,0.215,0.969,0.8,0.999
KIF23,ECT2,0.999,0.0,0.0,0.0,0.762,0.642,0.9,0.969
ECT2,RACGAP1,0.999,0.0,0.0,0.0,0.529,0.88,0.9,0.998
AURKA,TPX2,0.999,0.0,0.0,0.0,0.846,0.988,0.9,0.995
NCAPH,NCAPG,0.999,0.0,0.0,0.0,0.845,0.999,0.9,0.996
CCNB1,CDK1,0.999,0.0,0.0,0.0,0.895,0.999,0.9,0.999
PLK4,STIL,0.999,0.0,0.0,0.0,0.473,0.961,0.54,0.942
WDHD1,TIMELESS,0.999,0.0,0.0,0.0,0.52,0.963,0.0,0.978
KIF23,RACGAP1,0.999,0.0,0.0,0.0,0.828,0.995,0.9,0.999
DNA2,EXO1,0.998,0.0,0.0,0.0,0.505,0.588,0.5,0.987
CDK1,TOP2A,0.997,0.0,0.0,0.0,0.96,0.053,0.0,0.943
FANCI,UBE2T,0.997,0.0,0.0,0.0,0.346,0.8,0.9,0.846
DNA2,WDHD1,0.997,0.0,0.0,0.0,0.624,0.954,0.0,0.884
CENPE,NUF2,0.996,0.0,0.0,0.0,0.839,0.484,0.0,0.958
GINS1,WDHD1,0.996,0.0,0.0,0.0,0.471,0.987,0.0,0.45
ESPL1,CDK1,0.995,0.0,0.0,0.0,0.442,0.905,0.0,0.914
BRIP1,FANCI,0.994,0.0,0.0,0.0,0.256,0.0,0.0,0.993
KIF23,KIF11,0.994,0.0,0.0,0.0,0.963,0.313,0.54,0.574
NUF2,ZWINT,0.991,0.0,0.0,0.0,0.641,0.887,0.54,0.606
CCNB1,TOP2A,0.989,0.0,0.0,0.0,0.859,0.052,0.0,0.925
KIF11,CENPE,0.988,0.0,0.0,0.0,0.958,0.305,0.4,0.419
KIF11,CDK1,0.987,0.0,0.0,0.0,0.858,0.364,0.0,0.869
