,library_size,detected_genes,noninteger_entries
TCGA-A7-A13E-01A,43134205.5,41731,22375
TCGA-A7-A26E-01A,61171195.0,40249,21450
TCGA-A7-A0DB-01A,46898761.0,40744,21314
TCGA-A7-A13D-01A,48639074.0,39808,20998
TCGA-A7-A26J-01A,57719766.0,38171,20302
TCGA-GM-A2DO-01A,21317570.0,30741,0
TCGA-BH-A1ES-01A,23194341.0,28614,0
TCGA-A8-A08B-01A,23466090.0,25696,0
TCGA-GM-A2DA-01A,23720549.0,31474,0
TCGA-A8-A09T-01A,23745717.0,25571,0
TCGA-E2-A156-01A,24769286.0,27767,0
TCGA-GM-A2DI-01A,24823576.0,29599,0
TCGA-E2-A1BC-01A,25607159.0,29459,0
TCGA-BH-A0DZ-01A,26006524.0,24722,0
TCGA-E2-A1AZ-01A,26354208.0,31418,0
TCGA-A8-A07B-01A,26586182.0,26243,0
TCGA-B6-A2IU-01A,26775360.0,29826,0
TCGA-E9-A2JT-01A,28011916.0,31689,0
TCGA-C8-A12X-01A,28041579.0,29164,0
TCGA-C8-A1HG-01A,28901364.0,28030,0
TCGA-E9-A1N5-11A,29273747.0,31133,0
TCGA-GM-A2D9-01A,30486118.0,31018,0
TCGA-AC-A23G-01A,30737104.0,28991,0
TCGA-AO-A0JB-01A,31076137.0,29078,0
TCGA-GM-A4E0-01A,31193450.0,30163,0
TCGA-AQ-A54N-01A,31439030.0,27350,0
TCGA-B6-A0X0-01A,31800925.0,27254,0
TCGA-B6-A0WT-01A,31811670.0,30667,0
TCGA-A2-A4RW-01A,32124463.0,32028,0
TCGA-A8-A094-01A,32719627.0,29580,0
TCGA-AN-A0FJ-01A,33028039.0,29810,0
TCGA-BH-A1EU-11A,33722756.0,34491,0
TCGA-GM-A2DB-01A,33917092.0,31272,0
TCGA-A7-A4SF-01A,34024244.0,29762,0
TCGA-A2-A4S1-01A,34033941.0,29154,0
TCGA-A2-A4RX-01A,34110553.0,32834,0
TCGA-BH-A1FC-11A,34166817.0,32353,0
TCGA-A7-A4SE-01A,34174471.0,31853,0
TCGA-A7-A5ZV-01A,34329777.0,30046,0
TCGA-E2-A1IJ-01A,34444102.0,31486,0
TCGA-E2-A1LH-01A,34630446.0,31344,0
TCGA-AR-A0U3-01A,34735883.0,30232,0
TCGA-B6-A0X1-01A,35006280.0,30887,0
TCGA-B6-A0IK-01A,35151175.0,28174,0
TCGA-E9-A245-01A,35160548.0,50453,0
TCGA-A7-A4SC-01A,35376010.0,32480,0
TCGA-E2-A1LK-01A,35423085.0,29439,0
TCGA-A2-A0CP-01A,35471096.0,30396,0
TCGA-D8-A4Z1-01A,35622456.0,32641,0
TCGA-E2-A1II-01A,36082244.0,30054,0
TCGA-LL-A50Y-01A,36267491.0,26914,0
TCGA-A2-A4S3-01A,36272647.0,31377,0
TCGA-AN-A03X-01A,36378914.0,24322,0
TCGA-BH-A1EO-01A,36484483.0,28329,0
TCGA-BH-A0BM-01A,36533295.0,29740,0
TCGA-B6-A0WW-01A,36671707.0,28814,0
TCGA-A7-A4SB-01A,36765537.0,30747,0
TCGA-BH-A1FU-11A,37205144.0,33242,0
TCGA-A2-A4S0-01A,37267785.0,29746,0
TCGA-AR-A2LH-01A,37289899.0,30988,0
TCGA-AR-A2LO-01A,37324799.0,32807,0
TCGA-AR-A2LN-01A,37390092.0,34651,0
TCGA-BH-A0E0-01A,37420786.0,28468,0
TCGA-C8-A8HP-01A,37459211.0,31573,0
TCGA-E2-A1IK-01A,37522531.0,28425,0
TCGA-AO-A0JM-01A,37536343.0,27695,0
TCGA-GM-A2DC-01A,37671238.0,30584,0
TCGA-EW-A1PG-01A,37821942.0,30857,0
TCGA-E9-A54X-01A,37838273.0,27931,0
TCGA-A7-A4SA-01A,37851341.0,32094,0
TCGA-BH-A8FY-01A,37950183.0,31492,0
TCGA-A2-A4S2-01A,38009971.0,31696,0
TCGA-E2-A1LL-01A,38038573.0,29214,0
TCGA-AO-A03R-01A,38066539.0,29870,0
TCGA-B6-A0X4-01A,38131171.0,30216,0
TCGA-BH-A18G-01A,38201082.0,25186,0
TCGA-E2-A1BC-11A,38233411.0,29340,0
TCGA-E2-A158-11A,38482237.0,31157,0
TCGA-AO-A1KR-01A,38573913.0,29294,0
TCGA-A2-A4RY-01A,38594290.0,33932,0
TCGA-EW-A1P6-01A,38613094.0,30392,0
TCGA-A8-A0A1-01A,38698589.0,29338,0
TCGA-LL-A7SZ-01A,38707030.0,30042,0
TCGA-AR-A24X-01A,38963276.0,29597,0
TCGA-LL-A5YO-01A,39036675.0,34275,0
TCGA-EW-A1P3-01A,39173574.0,33335,0
TCGA-A8-A0A6-01A,39314402.0,30665,0
TCGA-A8-A06X-01A,39360103.0,28444,0
TCGA-LQ-A4E4-01A,39446127.0,31354,0
TCGA-MS-A51U-01A,39492291.0,32762,0
TCGA-D8-A1JN-01A,39697724.0,31617,0
